OT,schedule_day
9,0
8,1
8,1
MRI,1
MRI,1
MRI,1
MRI,1
8,2
8,2
8,3
4,3
8,4
MRI,4
MRI,4
MRI,4
MRI,7
7,8
MRI,8
9,9
4,10
9,14
9,16
MRI,21
8,8
8,9
4,10
4,11
MRI,11
8,16
9,16
8,16
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
9,0
8,2
MRI,15
9,16
MRI,18
MRI,21
MRI,21
MRI,25
9,0
MRI,7
9,14
9,16
MRI,21
9,23
4,24
MRI,25
8,2
3,4
MRI,18
MRI,21
9,0
MRI,8
9,9
4,11
4,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
4,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
9,23
MRI,25
MRI,25
MRI,25
4,25
9,0
MRI,1
MRI,4
8,16
4,25
4,25
4,25
MRI,1
9,23
MRI,25
9,0
3,2
MRI,7
MRI,8
MRI,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
MRI,22
4,24
4,25
4,25
MRI,25
MRI,25
MRI,25
4,25
4,25
4,25
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
8,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,7
2,8
MRI,8
MRI,8
MRI,8
MRI,8
9,9
8,9
2,10
4,11
MRI,11
9,14
9,16
MRI,21
4,25
4,25
MRI,25
MRI,25
MRI,25
4,25
4,25
4,25
8,2
MRI,11
9,14
MRI,15
MRI,15
MRI,15
MRI,15
MRI,18
MRI,18
MRI,21
9,23
MRI,25
MRI,25
MRI,25
MRI,25
9,0
9,0
MRI,1
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
9,9
MRI,11
9,14
MRI,15
MRI,25
9,0
9,0
MRI,1
MRI,1
MRI,4
MRI,7
4,9
9,14
MRI,21
MRI,4
MRI,7
MRI,18
MRI,21
MRI,21
MRI,21
9,23
MRI,1
MRI,8
2,10
MRI,11
9,16
8,16
5,17
7,25
3,25
9,0
MRI,1
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
9,9
4,11
4,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
9,16
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
8,22
9,23
MRI,25
9,0
8,2
MRI,7
4,11
9,23
9,0
MRI,7
MRI,7
MRI,7
9,9
9,14
MRI,21
MRI,21
MRI,21
MRI,25
MRI,1
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
9,9
2,10
4,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
9,16
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
9,0
MRI,1
MRI,1
MRI,1
MRI,1
4,4
4,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
5,8
5,8
5,8
3,11
MRI,11
3,11
