OT,overtime,schedule_day
7,37.0,0
9,180.0,0
MRI,31.0,1
10,206.0,3
3,300.0,2
8,37.0,4
MRI,179.0,4
3,419.0,4
10,178.0,7
5,217.0,7
10,28.0,9
9,73.0,9
6,51.0,11
MRI,261.0,11
9,186.0,14
10,403.0,14
8,222.0,14
MRI,247.0,18
MRI,2.0,22
10,198.0,23
4,51.0,23
MRI,113.0,25
MRI,143.0,1
9,42.0,2
8,64.0,4
MRI,306.0,4
3,267.0,4
MRI,102.0,7
9,131.0,7
MRI,145.0,8
7,447.0,8
9,251.0,9
3,119.0,10
4,257.0,9
MRI,268.0,11
9,16.0,14
8,278.0,16
MRI,233.0,18
MRI,35.0,21
4,448.0,23
6,27.0,25
4,36.0,25
MRI,117.0,25
MRI,298.0,1
5,26.0,2
8,83.0,0
MRI,351.0,7
MRI,273.0,8
9,91.0,9
4,224.0,9
4,319.0,11
3,45.0,15
4,42.0,17
MRI,330.0,18
5,18.0,23
4,441.0,24
MRI,168.0,25
MRI,161.0,1
8,34.0,0
MRI,187.0,4
MRI,0.0,8
9,26.0,9
2,93.0,8
7,18.0,11
MRI,93.0,11
MRI,276.0,15
5,451.0,16
4,230.0,17
10,14.0,21
MRI,65.0,22
MRI,96.0,25
MRI,316.0,1
MRI,16.0,7
MRI,158.0,11
4,225.0,11
9,54.0,16
8,368.0,14
5,51.0,17
MRI,178.0,18
MRI,96.0,21
5,343.0,21
6,33.0,23
5,5.0,24
4,17.0,25
MRI,269.0,25
10,10.0,0
8,103.0,4
MRI,152.0,4
3,101.0,4
MRI,93.0,7
10,157.0,7
MRI,191.0,8
6,15.0,11
MRI,36.0,11
8,420.0,7
9,64.0,14
9,8.0,16
5,458.0,16
MRI,281.0,18
MRI,5.0,22
MRI,300.0,25
9,283.0,0
MRI,262.0,1
8,9.0,2
5,14.0,2
7,30.0,3
MRI,205.0,7
MRI,79.0,8
7,200.0,8
9,39.0,9
4,476.0,9
MRI,192.0,11
9,74.0,16
8,80.0,14
MRI,20.0,18
MRI,137.0,21
3,7.0,22
MRI,357.0,22
MRI,305.0,1
MRI,9.0,4
6,222.0,4
8,430.0,0
10,35.0,7
MRI,210.0,7
MRI,454.0,8
8,119.0,7
MRI,141.0,11
9,107.0,14
3,127.0,14
MRI,156.0,15
10,84.0,16
8,425.0,14
MRI,167.0,21
MRI,94.0,22
MRI,132.0,25
MRI,177.0,1
8,18.0,4
MRI,296.0,4
6,311.0,4
3,314.0,4
5,377.0,7
5,6.0,10
6,122.0,11
MRI,305.0,11
MRI,44.0,15
MRI,104.0,18
MRI,213.0,21
MRI,149.0,22
MRI,86.0,25
7,86.0,25
4,331.0,23
7,10.0,0
9,13.0,0
MRI,143.0,1
8,260.0,0
4,480.0,3
MRI,450.0,4
10,87.0,7
MRI,134.0,7
MRI,84.0,8
9,104.0,9
MRI,18.0,11
6,266.0,11
3,23.0,15
4,8.0,17
MRI,147.0,18
MRI,0.0,22
MRI,165.0,25
3,52.0,1
MRI,229.0,1
4,122.0,3
8,68.0,0
MRI,380.0,4
3,269.0,4
10,141.0,7
MRI,188.0,7
6,66.0,9
9,437.0,9
4,477.0,9
MRI,45.0,11
7,110.0,14
MRI,100.0,15
4,203.0,17
8,313.0,14
MRI,314.0,18
MRI,41.0,21
MRI,28.0,22
9,82.0,23
3,4.0,25
MRI,323.0,25
9,49.0,0
MRI,273.0,1
7,428.0,8
7,47.0,11
MRI,166.0,11
10,208.0,14
3,282.0,14
4,22.0,16
8,104.0,14
MRI,202.0,18
MRI,295.0,21
MRI,18.0,22
MRI,171.0,25
4,353.0,23
MRI,423.0,1
5,62.0,2
MRI,127.0,4
8,337.0,0
MRI,91.0,7
MRI,314.0,8
2,359.0,8
4,447.0,9
MRI,30.0,11
6,148.0,11
9,220.0,14
MRI,161.0,15
MRI,33.0,18
5,443.0,21
MRI,506.0,21
3,40.0,22
MRI,448.0,22
9,81.0,23
MRI,11.0,25
7,122.0,25
8,165.0,21
MRI,64.0,1
MRI,122.0,4
6,141.0,4
3,2.0,4
10,53.0,7
MRI,244.0,8
4,122.0,9
3,193.0,10
MRI,333.0,11
4,364.0,11
3,482.0,14
MRI,2.0,15
6,66.0,16
4,79.0,17
MRI,420.0,18
MRI,71.0,21
3,56.0,22
MRI,154.0,22
7,118.0,23
9,262.0,23
8,265.0,21
MRI,210.0,25
MRI,97.0,1
MRI,221.0,11
MRI,10.0,15
9,243.0,16
8,466.0,14
MRI,149.0,18
MRI,291.0,21
9,31.0,23
MRI,226.0,25
5,29.0,0
9,92.0,0
3,332.0,2
MRI,82.0,4
MRI,280.0,7
MRI,104.0,8
MRI,180.0,11
4,502.0,9
3,132.0,14
MRI,278.0,15
MRI,110.0,18
MRI,21.0,21
MRI,31.0,22
9,92.0,23
MRI,188.0,25
6,34.0,0
MRI,148.0,1
4,432.0,3
MRI,18.0,4
MRI,209.0,7
MRI,7.0,8
9,45.0,14
9,21.0,16
MRI,56.0,18
MRI,142.0,21
MRI,320.0,22
8,19.0,23
MRI,96.0,25
9,21.0,0
10,38.0,1
MRI,237.0,1
8,233.0,0
7,10.0,3
MRI,104.0,4
MRI,415.0,7
7,419.0,8
MRI,321.0,11
4,453.0,9
MRI,249.0,15
4,157.0,17
4,19.0,18
MRI,39.0,18
MRI,273.0,21
MRI,265.0,22
8,283.0,14
6,224.0,25
MRI,449.0,25
MRI,125.0,1
4,45.0,2
8,496.0,0
MRI,44.0,4
MRI,309.0,7
MRI,258.0,8
7,56.0,9
8,138.0,7
MRI,154.0,11
4,231.0,9
9,20.0,14
3,82.0,14
10,303.0,14
MRI,36.0,15
8,397.0,14
8,116.0,16
4,12.0,17
MRI,84.0,18
10,359.0,21
8,60.0,21
MRI,15.0,25
MRI,19.0,1
3,432.0,4
MRI,86.0,7
7,131.0,8
MRI,160.0,8
5,72.0,11
3,106.0,10
MRI,289.0,11
9,77.0,14
3,159.0,14
MRI,45.0,15
5,11.0,16
4,62.0,17
8,334.0,14
MRI,7.0,18
10,73.0,21
MRI,164.0,21
MRI,247.0,22
9,299.0,23
4,84.0,23
MRI,131.0,25
9,6.0,0
MRI,49.0,1
4,391.0,3
MRI,106.0,4
3,367.0,4
10,32.0,7
MRI,259.0,7
MRI,43.0,8
9,504.0,9
MRI,78.0,11
9,29.0,14
3,170.0,14
MRI,240.0,15
9,189.0,16
4,264.0,17
MRI,84.0,18
MRI,284.0,21
5,49.0,22
7,25.0,25
4,48.0,25
MRI,109.0,25
7,263.0,0
MRI,365.0,1
4,226.0,3
MRI,394.0,4
9,233.0,7
MRI,430.0,7
MRI,188.0,8
8,55.0,9
3,19.0,10
MRI,180.0,11
4,437.0,11
MRI,43.0,15
8,382.0,14
MRI,39.0,18
MRI,120.0,21
10,411.0,21
8,447.0,21
7,68.0,23
3,61.0,25
7,265.0,25
8,204.0,2
5,385.0,2
6,247.0,4
3,203.0,4
3,38.0,8
MRI,429.0,8
MRI,228.0,11
4,61.0,11
9,187.0,14
MRI,27.0,21
MRI,6.0,22
MRI,35.0,25
7,257.0,25
MRI,72.0,1
MRI,151.0,4
MRI,122.0,7
5,10.0,8
MRI,449.0,8
9,225.0,9
MRI,154.0,11
4,260.0,11
3,241.0,14
MRI,124.0,15
MRI,280.0,18
MRI,32.0,21
MRI,113.0,22
8,96.0,21
7,347.0,25
6,15.0,0
MRI,246.0,7
3,130.0,10
MRI,217.0,11
5,31.0,16
9,338.0,16
8,90.0,14
MRI,22.0,21
8,49.0,21
MRI,121.0,25
7,250.0,25
MRI,61.0,4
3,162.0,4
MRI,22.0,7
MRI,258.0,8
2,350.0,8
3,59.0,10
1,19.0,11
10,361.0,14
MRI,88.0,21
MRI,118.0,22
MRI,84.0,25
8,465.0,21
MRI,126.0,1
10,153.0,7
MRI,413.0,7
MRI,375.0,8
7,19.0,11
MRI,132.0,11
4,311.0,9
MRI,96.0,15
4,5.0,17
10,441.0,17
MRI,141.0,18
4,25.0,25
MRI,94.0,25
9,18.0,0
MRI,86.0,1
MRI,168.0,4
MRI,74.0,7
7,193.0,8
MRI,309.0,8
3,26.0,10
MRI,376.0,11
4,460.0,11
MRI,2.0,15
1,33.0,16
10,348.0,17
8,274.0,14
MRI,71.0,21
MRI,73.0,22
8,403.0,21
7,109.0,25
MRI,278.0,25
MRI,25.0,1
MRI,24.0,4
5,474.0,3
MRI,204.0,7
7,82.0,8
MRI,128.0,8
4,391.0,9
3,215.0,10
MRI,364.0,11
5,22.0,14
8,107.0,14
MRI,171.0,18
MRI,112.0,21
10,500.0,21
MRI,165.0,22
MRI,205.0,25
4,285.0,24
8,118.0,2
3,221.0,4
MRI,38.0,7
MRI,42.0,8
7,66.0,8
9,201.0,9
MRI,53.0,18
MRI,72.0,22
5,19.0,24
MRI,99.0,25
MRI,489.0,1
5,55.0,2
MRI,179.0,4
3,180.0,4
8,255.0,0
MRI,178.0,7
10,225.0,7
8,109.0,7
9,54.0,14
MRI,16.0,18
6,50.0,18
MRI,421.0,21
MRI,99.0,22
9,42.0,23
MRI,356.0,25
7,408.0,25
10,72.0,0
MRI,155.0,1
8,503.0,0
MRI,28.0,7
9,34.0,9
6,21.0,10
4,426.0,9
MRI,183.0,11
6,359.0,11
8,171.0,7
4,314.0,11
3,266.0,14
MRI,126.0,15
9,102.0,16
MRI,161.0,18
MRI,167.0,21
10,233.0,21
MRI,185.0,25
MRI,66.0,1
5,61.0,3
MRI,131.0,4
6,199.0,4
MRI,198.0,7
7,310.0,8
9,7.0,9
3,298.0,10
MRI,213.0,11
MRI,43.0,18
MRI,298.0,21
3,8.0,22
MRI,81.0,22
3,28.0,25
7,171.0,25
MRI,255.0,25
3,50.0,1
MRI,113.0,1
3,54.0,2
8,459.0,0
MRI,182.0,4
5,6.0,8
7,72.0,8
MRI,179.0,8
8,0.0,9
5,46.0,10
3,163.0,10
4,362.0,9
9,71.0,14
10,317.0,14
MRI,226.0,15
9,104.0,16
4,256.0,17
3,406.0,14
MRI,225.0,18
MRI,342.0,25
9,3.0,0
MRI,106.0,1
7,7.0,3
MRI,144.0,4
MRI,51.0,7
9,238.0,9
4,345.0,9
8,409.0,7
MRI,223.0,11
9,11.0,14
3,89.0,14
MRI,118.0,15
MRI,320.0,18
MRI,62.0,21
MRI,166.0,22
8,30.0,21
MRI,45.0,25
6,125.0,25
MRI,26.0,1
4,325.0,3
MRI,97.0,4
3,107.0,4
9,189.0,7
MRI,248.0,7
MRI,74.0,8
7,193.0,8
4,179.0,9
MRI,9.0,11
4,264.0,11
MRI,193.0,15
7,39.0,16
4,114.0,16
8,462.0,14
4,39.0,18
MRI,46.0,18
MRI,297.0,21
MRI,249.0,22
10,491.0,24
MRI,246.0,1
MRI,16.0,4
MRI,67.0,7
MRI,7.0,11
MRI,87.0,15
8,87.0,15
6,31.0,16
MRI,7.0,18
MRI,248.0,21
MRI,229.0,22
7,129.0,25
MRI,320.0,25
9,115.0,0
MRI,220.0,1
9,2.0,2
8,71.0,4
6,300.0,4
MRI,333.0,4
10,54.0,7
MRI,76.0,7
5,483.0,7
MRI,354.0,8
3,9.0,11
MRI,106.0,11
3,59.0,14
10,261.0,14
9,480.0,14
MRI,139.0,21
10,396.0,21
5,455.0,21
MRI,10.0,22
6,71.0,24
MRI,86.0,25
MRI,160.0,1
8,292.0,0
7,30.0,3
MRI,211.0,4
MRI,15.0,7
7,103.0,8
MRI,205.0,8
8,31.0,7
2,161.0,8
MRI,76.0,11
MRI,96.0,15
7,70.0,16
4,509.0,17
MRI,104.0,18
8,423.0,14
MRI,197.0,21
MRI,35.0,22
MRI,451.0,25
3,13.0,8
9,57.0,9
4,30.0,9
MRI,104.0,11
9,7.0,14
3,440.0,14
7,15.0,16
9,198.0,16
4,33.0,17
MRI,314.0,18
MRI,68.0,21
10,320.0,21
MRI,301.0,22
4,18.0,3
MRI,217.0,4
8,472.0,0
MRI,268.0,7
7,121.0,8
MRI,191.0,8
2,13.0,8
9,21.0,9
3,1.0,11
MRI,111.0,11
4,103.0,11
3,41.0,14
MRI,146.0,15
9,35.0,16
4,314.0,16
MRI,84.0,18
MRI,91.0,21
3,18.0,22
MRI,172.0,22
5,2.0,24
MRI,15.0,25
MRI,220.0,1
MRI,361.0,4
MRI,78.0,7
MRI,323.0,8
9,25.0,9
3,37.0,10
MRI,265.0,11
MRI,101.0,18
MRI,0.0,21
MRI,55.0,22
MRI,372.0,25
9,202.0,0
MRI,1.0,1
MRI,301.0,4
MRI,66.0,7
9,111.0,7
MRI,8.0,8
MRI,102.0,11
9,114.0,14
9,76.0,16
3,40.0,24
MRI,307.0,25
7,17.0,2
8,435.0,0
3,92.0,3
MRI,112.0,4
3,12.0,4
9,12.0,7
MRI,37.0,7
10,48.0,7
MRI,340.0,8
8,354.0,7
4,206.0,11
9,96.0,14
3,291.0,14
10,352.0,14
MRI,280.0,15
5,349.0,16
7,37.0,18
MRI,104.0,18
MRI,14.0,22
8,20.0,21
4,350.0,24
MRI,4.0,25
4,24.0,25
9,92.0,0
MRI,266.0,1
MRI,345.0,4
MRI,58.0,7
MRI,310.0,8
8,108.0,7
MRI,182.0,11
9,172.0,14
7,21.0,16
MRI,135.0,18
MRI,114.0,21
MRI,21.0,22
8,214.0,21
6,63.0,25
4,179.0,23
9,1.0,0
MRI,3.0,1
7,32.0,1
5,34.0,2
6,298.0,4
MRI,378.0,4
3,410.0,4
MRI,137.0,7
5,43.0,8
7,74.0,8
MRI,100.0,8
10,25.0,9
6,94.0,10
3,368.0,10
4,485.0,9
MRI,122.0,11
4,156.0,11
3,239.0,14
10,333.0,14
7,35.0,17
MRI,241.0,21
MRI,104.0,25
MRI,70.0,4
MRI,7.0,7
MRI,276.0,8
MRI,247.0,11
8,465.0,7
4,390.0,11
MRI,119.0,15
9,61.0,16
MRI,139.0,18
10,421.0,21
MRI,159.0,22
9,277.0,23
4,48.0,23
MRI,268.0,25
3,61.0,1
7,11.0,2
7,20.0,3
8,59.0,0
MRI,50.0,4
3,74.0,2
8,256.0,4
MRI,207.0,7
MRI,59.0,8
7,183.0,8
9,106.0,9
MRI,114.0,11
4,263.0,11
3,68.0,14
9,70.0,14
MRI,119.0,15
9,200.0,16
4,151.0,17
MRI,130.0,18
10,226.0,21
MRI,296.0,21
MRI,9.0,22
6,19.0,25
MRI,475.0,4
3,5.0,4
MRI,371.0,7
MRI,335.0,8
5,26.0,10
4,55.0,9
8,268.0,7
MRI,236.0,11
MRI,182.0,15
6,70.0,17
8,159.0,14
MRI,144.0,25
9,59.0,0
4,280.0,3
MRI,64.0,4
2,7.0,8
6,36.0,9
9,133.0,9
8,239.0,7
4,299.0,9
9,60.0,14
8,336.0,14
MRI,215.0,18
10,313.0,21
MRI,185.0,22
MRI,38.0,4
MRI,135.0,7
4,10.0,11
8,404.0,14
8,37.0,16
MRI,162.0,18
7,61.0,25
MRI,87.0,25
8,110.0,21
MRI,136.0,4
MRI,34.0,7
10,123.0,7
3,19.0,8
7,44.0,8
9,35.0,9
9,113.0,14
8,448.0,16
MRI,63.0,18
MRI,10.0,21
9,53.0,21
MRI,241.0,22
5,35.0,23
4,16.0,25
MRI,112.0,25
9,25.0,0
MRI,144.0,1
8,446.0,0
4,160.0,2
MRI,196.0,4
MRI,87.0,8
9,27.0,9
MRI,244.0,11
3,189.0,14
MRI,38.0,15
9,73.0,16
MRI,102.0,18
MRI,21.0,21
MRI,249.0,25
8,303.0,0
MRI,10.0,4
9,239.0,7
MRI,246.0,7
MRI,208.0,8
7,22.0,9
4,364.0,9
MRI,42.0,11
9,60.0,14
MRI,115.0,15
MRI,40.0,18
MRI,171.0,21
3,40.0,22
9,23.0,23
MRI,72.0,25
6,319.0,25
9,78.0,0
3,33.0,1
MRI,66.0,4
MRI,165.0,7
10,233.0,7
MRI,246.0,8
2,441.0,8
4,154.0,9
5,15.0,16
9,20.0,16
8,136.0,14
4,173.0,17
MRI,165.0,18
MRI,309.0,21
MRI,113.0,22
MRI,361.0,25
4,41.0,4
MRI,312.0,4
MRI,35.0,7
MRI,193.0,11
7,12.0,14
9,146.0,14
10,254.0,14
9,101.0,16
MRI,62.0,18
MRI,109.0,21
3,40.0,22
MRI,61.0,22
7,13.0,24
8,97.0,21
MRI,68.0,25
MRI,246.0,1
9,34.0,2
4,389.0,3
7,27.0,4
MRI,47.0,4
6,230.0,4
MRI,4.0,7
7,51.0,8
9,266.0,9
MRI,164.0,11
10,148.0,14
9,271.0,14
8,217.0,14
MRI,185.0,18
MRI,69.0,21
MRI,202.0,22
MRI,229.0,25
5,44.0,0
5,404.0,2
4,144.0,3
MRI,212.0,4
MRI,131.0,7
MRI,74.0,8
MRI,309.0,11
8,133.0,7
4,176.0,11
9,85.0,14
3,100.0,14
9,365.0,16
4,158.0,17
MRI,96.0,18
MRI,484.0,22
9,255.0,23
MRI,150.0,25
9,53.0,0
MRI,111.0,1
4,359.0,3
MRI,132.0,4
3,240.0,4
MRI,14.0,7
9,223.0,9
MRI,322.0,11
MRI,421.0,15
9,216.0,16
MRI,33.0,18
MRI,181.0,21
5,224.0,21
MRI,141.0,22
9,76.0,23
10,307.0,0
MRI,171.0,1
2,243.0,1
3,183.0,4
MRI,66.0,7
3,97.0,8
7,312.0,8
2,211.0,8
4,216.0,9
MRI,242.0,11
3,244.0,14
MRI,124.0,15
4,46.0,16
8,161.0,14
4,235.0,17
MRI,386.0,18
MRI,122.0,21
9,1.0,23
MRI,0.0,25
7,215.0,25
MRI,49.0,1
5,290.0,2
MRI,136.0,4
MRI,160.0,8
7,252.0,8
4,273.0,9
4,244.0,11
9,149.0,14
3,476.0,14
MRI,22.0,15
9,232.0,16
MRI,96.0,18
MRI,82.0,21
MRI,216.0,22
7,50.0,23
MRI,67.0,25
3,221.0,2
MRI,9.0,4
MRI,223.0,7
7,75.0,8
MRI,98.0,8
3,421.0,10
MRI,137.0,11
8,498.0,7
9,35.0,14
4,175.0,17
MRI,10.0,22
9,9.0,23
MRI,47.0,25
MRI,94.0,1
MRI,86.0,4
MRI,13.0,7
MRI,161.0,8
4,253.0,9
MRI,183.0,11
MRI,42.0,15
8,169.0,14
7,77.0,23
5,5.0,24
4,451.0,23
3,490.0,25
9,19.0,0
10,57.0,0
MRI,170.0,4
MRI,4.0,7
MRI,131.0,8
9,113.0,9
5,1.0,10
MRI,103.0,11
4,438.0,11
3,357.0,14
9,455.0,14
9,88.0,16
4,73.0,17
5,349.0,16
MRI,201.0,18
MRI,28.0,21
6,31.0,24
4,176.0,24
7,93.0,25
MRI,492.0,25
8,293.0,0
MRI,131.0,4
8,136.0,4
MRI,18.0,7
5,386.0,7
7,0.0,8
9,68.0,9
4,225.0,9
MRI,116.0,11
9,458.0,14
MRI,100.0,15
9,109.0,16
MRI,185.0,21
10,489.0,21
MRI,256.0,22
MRI,58.0,25
MRI,76.0,1
MRI,135.0,7
9,375.0,9
4,3.0,9
MRI,39.0,11
3,25.0,14
MRI,134.0,15
9,41.0,16
4,73.0,17
MRI,400.0,18
MRI,276.0,21
MRI,7.0,22
9,30.0,0
5,13.0,1
MRI,219.0,1
3,97.0,3
5,507.0,2
MRI,320.0,4
3,116.0,4
9,280.0,7
MRI,345.0,7
MRI,234.0,8
8,236.0,7
MRI,21.0,11
4,270.0,11
9,21.0,14
10,45.0,17
MRI,25.0,18
MRI,471.0,21
3,54.0,22
MRI,106.0,22
8,138.0,21
MRI,182.0,25
9,130.0,0
MRI,45.0,1
MRI,113.0,4
3,386.0,4
MRI,173.0,7
MRI,112.0,8
7,116.0,8
6,30.0,9
MRI,125.0,11
3,23.0,14
9,27.0,14
MRI,279.0,15
MRI,243.0,18
3,46.0,22
MRI,472.0,22
MRI,180.0,25
MRI,272.0,1
MRI,128.0,4
MRI,119.0,7
MRI,226.0,8
8,39.0,9
9,116.0,9
3,247.0,10
8,117.0,11
9,215.0,14
2,15.0,15
9,70.0,16
8,273.0,16
MRI,199.0,18
MRI,42.0,21
MRI,14.0,22
4,130.0,3
7,202.0,8
MRI,496.0,8
4,339.0,11
9,394.0,14
MRI,283.0,15
9,267.0,16
MRI,364.0,18
9,17.0,21
MRI,256.0,21
10,455.0,21
MRI,150.0,22
MRI,184.0,25
MRI,252.0,1
9,28.0,2
7,59.0,3
MRI,340.0,4
3,244.0,4
MRI,142.0,7
MRI,20.0,8
5,311.0,8
8,410.0,7
MRI,58.0,11
4,46.0,11
9,51.0,14
3,52.0,14
MRI,69.0,15
9,382.0,16
MRI,48.0,18
MRI,394.0,21
MRI,150.0,22
MRI,87.0,25
MRI,248.0,1
MRI,60.0,4
MRI,170.0,7
9,122.0,9
MRI,218.0,11
10,230.0,17
MRI,151.0,18
MRI,104.0,21
MRI,65.0,22
3,86.0,22
9,109.0,23
MRI,10.0,25
MRI,189.0,1
MRI,110.0,4
MRI,359.0,7
MRI,73.0,11
7,41.0,14
9,80.0,14
3,395.0,14
MRI,152.0,15
9,9.0,16
4,76.0,17
MRI,213.0,18
MRI,187.0,21
10,391.0,21
MRI,161.0,22
9,129.0,23
MRI,339.0,25
MRI,276.0,1
MRI,107.0,4
6,126.0,4
MRI,274.0,7
3,28.0,8
5,313.0,8
3,166.0,10
MRI,55.0,11
8,243.0,7
6,462.0,11
MRI,429.0,15
MRI,19.0,18
MRI,177.0,21
MRI,172.0,22
4,77.0,24
MRI,149.0,1
9,15.0,2
MRI,119.0,4
MRI,48.0,7
MRI,38.0,8
MRI,194.0,11
3,279.0,14
MRI,126.0,15
4,334.0,16
MRI,230.0,18
MRI,155.0,21
5,5.0,1
MRI,355.0,1
MRI,123.0,7
MRI,9.0,8
MRI,252.0,11
9,91.0,14
4,396.0,16
MRI,7.0,21
MRI,237.0,22
MRI,5.0,25
9,40.0,0
9,20.0,2
MRI,152.0,7
MRI,44.0,8
MRI,79.0,11
4,424.0,11
9,34.0,14
MRI,69.0,15
9,51.0,16
4,105.0,17
MRI,311.0,18
MRI,331.0,21
3,21.0,22
MRI,117.0,22
9,29.0,23
4,11.0,25
MRI,52.0,25
7,59.0,25
MRI,152.0,1
MRI,66.0,4
7,23.0,11
MRI,182.0,11
9,113.0,14
MRI,390.0,15
4,254.0,17
MRI,42.0,18
MRI,191.0,21
MRI,49.0,22
MRI,507.0,25
