OT,schedule_day
10,0
8,1
8,1
MRI,1
MRI,1
MRI,1
MRI,1
10,2
8,2
4,2
4,3
4,4
4,4
MRI,4
MRI,4
MRI,4
8,7
MRI,7
MRI,7
MRI,7
4,10
8,15
MRI,15
MRI,15
8,16
MRI,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,22
9,23
9,23
8,23
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
8,2
9,9
MRI,11
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
8,23
8,1
MRI,1
MRI,1
MRI,1
MRI,1
8,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
8,11
8,16
9,21
MRI,21
MRI,21
MRI,21
9,23
MRI,25
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
8,16
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
9,23
8,23
MRI,25
MRI,25
MRI,1
8,2
4,4
8,9
4,9
MRI,11
MRI,11
MRI,11
MRI,11
9,23
9,23
MRI,25
8,2
4,3
4,4
4,4
4,4
MRI,4
MRI,4
MRI,4
MRI,11
MRI,15
MRI,15
8,16
MRI,18
MRI,18
MRI,21
5,22
2,22
2,22
8,23
MRI,25
MRI,25
MRI,1
8,2
4,3
MRI,4
MRI,7
MRI,8
8,9
MRI,11
MRI,11
MRI,11
3,15
MRI,15
MRI,15
MRI,15
3,15
8,16
MRI,18
8,21
MRI,21
MRI,21
MRI,21
9,23
9,23
8,23
MRI,25
MRI,25
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,7
MRI,8
8,9
4,11
4,11
MRI,11
5,22
2,22
2,22
5,23
5,23
10,0
7,0
8,2
8,9
8,9
8,16
9,23
8,23
MRI,25
MRI,1
MRI,7
MRI,21
MRI,21
MRI,21
MRI,21
8,23
8,2
MRI,4
MRI,7
MRI,7
MRI,7
8,8
4,11
8,16
MRI,18
8,23
MRI,25
MRI,25
MRI,25
MRI,25
10,0
