OT,overtime,schedule_day
10,64.0,0
MRI,101.0,1
7,32.0,4
4,130.0,2
MRI,385.0,4
10,36.0,7
MRI,206.0,7
7,278.0,8
10,316.0,9
MRI,266.0,11
9,21.0,14
3,164.0,14
6,21.0,17
8,426.0,14
4,464.0,17
MRI,0.0,18
MRI,83.0,21
MRI,119.0,22
9,110.0,23
MRI,299.0,25
MRI,69.0,1
10,238.0,2
8,253.0,0
5,37.0,4
MRI,317.0,4
MRI,62.0,7
9,29.0,9
MRI,31.0,11
4,157.0,11
10,304.0,14
8,471.0,14
MRI,116.0,18
10,282.0,21
MRI,104.0,22
8,200.0,21
MRI,200.0,25
3,89.0,25
MRI,68.0,1
8,367.0,0
10,400.0,2
MRI,14.0,4
5,101.0,4
6,131.0,4
9,26.0,7
MRI,221.0,7
MRI,169.0,8
9,208.0,9
3,252.0,14
8,280.0,14
MRI,246.0,18
3,454.0,18
MRI,182.0,21
MRI,231.0,22
MRI,312.0,25
3,218.0,25
4,73.0,2
MRI,23.0,4
3,402.0,4
MRI,75.0,7
4,272.0,17
MRI,58.0,21
MRI,129.0,22
4,56.0,23
8,411.0,21
MRI,78.0,25
3,280.0,25
MRI,25.0,1
7,60.0,2
MRI,160.0,4
10,2.0,7
7,21.0,9
5,85.0,9
MRI,195.0,11
10,34.0,14
3,428.0,14
MRI,132.0,21
1,31.0,22
MRI,237.0,22
9,388.0,23
4,266.0,24
5,8.0,25
MRI,92.0,25
MRI,256.0,1
5,106.0,2
6,7.0,4
3,35.0,4
MRI,42.0,4
4,135.0,2
MRI,206.0,7
8,110.0,9
MRI,222.0,11
4,332.0,11
7,494.0,14
MRI,285.0,15
4,377.0,17
MRI,74.0,18
MRI,19.0,21
5,12.0,21
MRI,50.0,22
2,53.0,22
7,70.0,22
5,66.0,23
MRI,239.0,25
3,146.0,25
MRI,155.0,1
5,7.0,3
MRI,141.0,4
9,11.0,7
MRI,29.0,7
10,95.0,7
MRI,86.0,8
2,264.0,8
4,16.0,10
MRI,321.0,11
4,274.0,11
MRI,298.0,15
3,82.0,14
5,147.0,16
MRI,114.0,18
3,344.0,18
MRI,68.0,21
MRI,207.0,22
5,364.0,21
7,11.0,23
8,32.0,14
9,365.0,23
4,36.0,25
MRI,131.0,25
3,17.0,25
MRI,35.0,1
2,482.0,1
8,44.0,2
3,200.0,4
MRI,230.0,7
MRI,124.0,8
2,197.0,8
8,198.0,11
MRI,452.0,11
3,102.0,14
MRI,198.0,15
MRI,244.0,18
5,63.0,25
MRI,208.0,25
7,40.0,0
10,406.0,0
10,418.0,2
4,99.0,2
6,194.0,4
10,387.0,7
5,476.0,7
7,10.0,8
4,8.0,10
8,369.0,7
10,63.0,11
7,402.0,14
MRI,2.0,18
3,125.0,18
MRI,272.0,22
3,167.0,25
MRI,62.0,1
8,183.0,1
8,108.0,2
4,262.0,2
MRI,370.0,7
3,7.0,8
8,272.0,7
8,259.0,9
MRI,129.0,11
8,154.0,11
3,170.0,14
MRI,447.0,15
MRI,186.0,18
MRI,23.0,21
MRI,82.0,22
4,149.0,24
MRI,152.0,25
8,320.0,25
3,72.0,25
6,17.0,0
MRI,66.0,1
4,111.0,2
MRI,359.0,4
3,479.0,4
MRI,56.0,7
MRI,47.0,8
MRI,121.0,11
8,307.0,11
MRI,53.0,15
MRI,375.0,18
3,479.0,18
MRI,203.0,21
MRI,90.0,22
8,221.0,21
7,30.0,24
4,40.0,25
8,72.0,25
MRI,122.0,25
10,252.0,25
3,161.0,25
10,394.0,0
MRI,19.0,1
7,55.0,2
10,400.0,2
5,26.0,3
4,32.0,4
MRI,228.0,4
3,357.0,4
MRI,210.0,7
MRI,118.0,8
3,31.0,10
8,223.0,11
4,195.0,11
3,49.0,14
MRI,249.0,15
8,343.0,14
6,237.0,18
8,293.0,18
3,24.0,21
2,160.0,22
4,102.0,24
10,261.0,25
MRI,448.0,25
8,460.0,25
3,87.0,25
MRI,59.0,1
10,370.0,2
10,43.0,7
MRI,108.0,7
8,497.0,7
MRI,60.0,11
8,143.0,14
MRI,118.0,18
MRI,204.0,21
5,128.0,22
MRI,138.0,22
2,168.0,22
MRI,127.0,1
8,4.0,2
7,70.0,3
MRI,29.0,4
4,275.0,2
MRI,201.0,7
9,349.0,9
2,444.0,8
MRI,260.0,11
3,235.0,14
MRI,207.0,15
MRI,52.0,18
MRI,149.0,21
MRI,10.0,22
9,90.0,23
MRI,64.0,25
MRI,201.0,1
8,383.0,0
4,458.0,2
4,1.0,4
MRI,44.0,4
7,75.0,4
6,322.0,4
MRI,76.0,7
9,485.0,7
2,250.0,8
MRI,113.0,11
4,396.0,11
3,316.0,14
MRI,69.0,15
9,96.0,16
8,155.0,14
MRI,462.0,18
10,7.0,21
MRI,163.0,21
MRI,86.0,22
4,59.0,24
4,36.0,25
MRI,120.0,25
3,395.0,25
MRI,289.0,1
MRI,119.0,4
3,403.0,4
MRI,43.0,7
MRI,114.0,8
3,191.0,14
MRI,32.0,18
MRI,7.0,21
MRI,40.0,22
4,60.0,23
8,483.0,21
MRI,81.0,25
3,100.0,25
8,508.0,2
10,440.0,3
MRI,279.0,4
3,357.0,4
9,34.0,7
MRI,261.0,7
7,183.0,8
8,241.0,9
MRI,180.0,11
8,257.0,11
4,70.0,11
3,40.0,15
2,156.0,15
4,339.0,17
MRI,207.0,18
MRI,135.0,22
2,266.0,22
7,63.0,25
MRI,130.0,25
MRI,295.0,1
MRI,108.0,4
MRI,65.0,7
9,216.0,7
10,443.0,7
MRI,202.0,8
9,20.0,9
2,312.0,8
MRI,141.0,11
3,57.0,14
10,196.0,14
MRI,4.0,18
10,328.0,21
MRI,62.0,22
7,123.0,22
9,116.0,23
8,132.0,23
MRI,204.0,25
3,215.0,25
MRI,1.0,1
MRI,251.0,4
MRI,101.0,7
MRI,291.0,8
9,99.0,9
5,368.0,9
MRI,79.0,11
4,327.0,11
MRI,51.0,15
7,394.0,14
MRI,130.0,18
6,351.0,18
3,51.0,18
MRI,103.0,21
7,33.0,22
MRI,84.0,22
MRI,237.0,25
7,6.0,2
10,23.0,3
MRI,260.0,4
MRI,5.0,7
10,398.0,7
7,55.0,9
9,99.0,9
8,388.0,9
10,10.0,14
3,31.0,14
MRI,13.0,15
8,109.0,14
MRI,74.0,18
6,7.0,23
7,44.0,23
8,68.0,23
4,189.0,24
MRI,112.0,25
MRI,9.0,1
MRI,184.0,4
MRI,47.0,7
9,108.0,7
MRI,40.0,8
9,46.0,9
MRI,302.0,11
3,196.0,14
MRI,139.0,15
3,20.0,17
MRI,25.0,18
MRI,95.0,21
MRI,355.0,22
MRI,48.0,25
4,257.0,2
3,321.0,4
MRI,92.0,7
9,171.0,7
MRI,83.0,8
7,423.0,8
7,99.0,9
8,488.0,7
MRI,412.0,11
4,184.0,11
MRI,239.0,15
1,25.0,17
5,284.0,21
10,290.0,21
MRI,9.0,22
2,135.0,22
4,73.0,24
4,27.0,25
MRI,225.0,1
4,301.0,2
3,130.0,4
MRI,168.0,4
7,108.0,8
MRI,219.0,8
9,69.0,9
MRI,174.0,11
3,30.0,14
MRI,55.0,15
8,199.0,14
MRI,276.0,18
MRI,97.0,21
5,382.0,21
4,10.0,24
MRI,124.0,25
3,63.0,25
MRI,182.0,1
7,17.0,2
3,61.0,3
MRI,24.0,4
MRI,70.0,7
MRI,19.0,11
8,143.0,7
2,426.0,8
MRI,2.0,18
5,8.0,23
8,85.0,21
4,90.0,24
MRI,75.0,25
MRI,263.0,1
MRI,52.0,4
10,215.0,7
MRI,344.0,7
MRI,79.0,8
4,51.0,10
MRI,108.0,11
5,74.0,16
4,10.0,18
5,12.0,18
5,316.0,21
MRI,337.0,21
MRI,76.0,22
MRI,252.0,25
MRI,355.0,1
10,7.0,2
MRI,270.0,4
MRI,298.0,8
MRI,74.0,11
8,91.0,11
3,392.0,14
MRI,135.0,15
8,169.0,16
MRI,0.0,18
MRI,420.0,21
MRI,42.0,22
9,6.0,23
MRI,26.0,25
MRI,208.0,1
4,326.0,2
MRI,25.0,4
8,316.0,0
7,283.0,8
9,20.0,9
3,36.0,11
MRI,308.0,15
8,120.0,16
5,12.0,17
7,52.0,17
4,4.0,18
MRI,79.0,18
6,233.0,18
MRI,8.0,21
2,95.0,22
MRI,102.0,22
3,10.0,25
MRI,38.0,1
4,68.0,2
8,269.0,0
MRI,203.0,4
5,425.0,7
MRI,509.0,7
7,123.0,8
9,254.0,9
4,487.0,10
MRI,279.0,11
4,243.0,11
3,419.0,14
MRI,21.0,18
6,36.0,18
MRI,427.0,22
8,154.0,23
MRI,128.0,25
MRI,140.0,1
8,19.0,0
5,251.0,2
4,288.0,2
MRI,68.0,4
3,71.0,4
6,322.0,4
MRI,62.0,7
MRI,3.0,8
5,48.0,9
7,60.0,9
9,231.0,9
MRI,29.0,11
3,69.0,14
MRI,359.0,15
7,46.0,16
8,402.0,14
MRI,49.0,18
MRI,64.0,21
5,483.0,21
MRI,221.0,22
8,143.0,23
MRI,144.0,25
MRI,5.0,1
8,101.0,0
4,472.0,2
MRI,32.0,4
3,169.0,4
9,51.0,7
MRI,140.0,7
MRI,134.0,8
7,318.0,8
5,320.0,8
4,11.0,10
8,189.0,11
MRI,258.0,11
3,186.0,14
10,266.0,14
MRI,248.0,15
MRI,21.0,18
MRI,90.0,21
5,327.0,21
2,295.0,22
MRI,474.0,22
9,35.0,23
5,258.0,23
MRI,121.0,25
MRI,14.0,1
3,52.0,1
3,211.0,4
MRI,425.0,4
9,248.0,7
MRI,321.0,7
5,44.0,9
7,250.0,8
3,107.0,10
MRI,7.0,11
7,9.0,11
8,79.0,11
4,281.0,11
8,260.0,14
3,497.0,18
8,347.0,21
MRI,127.0,25
3,265.0,25
MRI,140.0,1
10,46.0,3
MRI,105.0,4
MRI,55.0,7
7,116.0,8
8,16.0,11
MRI,78.0,11
4,6.0,11
10,18.0,14
7,466.0,14
MRI,15.0,15
2,51.0,15
3,375.0,14
8,26.0,16
MRI,158.0,18
3,281.0,18
MRI,167.0,21
5,58.0,21
8,75.0,21
7,81.0,23
4,63.0,24
MRI,30.0,4
MRI,201.0,7
5,292.0,7
8,457.0,7
2,285.0,8
8,487.0,9
MRI,18.0,11
8,218.0,11
4,112.0,11
3,275.0,14
MRI,286.0,15
4,8.0,17
