OT,overtime,schedule_day
7,176.0,2
10,355.0,2
6,0.0,4
7,93.0,4
5,157.0,4
MRI,238.0,4
10,373.0,4
MRI,113.0,7
10,301.0,7
MRI,59.0,8
7,470.0,8
7,24.0,9
9,27.0,9
2,199.0,8
MRI,215.0,11
7,292.0,14
3,391.0,14
MRI,30.0,15
7,13.0,17
5,34.0,17
4,293.0,17
MRI,13.0,18
3,437.0,18
8,51.0,17
MRI,32.0,21
MRI,303.0,22
5,366.0,22
2,427.0,22
4,30.0,24
MRI,196.0,25
8,395.0,25
MRI,116.0,1
8,302.0,0
MRI,261.0,4
4,293.0,2
7,366.0,8
5,52.0,9
2,72.0,8
8,425.0,7
MRI,26.0,11
3,272.0,14
MRI,71.0,15
9,66.0,16
MRI,190.0,18
3,204.0,18
MRI,8.0,21
5,473.0,21
9,475.0,21
MRI,89.0,22
2,433.0,22
8,183.0,21
4,22.0,24
MRI,343.0,25
3,279.0,25
MRI,32.0,1
5,32.0,3
10,247.0,2
5,4.0,4
MRI,24.0,4
7,427.0,8
2,266.0,8
4,493.0,10
8,292.0,11
MRI,112.0,15
5,149.0,16
MRI,95.0,18
6,176.0,18
MRI,294.0,21
10,296.0,21
MRI,67.0,22
2,461.0,22
8,58.0,23
4,29.0,24
MRI,356.0,25
3,263.0,25
MRI,328.0,1
4,457.0,2
MRI,151.0,4
6,219.0,4
MRI,221.0,7
MRI,48.0,8
2,334.0,8
8,145.0,11
MRI,161.0,11
4,324.0,11
MRI,92.0,15
8,385.0,14
4,21.0,18
MRI,283.0,18
3,105.0,18
MRI,113.0,21
5,265.0,21
2,239.0,22
5,319.0,22
MRI,405.0,22
8,379.0,21
MRI,34.0,25
3,304.0,25
MRI,103.0,1
4,464.0,2
MRI,125.0,4
8,321.0,0
MRI,76.0,7
8,195.0,7
4,232.0,11
3,213.0,14
MRI,117.0,15
8,66.0,14
4,344.0,17
MRI,56.0,18
MRI,102.0,21
4,125.0,24
MRI,111.0,25
3,397.0,25
9,42.0,2
8,229.0,0
4,162.0,2
4,35.0,4
8,95.0,4
3,114.0,4
MRI,146.0,4
7,317.0,4
MRI,196.0,7
MRI,313.0,8
9,4.0,9
7,55.0,10
8,65.0,7
MRI,209.0,11
3,344.0,14
MRI,3.0,15
8,142.0,14
MRI,159.0,18
10,78.0,21
MRI,57.0,22
MRI,7.0,25
3,397.0,25
8,450.0,21
10,379.0,0
MRI,22.0,1
4,436.0,2
MRI,198.0,4
MRI,252.0,7
5,501.0,7
7,181.0,8
MRI,189.0,8
9,92.0,9
MRI,139.0,11
8,177.0,11
MRI,146.0,15
MRI,13.0,18
MRI,146.0,21
3,138.0,18
7,270.0,22
2,320.0,22
MRI,476.0,22
7,54.0,23
5,155.0,21
8,506.0,23
4,27.0,25
MRI,284.0,25
3,83.0,25
10,158.0,0
MRI,407.0,1
7,13.0,2
5,282.0,2
5,15.0,4
7,47.0,4
MRI,282.0,4
MRI,321.0,7
9,41.0,9
MRI,33.0,11
4,251.0,11
8,113.0,14
MRI,57.0,18
3,306.0,18
MRI,209.0,21
MRI,104.0,22
5,193.0,21
6,144.0,23
MRI,135.0,25
8,371.0,21
3,178.0,25
MRI,234.0,1
MRI,374.0,4
MRI,63.0,7
10,150.0,7
MRI,252.0,8
7,269.0,8
9,108.0,9
8,422.0,7
4,486.0,10
5,11.0,11
MRI,77.0,11
MRI,366.0,18
9,103.0,21
MRI,129.0,21
MRI,1.0,22
7,400.0,22
4,15.0,24
MRI,318.0,25
3,462.0,25
MRI,31.0,1
4,98.0,2
8,315.0,0
MRI,102.0,4
MRI,271.0,7
3,18.0,8
MRI,19.0,8
MRI,255.0,11
3,18.0,18
7,290.0,22
7,1.0,0
MRI,142.0,1
2,509.0,1
10,263.0,2
8,284.0,2
4,449.0,2
MRI,186.0,4
6,393.0,4
MRI,77.0,8
MRI,53.0,11
MRI,234.0,18
6,17.0,21
7,8.0,23
4,100.0,24
MRI,161.0,25
8,271.0,21
10,450.0,25
MRI,272.0,1
MRI,74.0,4
9,103.0,7
10,137.0,7
MRI,373.0,7
7,118.0,8
MRI,223.0,8
7,5.0,9
9,258.0,9
MRI,208.0,11
MRI,37.0,15
8,166.0,14
MRI,67.0,18
6,49.0,21
MRI,250.0,21
MRI,213.0,22
2,366.0,22
7,41.0,23
MRI,16.0,25
4,36.0,25
MRI,135.0,1
8,260.0,2
4,360.0,2
MRI,49.0,4
3,204.0,4
MRI,247.0,8
MRI,46.0,11
4,108.0,11
MRI,67.0,15
MRI,413.0,18
MRI,147.0,21
MRI,49.0,22
MRI,31.0,25
MRI,98.0,1
3,72.0,2
MRI,383.0,4
4,360.0,2
MRI,433.0,7
MRI,80.0,8
7,414.0,8
9,81.0,9
MRI,301.0,11
MRI,317.0,18
8,158.0,14
MRI,171.0,21
5,311.0,21
MRI,6.0,22
5,506.0,22
9,52.0,23
MRI,26.0,1
5,8.0,4
MRI,141.0,4
4,70.0,2
10,43.0,7
MRI,196.0,7
7,20.0,9
9,227.0,9
8,37.0,11
MRI,78.0,11
MRI,18.0,15
5,494.0,15
8,135.0,14
MRI,124.0,18
3,501.0,18
MRI,195.0,21
10,255.0,21
MRI,261.0,22
MRI,265.0,25
3,135.0,25
MRI,98.0,1
4,336.0,2
MRI,294.0,4
MRI,98.0,7
MRI,210.0,8
8,65.0,7
9,153.0,9
4,465.0,9
3,184.0,14
8,450.0,14
MRI,121.0,18
MRI,140.0,21
7,171.0,22
2,257.0,22
MRI,296.0,22
MRI,335.0,25
MRI,333.0,1
MRI,230.0,4
3,428.0,4
6,4.0,7
9,149.0,7
MRI,300.0,7
MRI,21.0,8
MRI,63.0,11
MRI,505.0,15
9,149.0,16
4,477.0,17
3,417.0,18
MRI,97.0,21
10,143.0,21
MRI,110.0,22
MRI,67.0,25
8,407.0,0
10,311.0,2
MRI,174.0,4
MRI,161.0,7
MRI,67.0,8
9,266.0,9
4,60.0,9
7,32.0,16
8,70.0,14
MRI,217.0,18
10,239.0,21
MRI,243.0,21
5,181.0,21
4,23.0,25
MRI,456.0,25
MRI,52.0,1
4,456.0,2
MRI,92.0,4
3,439.0,4
MRI,151.0,7
MRI,389.0,8
1,29.0,9
9,209.0,9
8,234.0,7
5,8.0,11
MRI,145.0,11
4,352.0,11
4,149.0,17
MRI,212.0,21
MRI,86.0,22
2,138.0,22
8,76.0,21
MRI,50.0,25
8,116.0,2
4,19.0,2
10,285.0,2
MRI,174.0,4
9,16.0,7
MRI,97.0,7
MRI,114.0,8
9,49.0,9
3,38.0,10
MRI,276.0,11
MRI,231.0,15
MRI,115.0,18
3,246.0,18
MRI,118.0,21
7,45.0,22
MRI,13.0,25
3,454.0,25
MRI,69.0,1
MRI,294.0,4
MRI,213.0,7
MRI,22.0,8
9,284.0,9
MRI,209.0,11
3,414.0,14
MRI,441.0,15
4,445.0,17
MRI,311.0,18
MRI,115.0,21
MRI,107.0,22
8,132.0,21
5,154.0,25
MRI,283.0,25
MRI,130.0,1
MRI,311.0,4
MRI,252.0,7
MRI,62.0,8
8,37.0,7
9,99.0,9
8,160.0,11
MRI,183.0,11
4,202.0,11
3,172.0,14
MRI,156.0,15
MRI,17.0,18
MRI,33.0,21
MRI,321.0,22
3,48.0,24
MRI,36.0,25
3,439.0,25
MRI,133.0,1
7,77.0,3
5,25.0,4
MRI,61.0,4
8,339.0,0
9,49.0,7
MRI,395.0,7
MRI,9.0,8
9,1.0,9
MRI,6.0,11
MRI,229.0,15
8,360.0,14
MRI,130.0,18
MRI,67.0,21
9,84.0,21
MRI,36.0,22
4,47.0,23
4,28.0,25
MRI,202.0,25
3,445.0,25
MRI,360.0,1
10,218.0,2
MRI,70.0,4
MRI,393.0,7
5,6.0,9
9,154.0,9
MRI,291.0,15
9,116.0,16
MRI,196.0,18
MRI,208.0,21
MRI,148.0,22
4,154.0,24
MRI,213.0,25
MRI,407.0,1
MRI,237.0,4
10,16.0,7
MRI,65.0,7
7,288.0,8
9,117.0,9
MRI,148.0,11
8,228.0,11
4,211.0,11
3,400.0,14
MRI,95.0,15
8,424.0,14
MRI,382.0,21
3,359.0,25
MRI,263.0,1
MRI,312.0,4
4,257.0,2
10,3.0,7
MRI,140.0,7
5,502.0,7
MRI,280.0,8
8,159.0,7
MRI,5.0,11
9,35.0,16
4,208.0,17
MRI,218.0,18
3,8.0,18
MRI,98.0,21
MRI,340.0,22
7,1.0,25
MRI,77.0,25
MRI,32.0,1
10,328.0,2
MRI,41.0,4
6,5.0,7
8,51.0,7
9,394.0,9
MRI,44.0,11
3,315.0,14
6,55.0,21
MRI,98.0,22
8,395.0,23
7,37.0,24
3,206.0,25
5,11.0,0
6,42.0,0
MRI,262.0,1
8,40.0,2
2,163.0,1
4,30.0,4
MRI,449.0,4
8,329.0,7
MRI,178.0,11
8,268.0,11
3,152.0,14
3,433.0,18
MRI,34.0,22
4,126.0,24
MRI,200.0,25
5,57.0,3
MRI,156.0,4
6,218.0,4
3,502.0,4
MRI,124.0,8
5,212.0,8
8,224.0,7
5,318.0,10
MRI,47.0,11
8,72.0,11
3,94.0,14
7,473.0,14
MRI,119.0,15
7,30.0,16
8,42.0,14
4,388.0,17
6,408.0,18
3,323.0,18
MRI,16.0,21
MRI,126.0,22
7,1.0,23
8,208.0,21
4,182.0,24
3,499.0,25
MRI,121.0,1
MRI,125.0,4
3,166.0,4
MRI,182.0,7
MRI,43.0,8
7,224.0,8
9,81.0,9
4,400.0,9
MRI,205.0,11
3,26.0,14
7,458.0,14
MRI,194.0,15
8,427.0,16
MRI,205.0,18
MRI,118.0,21
8,240.0,21
9,282.0,23
5,73.0,25
MRI,153.0,25
3,321.0,25
MRI,27.0,1
4,304.0,2
7,8.0,4
MRI,376.0,4
5,493.0,7
MRI,2.0,8
9,197.0,9
2,507.0,8
MRI,50.0,11
3,93.0,11
4,161.0,11
3,130.0,14
9,88.0,21
10,294.0,21
MRI,294.0,21
MRI,271.0,22
8,130.0,23
MRI,354.0,25
MRI,185.0,1
MRI,120.0,4
10,5.0,7
7,253.0,8
MRI,428.0,8
MRI,160.0,11
3,413.0,14
MRI,82.0,15
5,103.0,16
4,499.0,17
MRI,63.0,18
MRI,35.0,21
MRI,66.0,22
MRI,270.0,25
3,319.0,25
