OT,overtime,schedule_day
MRI,64.0,1
5,22.0,2
10,63.0,3
MRI,496.0,4
MRI,206.0,7
3,37.0,8
MRI,382.0,8
4,64.0,10
10,373.0,10
10,77.0,11
MRI,361.0,11
MRI,103.0,15
5,30.0,17
MRI,55.0,18
MRI,346.0,21
MRI,75.0,22
9,196.0,23
8,213.0,23
7,53.0,24
4,304.0,24
7,187.0,25
8,32.0,24
4,128.0,3
MRI,278.0,7
2,434.0,8
5,17.0,10
4,156.0,10
4,259.0,11
MRI,357.0,15
4,56.0,17
MRI,146.0,18
8,351.0,18
MRI,196.0,21
MRI,104.0,22
9,482.0,23
3,26.0,25
9,77.0,0
7,446.0,0
MRI,230.0,1
7,37.0,2
8,414.0,0
4,60.0,3
MRI,89.0,4
6,374.0,4
5,479.0,4
3,385.0,4
MRI,424.0,7
MRI,177.0,8
3,11.0,10
8,472.0,7
MRI,98.0,11
4,5.0,11
7,430.0,15
9,39.0,16
MRI,307.0,18
MRI,210.0,21
8,23.0,23
9,35.0,23
4,74.0,24
5,59.0,25
9,112.0,0
MRI,44.0,1
4,261.0,3
10,436.0,3
6,59.0,4
MRI,224.0,4
MRI,93.0,7
MRI,145.0,8
4,23.0,10
MRI,240.0,11
9,67.0,14
MRI,42.0,15
7,260.0,15
9,76.0,16
4,8.0,17
MRI,170.0,18
3,37.0,18
MRI,52.0,21
5,68.0,0
MRI,52.0,1
4,224.0,3
6,178.0,4
MRI,370.0,4
MRI,4.0,8
3,35.0,8
6,98.0,9
MRI,158.0,11
4,392.0,11
9,13.0,16
8,105.0,14
MRI,214.0,18
MRI,24.0,21
7,5.0,22
MRI,399.0,22
9,113.0,23
2,187.0,22
10,418.0,23
8,162.0,21
MRI,267.0,25
9,190.0,0
MRI,79.0,1
MRI,9.0,7
3,48.0,8
8,49.0,8
MRI,248.0,8
10,4.0,11
MRI,98.0,11
8,359.0,11
4,334.0,11
8,135.0,14
7,141.0,15
MRI,247.0,15
7,30.0,16
5,462.0,16
5,16.0,18
4,202.0,18
MRI,317.0,18
MRI,456.0,21
MRI,50.0,22
5,403.0,22
9,164.0,23
7,29.0,24
4,16.0,25
MRI,220.0,25
9,255.0,0
7,8.0,2
8,229.0,2
4,36.0,3
10,340.0,3
MRI,209.0,4
MRI,106.0,7
MRI,80.0,8
