OT,overtime,schedule_day
5,59.0,0
3,94.0,0
10,114.0,0
8,116.0,0
6,211.0,0
2,70.0,1
3,197.0,1
8,221.0,1
3,80.0,2
5,324.0,2
7,18.0,3
3,1.0,4
4,328.0,4
5,384.0,4
10,106.0,7
6,150.0,7
8,185.0,7
9,494.0,7
2,63.0,8
3,113.0,8
5,171.0,8
8,294.0,8
5,424.0,9
5,18.0,10
7,50.0,11
8,84.0,14
10,225.0,14
6,274.0,14
5,47.0,15
8,166.0,16
3,195.0,17
9,298.0,16
8,79.0,21
6,147.0,21
9,409.0,21
5,499.0,21
5,7.0,22
5,361.0,23
6,371.0,23
7,39.0,24
1,39.0,25
4,145.0,25
5,86.0,0
8,131.0,0
3,158.0,0
2,505.0,1
7,10.0,2
4,68.0,2
5,258.0,2
10,61.0,2
4,333.0,4
8,191.0,7
MRI,47.0,8
5,66.0,8
3,194.0,8
10,383.0,7
8,486.0,8
8,66.0,9
5,373.0,10
1,4.0,11
5,31.0,14
7,93.0,14
10,308.0,14
5,243.0,15
8,48.0,16
9,393.0,16
10,194.0,16
3,299.0,17
4,412.0,18
7,416.0,18
8,6.0,21
6,156.0,21
5,262.0,21
9,413.0,21
5,62.0,22
7,3.0,23
6,123.0,23
4,402.0,25
1,438.0,25
10,66.0,0
8,115.0,0
3,121.0,0
5,169.0,0
6,295.0,0
9,416.0,0
2,77.0,1
3,128.0,1
8,108.0,2
5,391.0,2
7,45.0,3
5,447.0,4
6,229.0,7
5,481.0,7
9,488.0,7
5,1.0,8
7,59.0,8
2,256.0,8
10,33.0,9
1,120.0,11
3,243.0,11
8,29.0,14
6,467.0,14
5,98.0,15
2,100.0,15
3,134.0,17
6,14.0,18
7,458.0,18
8,109.0,21
5,274.0,21
MRI,16.0,22
5,35.0,22
6,70.0,23
5,212.0,23
5,437.0,24
5,84.0,25
7,157.0,25
8,19.0,0
7,427.0,0
3,287.0,1
5,15.0,3
8,97.0,7
3,15.0,10
5,261.0,10
8,113.0,11
7,275.0,11
5,145.0,14
7,189.0,14
6,325.0,14
2,29.0,15
5,113.0,15
8,289.0,16
5,481.0,16
7,39.0,17
8,31.0,18
3,55.0,18
4,234.0,18
6,89.0,21
5,505.0,21
5,164.0,22
6,401.0,23
9,451.0,23
7,170.0,24
5,184.0,24
6,35.0,0
3,235.0,0
MRI,22.0,1
3,107.0,1
8,378.0,1
5,295.0,2
7,31.0,4
8,34.0,7
6,238.0,7
5,439.0,7
10,441.0,7
5,14.0,8
5,317.0,9
5,311.0,10
9,391.0,9
3,243.0,11
1,244.0,11
8,35.0,14
5,190.0,14
5,185.0,15
7,33.0,18
5,241.0,18
6,62.0,21
8,95.0,21
9,492.0,21
5,7.0,22
7,11.0,22
10,34.0,23
6,164.0,23
5,486.0,23
7,142.0,24
7,104.0,25
1,157.0,25
4,301.0,25
5,173.0,0
7,33.0,0
4,394.0,2
5,463.0,2
8,26.0,2
5,464.0,4
5,300.0,7
10,342.0,7
9,400.0,7
5,66.0,8
5,193.0,9
8,312.0,9
5,418.0,10
1,237.0,11
5,326.0,11
5,178.0,14
7,385.0,14
6,431.0,14
9,139.0,14
5,231.0,15
3,10.0,17
8,84.0,16
4,470.0,18
5,450.0,22
7,1.0,23
5,509.0,23
7,47.0,24
5,245.0,25
5,40.0,0
8,132.0,0
6,165.0,0
3,305.0,0
9,49.0,0
2,55.0,1
8,262.0,2
4,28.0,4
8,77.0,7
10,128.0,7
3,464.0,8
9,396.0,9
5,493.0,9
5,433.0,10
1,391.0,11
5,169.0,11
6,46.0,14
5,173.0,14
10,276.0,14
7,492.0,14
5,13.0,15
5,275.0,16
3,362.0,17
MRI,4.0,18
7,248.0,18
8,53.0,21
6,281.0,21
5,76.0,22
6,505.0,23
1,175.0,25
4,317.0,25
8,387.0,2
7,53.0,4
10,154.0,7
5,413.0,7
6,416.0,7
5,23.0,8
3,7.0,11
1,12.0,11
5,252.0,11
6,154.0,14
10,232.0,14
7,280.0,14
5,490.0,14
5,66.0,15
5,445.0,16
3,87.0,17
4,444.0,18
8,101.0,21
5,183.0,21
5,43.0,22
6,15.0,23
8,6.0,0
6,202.0,0
7,302.0,0
5,319.0,0
2,39.0,1
3,410.0,1
8,441.0,2
7,38.0,3
3,102.0,4
4,270.0,4
8,55.0,7
6,382.0,7
5,145.0,8
4,140.0,9
5,248.0,9
3,163.0,10
1,42.0,11
3,92.0,14
6,321.0,14
9,394.0,16
8,464.0,16
3,100.0,17
7,49.0,18
6,182.0,18
4,421.0,18
5,439.0,18
8,3.0,21
6,294.0,21
5,412.0,21
7,46.0,22
5,85.0,22
4,123.0,24
8,144.0,0
3,175.0,0
7,346.0,0
5,449.0,0
2,88.0,1
3,309.0,1
5,325.0,2
9,234.0,2
4,239.0,4
6,99.0,7
5,36.0,8
9,443.0,9
7,30.0,11
5,161.0,14
10,182.0,14
6,287.0,14
7,432.0,14
9,475.0,16
5,325.0,21
5,102.0,22
6,10.0,23
5,178.0,23
7,358.0,24
4,182.0,25
1,296.0,25
3,260.0,0
3,240.0,1
8,107.0,2
4,341.0,4
8,81.0,7
6,312.0,7
3,9.0,8
5,22.0,8
5,436.0,9
1,328.0,11
10,104.0,14
5,118.0,14
6,227.0,14
9,369.0,14
5,257.0,15
4,51.0,16
5,366.0,16
9,420.0,16
3,382.0,17
3,6.0,18
8,82.0,21
5,484.0,21
5,3.0,22
9,202.0,21
6,173.0,23
5,400.0,23
9,470.0,23
7,149.0,24
5,2.0,25
3,1.0,0
8,93.0,0
6,98.0,0
5,109.0,0
7,377.0,0
3,344.0,1
7,164.0,2
9,394.0,0
7,41.0,4
MRI,49.0,4
9,493.0,7
MRI,49.0,8
3,421.0,8
5,431.0,8
5,256.0,9
8,386.0,9
5,485.0,10
3,69.0,11
1,104.0,11
5,459.0,11
7,117.0,14
2,12.0,15
5,199.0,14
5,456.0,16
9,420.0,16
3,453.0,17
3,28.0,18
5,418.0,18
MRI,40.0,21
5,103.0,22
8,398.0,22
6,172.0,23
7,330.0,24
5,341.0,25
5,2.0,0
8,67.0,0
2,87.0,1
3,57.0,2
4,123.0,2
5,321.0,2
6,52.0,3
5,375.0,4
8,112.0,7
6,325.0,7
2,67.0,8
5,187.0,8
8,434.0,8
4,18.0,9
8,479.0,9
9,495.0,9
5,250.0,10
7,6.0,11
1,109.0,11
3,133.0,11
7,133.0,14
8,152.0,14
5,196.0,14
8,8.0,15
5,141.0,15
10,151.0,14
8,423.0,18
6,371.0,21
5,412.0,21
5,49.0,22
6,47.0,23
10,57.0,23
4,175.0,23
5,305.0,23
7,129.0,24
5,60.0,25
1,349.0,25
3,26.0,0
8,121.0,0
6,160.0,0
