OT,surgery_duration,schedule_day,simulation_day
6,414,0,0
5,684,0,0
7,880,0,0
2,60,0,0
MRI,33,1,1
7,37,1,1
MRI,41,1,1
2,271,1,1
3,31,1,1
MRI,46,1,1
3,591,1,1
9,1136,0,0
2,180,1,1
5,1134,1,1
2,89,1,1
MRI,37,1,1
7,56,1,1
10,111,0,0
9,341,2,2
4,214,2,2
3,122,2,2
7,46,1,1
4,99,2,2
7,55,2,2
5,579,2,2
7,68,2,2
3,235,2,2
8,912,1,1
7,72,2,2
8,1053,2,2
3,24,3,3
2,73,3,3
1,63,2,2
10,1831,2,2
1,17,3,3
4,58,3,3
6,125,3,3
4,53,3,3
5,60,3,3
MRI,38,4,4
7,482,3,3
6,107,3,3
5,46,3,3
1,79,0,0
MRI,49,4,4
1,55,1,1
3,307,4,4
MRI,30,4,4
7,713,4,4
4,948,4,4
MRI,40,4,4
10,424,4,4
7,68,1,1
10,306,1,1
5,1823,4,4
3,342,0,0
MRI,41,7,7
6,481,7,7
8,338,4,4
5,41,7,7
3,237,7,7
5,1300,7,7
5,84,8,8
7,406,8,8
9,1095,7,7
2,211,8,8
5,512,8,8
5,151,8,8
MRI,57,8,8
2,62,8,8
6,57,9,9
1,99,4,4
5,1666,3,3
MRI,49,1,1
10,2219,8,8
8,1722,8,8
1,120,7,7
5,1078,9,9
4,145,9,9
4,57,9,9
1,81,8,8
6,127,9,9
5,31,10,10
6,86,10,10
MRI,21,7,7
8,1803,9,9
5,1066,10,10
2,81,7,7
MRI,52,11,11
MRI,47,11,11
4,156,11,11
3,278,11,11
5,53,11,11
4,126,11,11
1,101,9,9
4,98,10,10
3,34,11,11
5,1283,11,11
8,531,7,7
10,102,10,10
1,703,11,11
9,47,2,2
9,879,9,9
MRI,67,4,4
5,37,1,1
8,494,0,0
7,101,9,9
6,424,14,14
5,533,14,14
7,89,10,10
7,1201,14,14
2,42,14,14
MRI,35,15,15
1,115,10,10
7,68,15,15
2,150,15,15
MRI,46,15,15
5,169,15,15
3,96,15,15
MRI,56,15,15
7,39,15,15
5,147,15,15
7,28,15,15
2,36,15,15
5,135,15,15
7,86,16,16
4,165,16,16
7,32,16,16
3,36,15,15
6,142,16,16
8,1342,16,16
1,53,14,14
7,53,17,17
5,33,16,16
9,1867,16,16
10,2043,16,16
7,48,15,15
4,61,16,16
2,70,17,17
3,1243,17,17
MRI,68,18,18
1,49,17,17
3,259,18,18
6,536,18,18
4,73,16,16
MRI,49,18,18
5,613,16,16
5,1149,18,18
4,690,18,18
8,465,14,14
MRI,63,18,18
MRI,61,18,18
3,51,18,18
1,80,18,18
MRI,45,15,15
1,107,15,15
MRI,59,21,21
MRI,48,21,21
6,396,21,21
8,1417,18,18
2,45,21,21
5,65,21,21
MRI,73,21,21
1,86,16,16
5,1072,21,21
3,45,22,22
MRI,47,22,22
4,39,22,22
7,117,10,10
5,203,22,22
10,2995,14,14
1,105,22,22
4,46,22,22
5,246,22,22
2,286,22,22
3,32,22,22
9,111,23,23
10,141,21,21
8,492,15,15
6,233,23,23
8,127,23,23
8,46,23,23
MRI,51,21,21
6,364,23,23
2,36,22,22
1,114,21,21
3,505,21,21
5,1219,23,23
9,1342,23,23
6,145,24,24
1,68,23,23
