OT,surgery_duration,schedule_day,simulation_day
2,32,0,0
5,329,0,0
6,258,0,0
6,388,0,0
10,69,0,0
3,751,0,0
7,854,0,0
5,822,0,0
10,131,0,0
MRI,53,1,1
3,328,1,1
5,184,1,1
MRI,33,1,1
MRI,57,1,1
8,96,1,1
5,102,1,1
10,117,0,0
MRI,56,1,1
2,69,1,1
MRI,28,1,1
5,184,1,1
1,73,0,0
MRI,54,1,1
2,110,1,1
3,169,2,2
7,30,2,2
2,46,1,1
8,56,2,2
8,139,1,1
4,290,2,2
3,214,2,2
7,75,2,2
3,30,2,2
3,31,1,1
7,116,2,2
9,1037,2,2
1,121,1,1
7,101,3,3
6,106,3,3
4,112,3,3
3,121,3,3
5,778,2,2
10,276,1,1
5,1011,3,3
4,28,2,2
10,105,3,3
6,85,3,3
10,223,2,2
3,165,4,4
6,388,4,4
MRI,47,4,4
MRI,38,4,4
MRI,54,4,4
3,115,4,4
10,157,3,3
4,918,4,4
5,1025,4,4
8,618,0,0
3,27,4,4
1,99,4,4
7,1289,1,1
7,716,2,2
2,64,3,3
1,76,3,3
7,79,3,3
MRI,69,4,4
6,288,7,7
MRI,49,7,7
5,891,7,7
MRI,44,7,7
MRI,64,7,7
MRI,55,8,8
5,169,8,8
2,40,7,7
6,583,7,7
1,86,7,7
3,16,8,8
5,105,8,8
5,119,8,8
7,435,8,8
MRI,51,8,8
2,81,8,8
3,33,8,8
MRI,57,7,7
MRI,47,4,4
2,197,8,8
8,44,9,9
4,31,9,9
10,1936,8,8
8,653,8,8
6,139,9,9
7,65,9,9
4,323,9,9
9,1103,7,7
8,95,9,9
2,34,10,10
6,75,10,10
4,119,10,10
1,28,10,10
6,151,9,9
8,652,3,3
1,91,9,9
3,534,10,10
7,112,9,9
MRI,76,11,11
7,143,10,10
MRI,52,11,11
MRI,70,11,11
3,220,11,11
MRI,68,11,11
4,124,11,11
4,193,11,11
MRI,48,11,11
3,95,11,11
7,43,9,9
5,90,10,10
8,87,11,11
5,989,10,10
10,84,11,11
1,43,11,11
8,337,7,7
7,667,11,11
10,220,4,4
5,1032,9,9
3,206,7,7
2,58,14,14
6,369,14,14
5,488,14,14
7,585,4,4
5,229,14,14
9,1590,14,14
MRI,60,15,15
MRI,35,15,15
5,151,15,15
7,975,14,14
8,110,15,15
3,359,15,15
10,77,15,15
10,74,15,15
2,64,15,15
7,438,15,15
MRI,23,15,15
5,49,15,15
MRI,51,15,15
5,212,15,15
4,129,16,16
8,79,15,15
4,215,16,16
6,449,16,16
8,108,16,16
7,705,16,16
1,83,8,8
4,221,16,16
1,69,14,14
5,70,16,16
4,43,16,16
5,676,16,16
9,1273,9,9
10,335,14,14
7,66,17,17
7,46,17,17
5,58,17,17
6,141,16,16
6,78,17,17
3,31,15,15
3,270,17,17
4,220,17,17
1,518,15,15
5,90,17,17
1,103,17,17
4,97,17,17
MRI,133,15,15
MRI,50,18,18
10,3131,16,16
7,53,18,18
8,291,4,4
3,348,18,18
3,92,18,18
4,805,18,18
MRI,35,18,18
5,39,17,17
6,124,17,17
2,214,15,15
MRI,49,18,18
5,1512,18,18
MRI,49,18,18
1,99,16,16
10,428,7,7
MRI,55,18,18
5,68,21,21
6,1027,21,21
2,47,21,21
9,1215,21,21
5,1353,21,21
7,156,18,18
MRI,46,22,22
4,37,22,22
7,302,22,22
2,136,22,22
4,42,22,22
10,56,22,22
5,122,22,22
MRI,57,21,21
MRI,53,21,21
MRI,51,21,21
4,55,22,22
2,146,22,22
1,138,21,21
2,191,22,22
8,1256,22,22
7,58,23,23
2,76,17,17
9,217,23,23
4,100,23,23
8,62,23,23
7,46,23,23
4,320,23,23
9,1918,16,16
7,76,23,23
6,180,23,23
9,29,23,23
4,56,23,23
1,38,23,23
5,1163,23,23
2,42,24,24
7,66,24,24
7,73,24,24
6,203,23,23
6,81,24,24
4,42,24,24
3,53,22,22
10,2299,23,23
5,1235,24,24
3,59,24,24
7,108,25,25
3,121,21,21
7,52,25,25
9,1561,23,23
MRI,74,25,25
MRI,56,25,25
MRI,43,25,25
