OT,schedule_day
8,1
8,1
MRI,1
9,2
3,3
3,4
MRI,7
MRI,7
8,8
8,8
8,9
8,9
4,9
7,9
4,10
2,10
8,16
4,24
MRI,1
9,2
8,16
MRI,18
MRI,21
MRI,22
MRI,25
MRI,25
MRI,4
MRI,7
8,9
4,11
MRI,11
MRI,11
MRI,11
9,14
MRI,25
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
4,11
4,11
MRI,11
MRI,11
MRI,11
8,16
MRI,21
MRI,21
MRI,21
MRI,22
9,23
MRI,25
MRI,25
MRI,25
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
9,23
MRI,25
MRI,1
9,2
9,2
MRI,4
MRI,7
MRI,7
MRI,7
8,8
MRI,11
MRI,15
7,15
MRI,21
9,23
9,2
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
8,9
4,11
MRI,11
MRI,11
MRI,11
MRI,21
4,23
4,25
4,25
MRI,25
MRI,25
MRI,25
4,25
4,25
4,25
9,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,11
MRI,11
MRI,11
7,14
MRI,15
MRI,15
MRI,15
MRI,15
8,16
8,16
MRI,18
MRI,21
4,24
8,2
3,4
8,9
4,9
MRI,11
4,23
4,24
MRI,25
4,25
4,25
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,8
8,9
MRI,11
3,15
3,15
MRI,18
3,22
MRI,25
MRI,25
MRI,25
MRI,25
4,25
MRI,7
MRI,7
MRI,7
MRI,7
8,9
3,22
3,22
3,22
9,23
8,23
MRI,7
MRI,7
MRI,7
8,9
MRI,11
3,15
3,15
9,2
MRI,4
MRI,7
MRI,7
8,8
2,10
4,11
MRI,11
MRI,11
MRI,11
8,16
5,18
MRI,21
MRI,22
9,23
4,23
9,2
MRI,8
MRI,21
MRI,21
MRI,25
MRI,25
9,0
MRI,1
MRI,1
MRI,1
MRI,1
9,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,11
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
3,22
3,22
3,22
9,23
9,2
MRI,4
MRI,4
MRI,7
MRI,8
MRI,8
MRI,8
MRI,11
MRI,11
MRI,11
4,24
9,0
MRI,1
9,2
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
MRI,18
9,23
4,25
4,25
4,25
4,25
MRI,1
MRI,1
MRI,1
MRI,1
9,2
9,2
MRI,4
8,9
4,11
3,15
MRI,15
3,17
3,18
3,18
3,18
MRI,21
MRI,21
MRI,21
MRI,22
9,23
MRI,25
MRI,25
MRI,25
MRI,1
9,2
9,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
8,9
7,22
9,23
8,23
8,23
7,23
7,24
7,24
7,24
9,2
MRI,4
MRI,7
MRI,21
8,23
MRI,25
MRI,7
MRI,7
MRI,7
MRI,11
9,14
MRI,21
MRI,21
MRI,21
MRI,21
9,23
MRI,25
9,23
4,24
MRI,25
8,2
MRI,4
MRI,4
MRI,4
MRI,8
MRI,8
MRI,8
MRI,8
MRI,8
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
MRI,25
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
9,2
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
MRI,11
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,25
MRI,1
9,2
4,11
8,1
MRI,1
MRI,1
MRI,1
MRI,1
9,2
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
MRI,11
MRI,11
MRI,11
MRI,15
MRI,21
4,24
8,2
MRI,7
8,9
8,16
MRI,21
MRI,21
MRI,21
MRI,21
MRI,21
MRI,25
MRI,25
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
9,2
MRI,11
MRI,11
MRI,15
MRI,15
MRI,15
MRI,15
MRI,18
MRI,18
MRI,21
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
4,9
4,11
MRI,11
MRI,11
MRI,15
MRI,15
MRI,15
MRI,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
9,23
4,25
4,25
4,25
4,25
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
MRI,15
4,24
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
9,2
9,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,11
MRI,21
MRI,21
MRI,21
MRI,21
9,0
MRI,1
MRI,1
MRI,1
MRI,1
9,2
9,2
MRI,7
MRI,7
MRI,7
MRI,11
MRI,11
MRI,18
MRI,18
MRI,18
MRI,21
MRI,25
MRI,25
9,2
MRI,4
4,10
MRI,11
MRI,11
MRI,11
MRI,15
MRI,15
MRI,15
MRI,15
MRI,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,25
MRI,25
9,2
9,2
MRI,4
MRI,7
9,14
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
9,2
MRI,4
MRI,7
MRI,7
4,11
4,11
MRI,11
MRI,11
MRI,11
9,14
MRI,4
MRI,4
MRI,7
MRI,7
MRI,8
MRI,8
3,15
3,15
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,21
9,23
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,7
7,9
2,10
4,11
MRI,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
MRI,15
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,22
MRI,25
MRI,25
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
9,2
MRI,4
MRI,4
MRI,4
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
MRI,11
3,15
3,15
MRI,21
9,23
MRI,25
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
9,2
3,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
4,11
MRI,11
MRI,11
MRI,11
MRI,11
MRI,15
MRI,21
MRI,21
MRI,21
MRI,21
9,2
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
4,11
4,11
MRI,11
MRI,11
MRI,11
MRI,11
3,15
MRI,15
MRI,15
MRI,15
3,15
5,16
MRI,21
9,2
9,2
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
MRI,11
MRI,18
MRI,1
MRI,1
MRI,1
MRI,1
9,2
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
4,11
MRI,11
MRI,11
MRI,11
MRI,22
MRI,25
MRI,25
MRI,25
9,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
4,11
MRI,11
MRI,21
MRI,21
MRI,21
MRI,21
9,2
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,18
MRI,25
MRI,25
MRI,25
MRI,4
MRI,4
MRI,4
MRI,11
MRI,11
MRI,11
MRI,11
MRI,18
9,23
8,23
MRI,25
4,25
4,25
MRI,25
MRI,25
MRI,25
4,25
4,25
4,25
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
9,2
4,2
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
4,9
MRI,15
MRI,21
MRI,21
MRI,25
9,2
9,2
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
8,9
MRI,11
MRI,21
9,23
MRI,11
MRI,11
MRI,11
MRI,21
9,23
MRI,25
9,2
9,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
8,9
MRI,11
MRI,11
MRI,18
MRI,18
MRI,21
MRI,21
9,2
MRI,4
MRI,7
