OT,overtime,schedule_day
MRI,82.0,1
2,430.0,1
10,455.0,1
9,45.0,2
4,50.0,2
8,174.0,2
MRI,349.0,4
3,229.0,4
10,45.0,7
MRI,217.0,7
7,174.0,9
8,77.0,7
MRI,115.0,11
9,142.0,14
7,301.0,14
MRI,156.0,15
4,67.0,17
6,26.0,18
MRI,32.0,18
5,487.0,21
9,311.0,23
7,353.0,23
5,38.0,24
MRI,5.0,25
9,44.0,0
7,396.0,0
MRI,117.0,1
10,172.0,7
8,301.0,7
4,45.0,10
3,56.0,14
4,36.0,16
8,490.0,14
7,103.0,18
MRI,131.0,18
3,79.0,21
MRI,83.0,21
MRI,95.0,22
9,114.0,0
MRI,104.0,1
5,20.0,4
3,52.0,4
MRI,103.0,7
3,309.0,10
4,345.0,9
MRI,123.0,11
5,1.0,14
3,118.0,14
MRI,165.0,15
MRI,58.0,18
10,267.0,24
MRI,459.0,25
9,139.0,0
MRI,175.0,4
MRI,331.0,7
MRI,213.0,11
4,295.0,9
9,16.0,14
3,97.0,14
MRI,329.0,15
MRI,353.0,18
MRI,96.0,21
3,206.0,21
7,94.0,22
4,156.0,24
7,5.0,2
MRI,189.0,4
3,491.0,4
4,36.0,9
3,129.0,10
MRI,300.0,11
9,93.0,14
MRI,8.0,18
MRI,205.0,21
3,261.0,21
MRI,322.0,22
9,94.0,23
MRI,50.0,25
9,59.0,0
7,298.0,0
9,349.0,2
5,20.0,4
MRI,64.0,4
10,25.0,7
MRI,418.0,7
MRI,65.0,8
5,57.0,9
3,222.0,10
MRI,367.0,11
6,13.0,14
3,5.0,15
MRI,69.0,15
7,185.0,14
MRI,265.0,18
MRI,34.0,21
5,5.0,23
9,109.0,23
4,84.0,3
MRI,234.0,4
8,255.0,0
3,80.0,4
MRI,218.0,7
MRI,376.0,8
3,297.0,10
4,479.0,9
MRI,316.0,11
4,7.0,11
9,87.0,14
MRI,221.0,18
MRI,92.0,21
9,48.0,23
MRI,158.0,25
4,229.0,23
9,2.0,0
MRI,77.0,1
2,303.0,1
9,434.0,2
MRI,98.0,4
MRI,107.0,7
MRI,178.0,8
7,366.0,9
4,6.0,9
10,385.0,10
MRI,124.0,11
10,23.0,14
9,44.0,14
MRI,133.0,15
10,314.0,17
8,317.0,14
MRI,255.0,18
MRI,161.0,21
4,30.0,24
8,316.0,21
MRI,5.0,25
MRI,11.0,4
7,40.0,4
MRI,197.0,7
5,324.0,7
MRI,117.0,8
2,45.0,8
8,217.0,7
7,244.0,9
4,210.0,10
MRI,49.0,11
10,119.0,14
3,249.0,14
MRI,265.0,15
5,456.0,18
3,161.0,21
MRI,83.0,25
9,212.0,0
MRI,24.0,1
9,14.0,2
4,391.0,3
MRI,163.0,4
MRI,81.0,7
MRI,38.0,8
MRI,32.0,11
9,116.0,14
MRI,132.0,15
MRI,133.0,18
MRI,17.0,21
7,96.0,23
8,160.0,21
4,240.0,23
MRI,169.0,25
9,30.0,0
9,171.0,2
MRI,27.0,7
3,2.0,8
MRI,109.0,8
9,27.0,14
MRI,98.0,15
9,76.0,23
3,145.0,21
8,13.0,21
MRI,72.0,25
MRI,125.0,1
3,285.0,4
MRI,129.0,7
MRI,397.0,8
8,376.0,7
MRI,211.0,11
9,104.0,14
MRI,66.0,18
