OT,overtime,schedule_day
8,210.0,0
9,409.0,0
MRI,6.0,1
2,92.0,1
8,475.0,1
7,97.0,2
8,506.0,2
7,196.0,3
MRI,28.0,4
5,269.0,4
7,290.0,4
6,45.0,7
8,76.0,7
7,12.0,8
7,41.0,9
6,161.0,9
8,333.0,11
6,98.0,14
5,158.0,14
7,348.0,14
5,174.0,15
6,281.0,16
7,398.0,16
9,7.0,16
7,7.0,17
3,274.0,17
5,313.0,16
6,104.0,18
1,189.0,18
5,457.0,18
8,45.0,21
8,25.0,22
5,80.0,22
7,56.0,23
1,388.0,25
4,449.0,25
5,85.0,0
7,292.0,0
7,4.0,2
5,291.0,2
5,468.0,3
4,379.0,4
10,2.0,7
6,423.0,7
5,302.0,8
6,125.0,9
6,62.0,14
8,195.0,14
5,115.0,15
10,33.0,16
7,236.0,18
10,82.0,21
8,134.0,21
5,41.0,22
5,25.0,0
7,481.0,0
2,141.0,1
5,308.0,3
7,263.0,4
5,220.0,8
9,447.0,7
6,290.0,9
8,453.0,9
5,111.0,14
8,182.0,14
7,399.0,14
6,489.0,14
5,43.0,15
4,117.0,16
7,140.0,16
5,291.0,18
7,320.0,18
4,372.0,18
1,456.0,18
8,92.0,21
6,379.0,21
10,450.0,21
9,128.0,21
5,156.0,22
7,418.0,23
5,498.0,23
4,329.0,25
7,224.0,0
6,333.0,0
2,5.0,1
4,24.0,2
5,301.0,2
7,433.0,2
4,192.0,4
7,262.0,4
10,15.0,7
8,77.0,7
6,325.0,7
3,15.0,8
5,57.0,8
6,51.0,9
4,45.0,10
5,160.0,10
7,423.0,10
8,23.0,14
5,73.0,14
6,164.0,14
7,481.0,14
5,13.0,15
7,31.0,15
9,89.0,16
1,173.0,18
6,206.0,18
4,373.0,18
8,166.0,21
10,311.0,21
6,441.0,21
5,207.0,22
7,173.0,23
1,261.0,25
5,338.0,25
5,140.0,0
8,163.0,0
10,234.0,0
7,236.0,0
6,444.0,0
9,26.0,2
5,344.0,3
4,280.0,4
8,41.0,7
3,114.0,7
6,440.0,7
5,113.0,8
6,32.0,9
7,32.0,9
8,479.0,9
8,153.0,14
6,273.0,14
5,350.0,14
5,37.0,15
7,292.0,16
7,194.0,18
1,388.0,18
8,32.0,21
6,264.0,21
5,2.0,22
5,249.0,23
1,341.0,25
6,65.0,0
7,182.0,0
9,326.0,0
5,330.0,0
3,337.0,0
7,222.0,2
5,489.0,2
5,21.0,3
4,388.0,4
8,144.0,7
5,174.0,8
6,23.0,9
5,173.0,11
8,111.0,14
6,197.0,14
9,347.0,14
7,417.0,14
5,75.0,15
7,81.0,16
MRI,16.0,18
1,28.0,18
5,129.0,16
7,256.0,18
4,380.0,18
5,472.0,21
10,505.0,21
2,14.0,22
3,36.0,22
5,41.0,22
9,449.0,21
1,276.0,25
4,492.0,25
8,95.0,0
6,187.0,0
7,258.0,0
5,262.0,0
2,160.0,1
9,283.0,0
8,263.0,2
6,42.0,3
10,10.0,7
6,26.0,7
9,149.0,7
6,311.0,9
7,47.0,10
5,371.0,10
6,116.0,14
8,207.0,14
5,2.0,15
7,209.0,16
7,36.0,17
6,109.0,18
5,465.0,18
10,140.0,21
6,147.0,21
5,449.0,21
5,115.0,22
7,292.0,23
3,48.0,25
1,133.0,25
5,28.0,0
8,195.0,0
4,20.0,2
7,272.0,2
5,444.0,2
3,24.0,3
8,299.0,2
MRI,17.0,4
5,341.0,7
9,62.0,7
5,107.0,8
6,10.0,9
5,133.0,10
8,280.0,14
7,363.0,14
5,78.0,15
7,429.0,16
5,301.0,16
7,432.0,18
4,468.0,18
5,268.0,21
6,504.0,21
5,57.0,22
9,261.0,0
2,63.0,1
8,126.0,2
7,216.0,2
5,294.0,2
7,40.0,4
5,224.0,4
8,140.0,7
5,370.0,7
6,374.0,9
9,171.0,14
6,237.0,14
8,312.0,14
7,369.0,14
5,109.0,15
6,21.0,16
7,240.0,16
9,318.0,16
MRI,42.0,18
4,250.0,18
10,105.0,21
5,123.0,22
9,136.0,21
7,162.0,24
4,88.0,25
3,118.0,25
1,506.0,25
8,26.0,0
6,133.0,0
7,443.0,0
7,15.0,2
8,181.0,2
3,21.0,7
8,41.0,7
6,133.0,7
5,114.0,8
7,30.0,10
5,6.0,11
8,138.0,14
5,158.0,14
7,174.0,14
5,14.0,15
4,15.0,16
7,35.0,17
MRI,32.0,18
1,422.0,18
7,437.0,18
5,108.0,22
1,161.0,25
7,196.0,0
8,239.0,0
9,418.0,0
5,453.0,0
9,469.0,2
4,298.0,4
6,140.0,9
5,18.0,14
10,33.0,14
7,342.0,14
5,31.0,15
7,54.0,17
5,251.0,16
5,10.0,18
MRI,25.0,18
7,277.0,18
6,70.0,21
8,181.0,21
5,58.0,22
4,19.0,23
7,10.0,24
5,282.0,24
MRI,0.0,25
4,438.0,25
1,430.0,25
10,31.0,0
6,74.0,0
5,274.0,0
5,222.0,2
8,311.0,2
5,330.0,3
4,149.0,4
5,375.0,4
8,39.0,7
5,71.0,8
8,245.0,9
5,180.0,11
8,38.0,14
6,466.0,14
5,181.0,15
7,70.0,16
5,448.0,17
6,5.0,18
3,133.0,18
1,371.0,18
8,140.0,21
6,240.0,21
5,42.0,22
8,308.0,22
7,184.0,23
1,2.0,25
4,276.0,25
5,483.0,25
8,91.0,0
5,224.0,0
7,465.0,0
10,468.0,0
2,23.0,1
7,51.0,2
5,460.0,2
7,173.0,4
4,414.0,4
8,31.0,7
6,257.0,7
5,154.0,8
9,174.0,7
6,45.0,9
4,55.0,10
7,145.0,10
5,367.0,11
8,124.0,14
5,216.0,14
6,296.0,14
5,418.0,15
7,84.0,16
1,1.0,18
7,293.0,18
5,471.0,18
10,275.0,21
6,411.0,21
5,437.0,21
5,64.0,22
4,48.0,24
7,90.0,24
3,125.0,24
1,44.0,25
