OT,surgery_duration,schedule_day,simulation_day
9,113,0,0
6,128,0,0
5,199,0,0
2,47,0,0
7,97,0,0
7,129,0,0
10,354,0,0
5,147,0,0
6,69,0,0
MRI,205,1,1
2,76,1,1
2,41,1,1
7,32,1,1
10,65,1,1
10,281,1,1
5,74,1,1
7,23,2,2
4,61,2,2
5,118,2,2
4,97,2,2
7,9,1,1
7,4,2,2
MRI,302,1,1
10,68,2,2
7,147,2,2
3,2065,2,2
5,874,3,3
4,48,2,2
MRI,345,4,4
4,110,4,4
6,215,3,3
7,65,4,4
5,42,2,2
2,92,1,1
5,201,1,1
9,120,2,2
1,73,0,0
1,103,1,1
5,112,4,4
5,107,4,4
3,104,1,1
5,32,7,7
3,4945,4,4
2,32,7,7
5,29,7,7
5,871,7,7
1,36,2,2
6,183,7,7
MRI,242,8,8
6,195,7,7
5,42,8,8
5,47,8,8
5,24,8,8
MRI,284,8,8
5,43,9,9
9,95,0,0
2,2837,8,8
1,42,7,7
MRI,314,7,7
1,88,8,8
5,87,10,10
4,2637,9,9
7,96,8,8
3,54,11,11
3,23,11,11
5,72,11,11
4,1890,11,11
MRI,347,11,11
7,2491,8,8
9,317,9,9
7,75,3,3
7,125,14,14
6,130,9,9
7,77,11,11
7,96,14,14
1,104,14,14
5,123,14,14
6,72,14,14
2,63,14,14
5,9,15,15
3,1239,14,14
3,92,2,2
5,41,15,15
5,36,15,15
9,90,14,14
5,2,15,15
MRI,62,15,15
4,43,16,16
5,101,16,16
9,426,16,16
7,192,16,16
5,44,16,16
6,93,16,16
4,328,17,17
4,98,16,16
10,482,7,7
2,255,15,15
1,74,11,11
6,133,16,16
3,70,18,18
4,89,18,18
7,248,0,0
3,30,18,18
1,105,9,9
MRI,374,18,18
7,204,14,14
2,103,17,17
1,103,18,18
5,94,21,21
1,88,15,15
MRI,307,21,21
MRI,221,21,21
6,35,21,21
5,68,21,21
4,86,16,16
10,905,21,21
3,34,18,18
4,48,22,22
2,47,22,22
2,90,22,22
