OT,overtime,schedule_day
10,236.0,2
5,13.0,3
6,0.0,4
5,32.0,4
7,286.0,4
MRI,151.0,8
7,470.0,8
9,27.0,9
3,391.0,14
10,17.0,15
MRI,174.0,15
5,18.0,17
4,293.0,17
3,437.0,18
MRI,303.0,22
2,427.0,22
4,30.0,24
8,302.0,0
MRI,30.0,4
4,293.0,2
2,72.0,8
4,256.0,10
8,425.0,7
MRI,26.0,11
3,272.0,14
9,66.0,16
MRI,8.0,21
MRI,89.0,22
7,74.0,23
8,183.0,21
4,22.0,24
3,279.0,25
MRI,24.0,4
7,48.0,4
7,246.0,8
2,266.0,8
8,292.0,11
3,11.0,15
MRI,95.0,18
6,176.0,18
10,296.0,21
3,32.0,22
MRI,67.0,22
8,58.0,23
4,29.0,24
8,182.0,2
4,457.0,2
MRI,151.0,4
MRI,221.0,7
8,145.0,11
4,324.0,11
MRI,405.0,15
8,385.0,14
9,51.0,23
8,379.0,21
3,304.0,25
MRI,190.0,1
4,464.0,2
8,321.0,0
1,13.0,8
4,155.0,10
8,195.0,7
3,213.0,14
8,66.0,14
MRI,56.0,18
MRI,102.0,21
4,125.0,24
6,126.0,24
MRI,111.0,25
3,397.0,25
9,42.0,2
4,162.0,2
5,100.0,4
3,114.0,4
MRI,146.0,4
MRI,196.0,7
3,7.0,8
MRI,313.0,8
8,65.0,7
3,344.0,14
MRI,3.0,15
MRI,159.0,18
10,78.0,21
MRI,57.0,22
MRI,7.0,25
3,397.0,25
8,450.0,21
MRI,22.0,1
10,391.0,3
4,436.0,2
MRI,252.0,7
5,501.0,7
7,181.0,8
5,190.0,8
4,143.0,10
8,177.0,11
MRI,146.0,15
MRI,13.0,18
MRI,146.0,21
3,138.0,18
2,320.0,22
7,54.0,23
5,155.0,21
8,506.0,23
MRI,284.0,25
3,103.0,25
10,158.0,0
MRI,120.0,1
MRI,282.0,4
MRI,33.0,11
8,113.0,14
MRI,57.0,18
3,306.0,18
MRI,209.0,21
MRI,104.0,22
MRI,135.0,25
8,371.0,21
3,178.0,25
3,143.0,4
MRI,152.0,4
MRI,63.0,7
10,150.0,7
7,251.0,8
