schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
0,0,3,0,3,0,7,0,3,0,2,0,2,0,6,0,0,0
0,0,3,0,3,0,7,0,3,0,2,0,2,0,6,0,0,0
0,0,3,0,3,0,7,0,3,0,2,0,2,0,6,0,0,0
0,0,3,0,3,0,7,0,3,0,2,0,2,0,6,0,0,0
0,0,3,0,3,0,7,0,3,0,2,0,2,0,6,0,0,0
0,0,3,0,3,0,7,0,3,0,2,0,2,0,6,0,0,0
0,0,3,0,3,0,7,0,3,0,2,0,2,0,6,0,6,0
0,0,3,0,3,0,8,3,3,1,2,0,3,1,6,1,6,2
0,0,3,0,3,0,8,4,3,1,2,0,3,1,6,1,6,2
0,0,3,0,3,0,8,3,3,1,2,0,3,1,6,4,7,2
0,0,3,0,3,0,8,4,3,1,2,0,3,1,6,4,7,2
0,0,3,0,3,0,8,4,3,1,2,0,3,1,6,5,7,2
0,0,3,0,3,0,8,5,3,1,2,0,3,1,6,5,7,2
0,0,3,0,3,0,8,5,3,1,2,0,3,1,6,4,4,2
0,0,3,0,3,0,8,5,3,1,2,0,3,1,6,3,4,2
0,0,3,0,3,0,8,5,3,1,2,0,3,1,6,3,4,2
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,4,2
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,0,2
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,0,2
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,0,1
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,0,1
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,0,1
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,0,1
0,0,3,0,3,0,7,5,3,1,2,0,2,1,6,3,0,1
1,1,3,0,3,0,7,5,3,1,2,0,2,1,3,3,0,1
1,1,3,0,3,0,7,5,3,1,2,0,2,1,3,3,0,1
1,1,3,0,3,0,7,5,3,1,2,0,2,1,3,3,0,1
1,1,3,0,3,0,7,5,3,1,2,0,2,1,3,3,0,1
1,1,3,0,3,0,7,5,3,1,2,0,2,1,3,3,0,1
1,1,3,0,3,0,7,5,3,1,2,0,2,1,3,3,0,1
1,1,3,0,3,0,7,5,3,1,2,0,2,1,3,3,6,1
1,1,3,0,3,0,8,7,3,1,2,2,3,2,4,4,6,1
1,1,3,0,3,0,8,7,3,3,2,2,3,2,4,4,6,2
1,1,3,0,3,0,8,8,3,3,2,2,3,2,4,4,7,3
1,1,3,0,3,0,8,8,3,3,2,2,3,2,4,4,7,3
1,1,3,0,3,0,8,8,3,3,2,2,3,2,4,5,7,3
1,1,3,0,3,0,8,7,3,3,2,2,3,2,4,5,7,3
1,1,3,0,3,0,8,6,3,3,2,2,3,2,4,4,4,3
1,1,3,0,3,0,8,6,3,3,2,1,3,2,4,4,4,3
1,1,3,0,3,0,8,6,3,2,2,0,3,2,3,3,4,2
1,1,3,0,3,0,7,5,3,2,2,0,2,2,3,3,4,2
1,1,3,0,3,0,7,5,3,2,2,0,2,2,3,3,0,2
1,1,3,0,3,0,7,5,3,2,2,0,2,2,3,3,0,2
1,1,3,0,3,0,7,5,3,2,2,0,2,2,3,3,0,2
1,1,3,0,3,0,7,5,3,1,2,0,2,2,3,3,0,1
1,1,3,0,3,0,7,4,3,1,2,0,2,2,3,3,0,0
1,1,3,0,3,0,7,4,3,1,2,0,2,1,3,3,0,0
1,1,3,0,3,0,7,4,3,1,2,0,2,1,3,3,0,0
2,2,3,0,3,0,7,4,3,1,2,0,2,1,6,3,0,0
2,2,3,0,3,0,7,4,3,1,2,0,2,1,6,3,0,0
2,2,3,0,3,0,7,4,3,1,2,0,2,1,6,3,0,0
2,2,3,0,3,0,7,4,3,1,2,0,2,1,6,3,0,0
2,2,3,0,3,0,7,4,3,1,2,0,2,1,6,3,0,0
2,2,3,0,3,0,7,4,3,1,2,0,2,1,6,3,0,0
2,2,3,0,3,0,7,4,3,1,2,0,2,1,8,3,6,0
2,2,3,0,3,0,8,5,3,2,2,0,3,1,8,6,6,2
2,2,3,0,3,0,8,7,3,2,2,0,3,1,8,6,6,2
2,2,3,0,3,0,8,8,3,3,2,0,3,1,8,7,7,3
2,2,3,0,3,0,8,8,3,3,2,0,3,1,8,8,7,3
2,2,3,0,3,0,8,8,3,3,2,0,3,1,8,9,7,3
2,2,3,0,3,0,8,8,3,3,2,0,3,1,8,9,7,3
2,2,3,0,3,0,8,8,3,2,2,0,3,1,8,9,4,3
2,2,3,0,3,0,8,8,3,2,2,0,3,1,8,9,4,2
2,2,3,0,3,0,8,7,3,2,2,0,3,1,6,9,4,2
2,2,3,0,3,0,7,7,3,2,2,0,2,1,6,9,4,2
2,2,3,0,3,0,7,7,3,2,2,0,2,1,6,8,0,1
2,2,3,0,3,0,7,7,3,2,2,0,2,1,6,8,0,1
2,2,3,0,3,0,7,7,3,2,2,0,2,1,6,8,0,1
2,2,3,0,3,0,7,7,3,2,2,0,2,1,6,8,0,1
2,2,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
2,2,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
2,2,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
3,3,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
3,3,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
3,3,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
3,3,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
3,3,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
3,3,3,0,3,0,7,6,3,2,2,0,2,1,6,8,0,0
3,3,3,0,3,0,7,6,3,2,2,0,2,1,6,8,6,0
3,3,3,0,3,0,8,6,3,3,2,0,3,2,6,7,6,0
3,3,3,0,3,0,8,8,3,3,2,0,3,2,6,7,6,0
3,3,3,0,3,0,8,8,3,3,2,0,3,2,6,6,7,0
3,3,3,0,3,0,8,8,3,3,2,0,3,2,6,6,7,0
3,3,3,0,3,0,8,8,3,3,2,0,3,1,6,6,7,0
3,3,3,0,3,0,8,8,3,3,2,0,3,1,6,6,7,0
3,3,3,0,3,0,8,8,3,2,2,0,3,1,6,6,4,0
3,3,3,0,3,0,8,8,3,2,2,0,3,1,6,6,4,0
3,3,3,0,3,0,8,7,3,2,2,0,3,1,6,6,4,0
3,3,3,0,3,0,7,7,3,2,2,0,2,1,6,6,4,0
3,3,3,0,3,0,7,7,3,2,2,0,2,1,6,6,0,0
3,3,3,0,3,0,7,7,3,2,2,0,2,1,6,6,0,0
3,3,3,0,3,0,7,7,3,2,2,0,2,1,6,6,0,0
3,3,3,0,3,0,7,7,3,2,2,0,2,1,6,6,0,0
3,3,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
3,3,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
3,3,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
4,4,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
4,4,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
4,4,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
4,4,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
4,4,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
4,4,3,0,3,0,7,5,3,2,2,0,2,1,6,6,0,0
4,4,3,0,3,0,7,5,3,2,2,0,2,1,6,6,6,0
4,4,3,0,3,0,8,7,3,2,2,1,3,2,6,6,6,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,6,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,7,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,7,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,7,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,7,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,4,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,4,1
4,4,3,0,3,0,8,8,3,3,2,2,3,2,6,6,4,1
4,4,3,0,3,0,7,8,3,3,2,2,2,2,6,6,4,1
4,4,3,0,3,0,7,8,3,3,2,2,2,2,6,6,0,1
4,4,3,0,3,0,7,8,3,3,2,2,2,2,6,6,0,1
4,4,3,0,3,0,7,8,3,3,2,2,2,2,6,6,0,1
4,4,3,0,3,0,7,8,3,3,2,2,2,2,6,6,0,1
4,4,3,0,3,0,7,8,3,3,2,2,2,2,6,6,0,0
4,4,3,0,3,0,7,8,3,2,2,2,2,2,6,6,0,0
4,4,3,0,3,0,7,8,3,2,2,2,2,2,6,6,0,0
5,5,3,0,2,0,6,8,2,2,2,2,1,2,6,6,0,0
5,5,3,0,2,0,6,8,2,2,2,2,1,2,6,6,0,0
5,5,3,0,2,0,6,8,2,2,2,2,1,2,6,6,0,0
