OT,overtime,schedule_day
9,104.0,0
MRI,27.0,1
10,366.0,3
MRI,137.0,4
6,274.0,4
3,100.0,4
MRI,154.0,7
3,3.0,8
MRI,133.0,8
4,31.0,9
5,365.0,8
MRI,50.0,11
10,195.0,11
4,260.0,11
9,35.0,14
MRI,119.0,15
4,133.0,17
MRI,28.0,18
7,170.0,18
5,459.0,22
10,430.0,0
8,22.0,0
4,180.0,3
10,457.0,3
3,197.0,4
5,264.0,7
MRI,289.0,7
7,76.0,8
8,330.0,7
MRI,16.0,11
7,40.0,14
9,502.0,16
MRI,83.0,18
MRI,222.0,21
MRI,106.0,22
9,158.0,23
MRI,223.0,25
9,64.0,0
10,118.0,0
3,68.0,2
MRI,3.0,4
MRI,216.0,7
4,460.0,10
10,18.0,11
7,89.0,11
MRI,145.0,15
7,157.0,15
9,9.0,16
8,143.0,16
MRI,207.0,18
MRI,55.0,21
MRI,12.0,22
9,323.0,23
MRI,84.0,25
MRI,181.0,1
4,26.0,3
6,198.0,4
MRI,87.0,7
8,398.0,0
MRI,59.0,8
4,201.0,10
MRI,167.0,11
10,465.0,11
6,35.0,14
9,40.0,14
7,92.0,15
MRI,160.0,15
7,51.0,18
3,146.0,18
5,27.0,24
4,217.0,24
MRI,82.0,25
MRI,93.0,1
9,33.0,2
MRI,57.0,4
5,16.0,11
6,11.0,14
9,50.0,14
10,76.0,15
MRI,165.0,15
7,374.0,15
MRI,239.0,21
MRI,31.0,22
7,46.0,23
2,202.0,22
9,212.0,23
4,78.0,24
8,401.0,21
5,4.0,0
9,169.0,0
5,36.0,3
10,359.0,3
MRI,166.0,4
3,231.0,4
MRI,453.0,7
7,16.0,9
4,435.0,10
9,45.0,14
7,260.0,15
MRI,295.0,15
3,18.0,17
4,138.0,17
MRI,23.0,18
MRI,215.0,21
MRI,115.0,22
8,139.0,21
4,183.0,24
MRI,308.0,25
MRI,191.0,4
MRI,265.0,7
MRI,10.0,8
5,385.0,8
MRI,313.0,11
MRI,300.0,15
7,41.0,16
8,291.0,14
MRI,254.0,18
MRI,113.0,21
4,12.0,24
7,10.0,25
MRI,301.0,25
MRI,126.0,1
10,210.0,3
8,19.0,0
MRI,88.0,4
MRI,25.0,7
4,30.0,9
4,224.0,10
MRI,11.0,11
10,59.0,14
4,55.0,17
3,32.0,18
MRI,80.0,22
8,262.0,23
7,398.0,25
MRI,139.0,1
8,93.0,2
10,288.0,3
MRI,385.0,7
MRI,18.0,8
4,25.0,9
8,257.0,7
MRI,332.0,11
10,325.0,11
10,82.0,14
MRI,24.0,15
9,211.0,16
8,16.0,14
MRI,289.0,18
MRI,247.0,21
4,15.0,24
MRI,242.0,25
MRI,122.0,1
8,21.0,2
MRI,209.0,4
MRI,95.0,7
MRI,38.0,8
4,33.0,9
4,139.0,10
MRI,389.0,11
10,121.0,14
MRI,417.0,15
8,279.0,14
MRI,55.0,18
MRI,441.0,21
4,246.0,23
4,121.0,24
9,463.0,0
8,331.0,0
MRI,301.0,4
3,204.0,4
MRI,319.0,11
8,370.0,7
9,17.0,14
10,421.0,14
MRI,13.0,15
8,215.0,14
3,355.0,18
MRI,239.0,21
8,144.0,21
4,360.0,24
MRI,60.0,25
9,64.0,0
10,266.0,0
8,482.0,0
4,37.0,3
MRI,33.0,4
MRI,416.0,7
MRI,50.0,8
3,11.0,11
MRI,167.0,11
9,227.0,14
10,238.0,14
5,485.0,16
8,434.0,14
MRI,65.0,18
MRI,220.0,21
MRI,216.0,22
9,108.0,23
MRI,79.0,25
MRI,94.0,4
MRI,39.0,7
3,14.0,8
7,141.0,8
MRI,146.0,8
7,2.0,10
MRI,175.0,11
MRI,108.0,15
MRI,219.0,18
3,381.0,18
MRI,33.0,21
9,52.0,23
3,14.0,25
2,157.0,1
MRI,145.0,4
5,418.0,4
MRI,220.0,7
5,27.0,11
3,64.0,11
MRI,310.0,11
4,5.0,11
7,9.0,15
9,42.0,16
4,246.0,17
10,240.0,18
3,275.0,18
MRI,82.0,22
8,445.0,21
3,16.0,25
MRI,114.0,25
9,8.0,0
8,176.0,0
7,6.0,3
MRI,225.0,4
MRI,273.0,7
MRI,38.0,8
5,378.0,7
4,368.0,10
MRI,350.0,11
9,46.0,14
10,60.0,14
7,84.0,14
7,81.0,15
MRI,91.0,15
9,278.0,16
8,62.0,14
4,69.0,17
MRI,430.0,18
3,170.0,18
MRI,309.0,21
MRI,100.0,22
5,178.0,22
4,314.0,24
9,47.0,0
MRI,9.0,8
9,71.0,9
MRI,333.0,11
9,126.0,14
7,13.0,15
MRI,236.0,15
9,17.0,16
MRI,209.0,21
8,466.0,25
10,112.0,0
MRI,62.0,1
8,62.0,0
7,10.0,3
10,309.0,3
MRI,69.0,4
MRI,146.0,7
3,26.0,8
MRI,126.0,8
5,158.0,7
8,472.0,7
4,213.0,10
1,28.0,11
MRI,303.0,11
MRI,13.0,15
MRI,162.0,18
3,342.0,18
MRI,236.0,21
MRI,105.0,25
MRI,132.0,1
8,140.0,1
5,48.0,2
1,9.0,3
4,235.0,3
MRI,25.0,15
9,100.0,16
4,23.0,17
3,25.0,18
5,258.0,21
8,248.0,23
7,28.0,25
9,113.0,0
3,16.0,3
4,203.0,3
10,251.0,3
3,172.0,4
5,46.0,9
8,42.0,7
10,446.0,11
7,21.0,15
MRI,261.0,18
3,325.0,18
MRI,240.0,21
5,184.0,22
MRI,287.0,22
7,55.0,24
8,41.0,21
MRI,222.0,25
7,3.0,2
8,67.0,2
6,102.0,3
10,105.0,3
6,102.0,4
3,204.0,4
MRI,128.0,7
10,24.0,14
MRI,385.0,18
MRI,139.0,21
4,8.0,23
8,193.0,21
MRI,156.0,4
MRI,157.0,7
MRI,101.0,8
5,81.0,8
8,405.0,7
4,73.0,11
7,233.0,15
3,282.0,18
MRI,13.0,21
5,314.0,22
8,240.0,23
9,276.0,23
MRI,10.0,25
9,353.0,0
MRI,42.0,1
MRI,39.0,4
MRI,170.0,7
10,50.0,14
MRI,217.0,15
7,396.0,15
MRI,102.0,21
9,0.0,23
5,19.0,23
10,396.0,3
MRI,31.0,7
7,151.0,8
9,80.0,14
4,155.0,17
8,428.0,14
MRI,121.0,21
MRI,106.0,22
5,184.0,21
9,173.0,23
4,48.0,25
MRI,377.0,25
MRI,253.0,1
MRI,163.0,7
MRI,19.0,8
MRI,254.0,11
4,487.0,11
8,30.0,16
4,58.0,17
MRI,197.0,21
5,424.0,21
MRI,201.0,22
9,29.0,23
7,56.0,23
MRI,171.0,25
2,377.0,22
7,473.0,0
MRI,233.0,1
3,29.0,2
8,223.0,0
MRI,410.0,4
MRI,221.0,7
3,56.0,8
MRI,393.0,8
MRI,263.0,11
8,390.0,7
10,128.0,14
MRI,44.0,15
MRI,90.0,18
MRI,51.0,21
5,394.0,23
MRI,71.0,25
10,50.0,0
9,85.0,0
MRI,44.0,1
6,353.0,4
MRI,54.0,7
5,109.0,8
8,349.0,7
7,198.0,15
9,26.0,16
8,263.0,14
MRI,47.0,18
MRI,458.0,21
MRI,207.0,22
MRI,153.0,25
4,60.0,3
MRI,255.0,7
MRI,358.0,8
7,37.0,9
5,183.0,8
4,403.0,10
10,375.0,11
7,474.0,15
9,331.0,16
MRI,276.0,18
3,20.0,22
MRI,104.0,25
7,119.0,25
MRI,141.0,1
4,323.0,3
5,443.0,4
MRI,37.0,7
2,494.0,8
5,385.0,8
8,315.0,11
7,217.0,15
MRI,482.0,15
7,102.0,18
MRI,242.0,21
MRI,109.0,22
8,179.0,21
MRI,177.0,25
MRI,354.0,1
MRI,24.0,4
MRI,128.0,7
7,91.0,8
MRI,215.0,8
3,0.0,11
MRI,95.0,11
MRI,116.0,15
7,129.0,15
MRI,170.0,18
8,102.0,23
5,52.0,25
7,77.0,25
MRI,300.0,25
9,33.0,0
MRI,16.0,1
8,66.0,1
10,450.0,3
3,186.0,4
MRI,79.0,7
2,469.0,8
9,191.0,16
4,103.0,17
MRI,147.0,18
3,308.0,18
MRI,13.0,22
5,40.0,23
4,73.0,23
MRI,89.0,25
MRI,185.0,4
5,305.0,4
3,43.0,4
MRI,67.0,11
4,264.0,11
9,180.0,14
7,112.0,15
8,449.0,14
6,0.0,16
MRI,90.0,18
7,370.0,18
3,159.0,18
5,462.0,21
8,402.0,21
MRI,56.0,25
4,10.0,3
MRI,233.0,4
MRI,60.0,7
8,306.0,7
10,0.0,11
9,27.0,14
7,219.0,15
9,29.0,16
MRI,21.0,18
3,412.0,18
6,22.0,21
5,251.0,23
MRI,197.0,25
7,428.0,25
MRI,9.0,4
MRI,1.0,7
MRI,16.0,8
4,316.0,11
9,74.0,14
8,17.0,15
MRI,89.0,15
7,482.0,15
7,14.0,17
5,227.0,16
5,84.0,18
MRI,158.0,18
MRI,285.0,21
9,41.0,23
7,59.0,23
2,95.0,22
4,121.0,24
5,8.0,25
MRI,108.0,25
8,64.0,25
MRI,55.0,1
9,155.0,0
4,19.0,3
MRI,25.0,7
5,21.0,8
6,86.0,9
5,2.0,10
MRI,90.0,11
2,9.0,15
7,200.0,15
8,389.0,14
3,373.0,18
3,0.0,25
MRI,164.0,25
MRI,69.0,1
10,451.0,3
7,346.0,4
MRI,368.0,4
3,208.0,4
MRI,351.0,7
5,0.0,8
7,15.0,10
MRI,366.0,11
4,15.0,11
7,219.0,15
7,0.0,16
MRI,72.0,18
MRI,113.0,21
5,409.0,21
9,65.0,23
5,477.0,23
10,189.0,23
7,248.0,0
7,11.0,2
8,235.0,0
4,451.0,2
5,70.0,4
MRI,35.0,7
MRI,125.0,8
4,6.0,11
9,114.0,14
7,69.0,15
MRI,80.0,18
MRI,94.0,21
9,51.0,23
10,169.0,23
MRI,215.0,25
7,28.0,3
MRI,293.0,4
MRI,224.0,7
9,46.0,14
MRI,290.0,15
7,422.0,15
9,87.0,16
7,158.0,18
MRI,216.0,18
8,281.0,14
3,438.0,18
MRI,38.0,21
MRI,80.0,22
9,248.0,23
MRI,27.0,25
4,52.0,25
9,123.0,0
MRI,428.0,1
MRI,175.0,4
3,447.0,4
MRI,213.0,7
MRI,47.0,8
MRI,14.0,11
4,407.0,11
7,160.0,15
MRI,293.0,15
MRI,81.0,18
7,385.0,18
MRI,274.0,21
MRI,331.0,22
5,65.0,23
MRI,127.0,25
7,267.0,25
9,318.0,0
MRI,263.0,1
MRI,9.0,7
MRI,112.0,11
4,92.0,11
MRI,141.0,15
7,21.0,16
MRI,49.0,18
6,28.0,21
3,166.0,18
9,36.0,23
6,56.0,24
4,22.0,25
MRI,81.0,25
9,22.0,0
4,265.0,3
MRI,289.0,7
MRI,388.0,8
9,40.0,9
3,12.0,10
8,242.0,7
MRI,195.0,11
4,27.0,11
10,25.0,14
9,75.0,14
MRI,32.0,15
5,0.0,16
9,179.0,16
MRI,48.0,21
MRI,151.0,22
9,68.0,23
MRI,268.0,25
5,78.0,0
MRI,23.0,1
4,229.0,3
MRI,127.0,4
8,219.0,0
3,335.0,4
MRI,30.0,7
8,353.0,7
MRI,159.0,15
7,348.0,15
MRI,113.0,18
MRI,323.0,22
4,48.0,3
8,306.0,0
MRI,249.0,4
3,181.0,4
MRI,237.0,7
MRI,435.0,8
MRI,67.0,11
9,40.0,14
MRI,53.0,15
9,135.0,16
MRI,106.0,18
MRI,50.0,21
5,270.0,21
MRI,450.0,22
5,23.0,23
2,258.0,22
9,168.0,23
3,119.0,25
9,266.0,0
MRI,149.0,1
8,477.0,0
8,420.0,2
4,251.0,3
MRI,42.0,4
3,325.0,4
MRI,244.0,7
4,159.0,10
9,62.0,14
9,27.0,16
8,57.0,14
MRI,134.0,18
4,331.0,16
5,384.0,22
MRI,15.0,25
MRI,95.0,1
MRI,62.0,4
3,236.0,4
MRI,140.0,7
MRI,174.0,8
5,1.0,9
10,229.0,11
4,275.0,11
5,2.0,18
MRI,113.0,18
MRI,79.0,21
MRI,4.0,25
5,113.0,8
4,454.0,10
MRI,270.0,11
MRI,31.0,18
MRI,193.0,21
MRI,145.0,22
2,344.0,22
MRI,160.0,25
9,40.0,0
5,41.0,0
MRI,93.0,1
8,121.0,2
10,201.0,3
MRI,141.0,4
3,334.0,4
MRI,179.0,7
MRI,8.0,8
MRI,353.0,11
4,324.0,11
9,19.0,14
MRI,135.0,15
10,1.0,16
MRI,14.0,18
7,77.0,18
MRI,390.0,21
2,181.0,22
4,45.0,24
MRI,103.0,25
8,43.0,25
5,64.0,0
MRI,52.0,1
MRI,188.0,4
3,64.0,4
MRI,194.0,7
5,311.0,7
MRI,68.0,8
MRI,89.0,11
4,142.0,11
8,182.0,15
10,2.0,16
3,20.0,18
MRI,321.0,21
5,460.0,22
8,404.0,23
4,73.0,24
2,117.0,22
10,124.0,25
7,189.0,25
MRI,240.0,25
9,71.0,0
MRI,93.0,4
6,135.0,4
MRI,163.0,7
MRI,127.0,8
7,183.0,8
4,218.0,11
7,170.0,15
MRI,86.0,18
MRI,18.0,21
7,20.0,23
9,275.0,23
3,45.0,24
4,139.0,24
8,144.0,21
9,293.0,0
8,125.0,0
3,172.0,4
MRI,132.0,8
10,46.0,11
MRI,151.0,11
4,439.0,11
10,91.0,14
9,113.0,14
MRI,0.0,15
7,188.0,15
9,20.0,16
MRI,120.0,18
MRI,145.0,21
9,358.0,23
MRI,100.0,25
9,15.0,2
MRI,43.0,7
7,17.0,9
10,111.0,11
4,46.0,11
10,97.0,14
2,73.0,15
9,157.0,16
5,509.0,21
4,158.0,24
3,14.0,25
MRI,345.0,4
MRI,131.0,7
7,104.0,8
10,204.0,11
MRI,463.0,11
7,9.0,15
MRI,63.0,15
4,63.0,17
MRI,54.0,18
2,23.0,21
MRI,242.0,25
10,123.0,0
MRI,175.0,1
10,413.0,3
MRI,110.0,4
10,95.0,11
8,292.0,14
5,414.0,16
MRI,203.0,18
8,474.0,21
MRI,135.0,25
9,220.0,0
MRI,44.0,1
MRI,7.0,7
MRI,312.0,11
9,42.0,14
2,2.0,15
7,107.0,15
MRI,235.0,18
MRI,336.0,21
9,39.0,23
8,413.0,23
4,11.0,24
MRI,76.0,25
MRI,240.0,1
8,427.0,2
MRI,381.0,7
3,19.0,8
7,23.0,8
MRI,52.0,8
4,17.0,11
10,190.0,14
MRI,223.0,15
MRI,201.0,18
MRI,95.0,22
5,418.0,22
8,368.0,21
MRI,190.0,25
MRI,92.0,1
MRI,5.0,7
8,98.0,9
8,12.0,15
MRI,270.0,15
8,335.0,16
MRI,470.0,18
6,12.0,21
