OT,surgery_duration,schedule_day,simulation_day
7,49,0,0
9,124,0,0
6,220,0,0
6,123,0,0
7,1099,0,0
5,100,0,0
3,135,0,0
5,105,1,1
3,74,1,1
2,12,1,1
7,80,1,1
3,16,1,1
7,121,1,1
2,8,1,1
5,88,1,1
5,205,0,0
MRI,340,1,1
2,31,1,1
7,108,1,1
4,44,2,2
7,75,2,2
9,153,2,2
2,736,1,1
7,73,1,1
10,78,2,2
7,11,2,2
4,78,2,2
MRI,163,1,1
8,254,2,2
1,30,1,1
10,291,0,0
10,228,2,2
7,80,0,0
3,81,2,2
8,341,2,2
9,313,2,2
7,93,2,2
3,2327,2,2
4,436,3,3
1,58,3,3
5,86,2,2
5,28,3,3
MRI,389,4,4
4,72,4,4
7,109,2,2
4,96,4,4
5,201,2,2
7,32,4,4
6,86,3,3
5,5,4,4
9,97,0,0
1,83,0,0
5,46,2,2
MRI,381,4,4
5,74,4,4
3,3545,4,4
5,55,3,3
7,78,3,3
10,891,1,1
2,38,3,3
5,65,7,7
2,84,7,7
6,125,7,7
7,38,2,2
MRI,259,7,7
5,92,7,7
9,144,7,7
4,334,2,2
3,48,8,8
6,67,7,7
3,29,8,8
7,70,8,8
5,108,8,8
MRI,126,8,8
5,14,8,8
5,41,8,8
7,114,8,8
10,481,7,7
6,94,9,9
10,242,8,8
10,77,9,9
MRI,379,7,7
5,69,9,9
1,54,7,7
7,82,10,10
5,583,10,10
4,286,3,3
6,97,9,9
10,52,9,9
4,2581,9,9
1,114,8,8
2,4052,8,8
5,102,9,9
7,120,4,4
9,178,0,0
5,22,11,11
3,141,11,11
5,58,10,10
3,24,11,11
MRI,142,11,11
MRI,463,8,8
8,100,11,11
7,59,11,11
5,1345,7,7
1,55,10,10
6,136,10,10
5,146,11,11
4,1833,11,11
8,238,11,11
1,78,11,11
9,144,9,9
MRI,394,11,11
7,76,14,14
9,94,14,14
6,124,14,14
1,80,2,2
2,124,14,14
9,281,14,14
6,103,14,14
3,206,7,7
5,144,14,14
5,41,14,14
1,70,9,9
9,173,14,14
7,19,14,14
MRI,312,15,15
5,67,15,15
5,22,15,15
5,77,15,15
3,16,15,15
2,129,15,15
3,18,15,15
5,89,15,15
MRI,265,15,15
4,29,16,16
9,195,16,16
10,217,15,15
1,61,14,14
7,118,16,16
1,86,4,4
6,145,16,16
10,167,16,16
1,70,15,15
1,81,17,17
7,53,17,17
4,503,17,17
3,89,18,18
4,79,18,18
3,93,17,17
4,62,18,18
MRI,200,18,18
MRI,253,18,18
5,150,18,18
3,42,18,18
1,47,16,16
3,32,18,18
2,72,17,17
7,612,14,14
3,320,14,14
5,135,16,16
1,81,21,21
6,117,21,21
5,7,21,21
5,69,21,21
2,34,21,21
6,170,21,21
3,45,22,22
5,35,22,22
4,105,16,16
5,12,22,22
5,89,22,22
MRI,571,22,22
4,60,22,22
5,52,22,22
5,67,22,22
2,37,22,22
4,42,22,22
6,23,23,23
6,70,23,23
7,610,9,9
6,70,23,23
6,93,23,23
9,605,23,23
2,94,0,0
5,141,23,23
MRI,213,21,21
5,85,24,24
10,79,14,14
4,474,24,24
5,125,24,24
2,80,24,24
5,83,25,25
1,84,18,18
6,700,4,4
4,89,25,25
4,49,25,25
3,32,25,25
4,21,25,25
4,70,25,25
MRI,168,25,25
10,427,3,3
8,4833,7,7
7,494,22,22
9,173,9,9
5,108,25,25
1,105,22,22
10,90,21,21
2,68,0,28
6,150,0,28
1,169,25,25
6,87,0,28
3,256,24,24
5,98,0,28
5,171,0,28
7,15,0,28
9,241,0,28
7,668,0,28
7,119,0,28
MRI,629,21,21
10,87,21,21
9,157,0,28
2,43,1,29
2,70,1,29
1,69,24,24
9,115,16,16
1,58,0,28
2,4,1,29
1,122,1,29
3,42,1,29
7,95,2,30
3,222,0,28
9,138,0,28
5,103,2,30
4,31,2,30
3,50,25,25
5,182,1,29
9,126,7,7
9,175,2,30
10,224,2,30
3,66,3,31
4,540,3,31
2,89,3,31
MRI,373,4,32
4,71,4,32
5,51,3,31
8,154,2,30
4,77,4,32
4,94,2,30
1,88,2,30
3,2193,4,32
5,103,4,32
9,232,2,30
MRI,271,1,29
3,381,21,21
MRI,428,4,32
MRI,300,1,29
7,113,1,29
5,67,7,35
6,77,7,35
1,95,7,35
6,108,11,11
6,67,7,35
MRI,1069,7,35
MRI,271,8,36
2,97,7,35
MRI,258,25,25
5,57,8,36
3,91,8,36
5,2,8,36
9,149,9,37
10,157,0,28
5,20,8,36
5,110,7,35
10,77,9,37
6,164,9,37
6,97,9,37
1,43,8,36
5,122,9,37
8,4101,3,3
2,2805,8,36
1,76,3,31
MRI,227,7,35
5,57,10,38
9,65,7,35
5,43,10,38
1,121,10,38
3,59,11,39
7,67,8,36
5,4,11,39
2,62,10,38
MRI,697,11,39
4,2166,11,39
1,134,11,39
1,103,9,37
7,22,2,30
6,213,25,25
2,107,14,42
7,58,14,42
9,191,14,42
7,45,10,38
3,1004,10,38
5,173,14,42
5,115,14,42
9,712,14,42
7,70,14,42
6,118,14,42
4,614,10,38
5,27,15,43
5,57,15,43
7,213,11,11
2,228,15,43
5,44,15,43
3,28,15,43
5,28,15,43
7,110,16,44
1,67,14,42
3,492,14,42
5,120,16,44
4,28,16,44
9,83,16,44
5,77,16,44
6,60,16,44
10,250,16,44
7,87,17,45
1,48,17,45
1,90,23,23
7,72,15,43
3,71,2,30
3,118,17,45
4,77,16,44
3,152,7,35
7,117,18,46
7,9,16,44
3,26,18,46
4,103,18,46
3,48,15,43
MRI,200,15,43
9,121,9,37
3,25,18,46
1,57,16,44
MRI,132,11,39
MRI,284,18,46
7,54,16,44
8,3103,0,28
4,84,16,44
5,120,18,46
