OT,overtime,schedule_day
7,37.0,0
9,180.0,0
MRI,31.0,1
10,130.0,3
3,300.0,2
8,37.0,4
10,86.0,4
MRI,179.0,4
5,485.0,3
3,419.0,4
10,178.0,7
MRI,15.0,8
7,30.0,8
5,217.0,7
6,40.0,9
9,73.0,9
6,51.0,11
8,204.0,11
MRI,261.0,11
9,186.0,14
10,403.0,14
MRI,198.0,15
8,222.0,14
MRI,247.0,18
MRI,193.0,21
4,51.0,23
MRI,113.0,25
MRI,143.0,1
9,42.0,2
MRI,306.0,4
3,267.0,4
MRI,102.0,7
9,131.0,7
MRI,145.0,8
7,447.0,8
9,251.0,9
3,119.0,10
4,257.0,9
MRI,268.0,11
9,16.0,14
MRI,37.0,15
MRI,233.0,18
MRI,469.0,21
MRI,5.0,22
4,448.0,23
6,27.0,25
MRI,117.0,25
MRI,298.0,1
8,83.0,0
9,103.0,7
MRI,351.0,7
MRI,273.0,8
7,62.0,9
9,91.0,9
4,224.0,9
2,490.0,8
MRI,150.0,11
4,319.0,11
9,91.0,16
8,154.0,16
5,480.0,16
4,42.0,17
MRI,330.0,18
MRI,198.0,21
5,47.0,23
MRI,168.0,25
MRI,161.0,1
8,34.0,0
MRI,187.0,4
9,129.0,7
5,415.0,7
MRI,0.0,8
9,26.0,9
2,93.0,8
6,24.0,11
MRI,93.0,11
MRI,276.0,15
5,451.0,16
4,230.0,17
10,326.0,21
MRI,65.0,22
8,45.0,21
3,17.0,25
4,41.0,25
MRI,96.0,25
MRI,316.0,1
7,26.0,2
5,235.0,3
MRI,57.0,4
6,88.0,4
MRI,16.0,7
MRI,107.0,8
8,104.0,11
MRI,158.0,11
4,225.0,11
7,6.0,14
10,291.0,14
9,54.0,16
8,368.0,14
3,5.0,18
MRI,178.0,18
MRI,96.0,21
9,102.0,21
9,58.0,23
7,72.0,24
4,17.0,25
3,54.0,25
MRI,269.0,25
10,10.0,0
5,10.0,2
MRI,152.0,4
3,101.0,4
9,4.0,7
MRI,93.0,7
10,157.0,7
3,6.0,8
MRI,191.0,8
3,406.0,10
MRI,36.0,11
8,420.0,7
9,64.0,14
9,8.0,16
8,327.0,16
MRI,5.0,22
3,73.0,22
5,27.0,24
MRI,300.0,25
6,349.0,25
9,283.0,0
MRI,262.0,1
8,9.0,2
7,20.0,2
5,431.0,2
6,91.0,4
MRI,205.0,7
MRI,79.0,8
9,39.0,9
5,136.0,9
8,75.0,7
3,213.0,10
4,476.0,9
MRI,192.0,11
10,456.0,14
MRI,227.0,15
9,74.0,16
5,2.0,17
8,80.0,14
10,347.0,17
MRI,41.0,18
MRI,137.0,21
3,11.0,22
10,51.0,21
MRI,357.0,22
7,162.0,0
MRI,305.0,1
5,250.0,2
MRI,9.0,4
10,184.0,4
6,222.0,4
8,430.0,0
10,35.0,7
MRI,45.0,7
MRI,454.0,8
8,119.0,7
4,203.0,9
6,15.0,11
MRI,141.0,11
8,261.0,11
10,285.0,11
9,107.0,14
3,127.0,14
MRI,156.0,15
8,425.0,14
MRI,167.0,21
MRI,94.0,22
5,7.0,23
MRI,70.0,25
MRI,101.0,1
5,112.0,2
MRI,296.0,4
6,311.0,4
3,314.0,4
MRI,122.0,7
5,377.0,7
MRI,496.0,8
6,122.0,11
MRI,305.0,11
4,55.0,11
9,217.0,14
MRI,44.0,15
5,349.0,16
MRI,104.0,18
9,4.0,21
MRI,213.0,21
MRI,149.0,22
MRI,86.0,25
4,331.0,23
9,13.0,0
MRI,143.0,1
8,260.0,0
3,108.0,2
MRI,450.0,4
10,87.0,7
MRI,134.0,7
MRI,84.0,8
9,104.0,9
5,8.0,11
MRI,18.0,11
3,136.0,10
4,8.0,17
MRI,147.0,18
MRI,354.0,21
MRI,0.0,22
3,19.0,22
7,38.0,25
MRI,165.0,25
MRI,229.0,1
8,68.0,0
MRI,380.0,4
3,269.0,4
10,141.0,7
MRI,188.0,7
9,437.0,9
MRI,45.0,11
MRI,100.0,15
4,203.0,17
8,313.0,14
MRI,314.0,18
MRI,41.0,21
3,21.0,22
MRI,28.0,22
9,82.0,23
7,19.0,25
MRI,323.0,25
3,437.0,25
9,49.0,0
MRI,273.0,1
8,78.0,4
MRI,181.0,7
7,51.0,11
MRI,166.0,11
6,177.0,11
3,282.0,14
8,104.0,14
MRI,202.0,18
MRI,295.0,21
MRI,18.0,22
10,316.0,24
MRI,171.0,25
4,353.0,23
MRI,423.0,1
7,32.0,3
4,297.0,3
MRI,127.0,4
8,337.0,0
MRI,91.0,7
9,206.0,7
MRI,314.0,8
2,20.0,10
4,447.0,9
6,148.0,11
9,220.0,14
MRI,161.0,15
MRI,33.0,18
MRI,506.0,21
MRI,448.0,22
9,81.0,23
MRI,11.0,25
8,165.0,21
MRI,64.0,1
5,39.0,3
5,72.0,4
MRI,122.0,4
6,141.0,4
3,2.0,4
10,53.0,7
MRI,189.0,7
MRI,247.0,8
4,122.0,9
3,193.0,10
6,245.0,11
MRI,333.0,11
4,364.0,11
3,482.0,14
MRI,2.0,15
6,41.0,17
4,79.0,17
MRI,420.0,18
MRI,71.0,21
MRI,154.0,22
9,262.0,23
8,265.0,21
MRI,210.0,25
4,240.0,23
MRI,97.0,1
4,312.0,3
8,176.0,4
5,219.0,4
MRI,209.0,8
2,141.0,8
MRI,255.0,11
9,79.0,14
8,466.0,14
MRI,149.0,18
MRI,291.0,21
MRI,124.0,22
9,31.0,23
MRI,226.0,25
9,92.0,0
MRI,32.0,1
3,405.0,2
MRI,82.0,4
MRI,280.0,7
MRI,10.0,8
3,33.0,8
2,432.0,8
MRI,180.0,11
3,132.0,14
MRI,278.0,15
MRI,110.0,18
MRI,21.0,21
3,21.0,22
MRI,31.0,22
9,92.0,23
MRI,188.0,25
3,203.0,25
MRI,148.0,1
MRI,18.0,4
MRI,209.0,7
MRI,7.0,8
9,20.0,9
5,47.0,11
9,45.0,14
9,21.0,16
7,64.0,16
6,14.0,17
MRI,56.0,18
MRI,207.0,21
MRI,320.0,22
8,344.0,21
6,72.0,25
MRI,96.0,25
8,445.0,25
10,493.0,25
9,21.0,0
MRI,237.0,1
8,233.0,0
MRI,104.0,4
8,111.0,4
9,174.0,7
MRI,415.0,7
MRI,176.0,8
7,419.0,8
MRI,321.0,11
4,453.0,9
MRI,249.0,15
4,157.0,17
MRI,39.0,18
MRI,273.0,21
MRI,265.0,22
8,283.0,14
7,42.0,24
4,26.0,25
MRI,449.0,25
MRI,125.0,1
8,496.0,0
MRI,44.0,4
MRI,309.0,7
5,312.0,7
MRI,258.0,8
7,38.0,9
8,138.0,7
MRI,154.0,11
4,231.0,9
9,20.0,14
3,82.0,14
10,303.0,14
MRI,36.0,15
8,397.0,14
5,19.0,16
7,2.0,17
4,12.0,17
6,2.0,18
MRI,84.0,18
10,359.0,21
MRI,173.0,22
8,60.0,21
MRI,15.0,25
MRI,19.0,1
MRI,220.0,4
6,370.0,4
3,432.0,4
MRI,86.0,7
MRI,160.0,8
MRI,289.0,11
9,77.0,14
3,159.0,14
MRI,101.0,15
4,62.0,17
8,334.0,14
MRI,7.0,18
10,73.0,21
MRI,164.0,21
MRI,247.0,22
9,299.0,23
MRI,131.0,25
9,6.0,0
MRI,49.0,1
2,264.0,1
7,17.0,3
MRI,106.0,4
3,367.0,4
10,32.0,7
MRI,259.0,7
MRI,43.0,8
9,504.0,9
MRI,78.0,11
9,29.0,14
3,170.0,14
MRI,240.0,15
9,189.0,16
4,264.0,17
MRI,84.0,18
MRI,284.0,21
5,49.0,22
4,66.0,22
9,202.0,23
4,48.0,25
MRI,109.0,25
9,74.0,0
3,48.0,1
MRI,365.0,1
4,100.0,3
MRI,394.0,4
6,499.0,4
9,41.0,7
10,184.0,7
MRI,430.0,7
MRI,37.0,8
7,149.0,8
8,55.0,9
MRI,180.0,11
4,437.0,11
MRI,43.0,15
8,382.0,14
8,461.0,16
7,33.0,17
MRI,39.0,18
MRI,120.0,21
8,447.0,21
9,180.0,23
7,265.0,25
MRI,218.0,1
5,385.0,2
MRI,31.0,4
6,304.0,4
3,203.0,4
MRI,116.0,7
MRI,429.0,8
9,59.0,9
MRI,228.0,11
4,60.0,11
MRI,234.0,15
9,85.0,16
MRI,27.0,21
MRI,6.0,22
4,401.0,24
MRI,35.0,25
MRI,72.0,1
MRI,151.0,4
10,29.0,7
MRI,122.0,7
MRI,449.0,8
9,225.0,9
8,245.0,7
MRI,154.0,11
4,260.0,11
3,241.0,14
MRI,124.0,15
MRI,280.0,18
MRI,32.0,21
MRI,113.0,22
8,96.0,21
4,39.0,25
6,15.0,0
MRI,361.0,1
5,2.0,2
MRI,212.0,4
3,130.0,10
MRI,217.0,11
9,338.0,16
8,90.0,14
MRI,150.0,18
MRI,22.0,21
MRI,291.0,22
8,49.0,21
4,42.0,25
MRI,121.0,25
3,421.0,2
MRI,61.0,4
3,162.0,4
MRI,22.0,7
MRI,258.0,8
MRI,85.0,11
9,141.0,14
MRI,93.0,15
MRI,88.0,21
MRI,118.0,22
5,410.0,22
4,54.0,24
MRI,500.0,25
9,0.0,0
8,465.0,21
MRI,126.0,1
2,333.0,1
3,179.0,2
6,249.0,4
10,153.0,7
MRI,388.0,7
MRI,375.0,8
9,84.0,9
4,311.0,9
9,25.0,14
10,311.0,14
MRI,96.0,15
4,5.0,17
MRI,141.0,18
MRI,209.0,21
MRI,166.0,22
8,446.0,21
4,25.0,25
MRI,94.0,25
9,18.0,0
7,42.0,0
MRI,86.0,1
7,96.0,4
MRI,168.0,4
MRI,74.0,7
9,112.0,7
7,193.0,8
MRI,309.0,8
MRI,376.0,11
4,460.0,11
MRI,2.0,15
8,274.0,14
MRI,71.0,21
MRI,73.0,22
MRI,278.0,25
MRI,25.0,1
MRI,24.0,4
3,115.0,4
MRI,204.0,7
3,0.0,8
7,82.0,8
MRI,128.0,8
4,391.0,9
6,235.0,11
MRI,364.0,11
MRI,103.0,15
MRI,171.0,18
MRI,271.0,21
MRI,205.0,25
4,285.0,24
9,62.0,0
MRI,367.0,1
3,221.0,4
9,201.0,9
MRI,98.0,11
9,32.0,14
MRI,53.0,18
MRI,72.0,22
MRI,99.0,25
MRI,489.0,1
5,55.0,2
MRI,179.0,4
3,180.0,4
MRI,178.0,7
10,225.0,7
9,24.0,9
8,109.0,7
4,311.0,10
9,54.0,14
MRI,59.0,15
MRI,16.0,18
MRI,421.0,21
MRI,99.0,22
9,42.0,23
MRI,356.0,25
8,503.0,0
MRI,83.0,4
MRI,28.0,7
MRI,286.0,8
9,34.0,9
4,426.0,9
MRI,123.0,11
8,171.0,7
4,314.0,11
3,266.0,14
MRI,126.0,15
9,102.0,16
MRI,161.0,18
MRI,167.0,21
10,233.0,21
MRI,185.0,25
7,282.0,25
MRI,66.0,1
MRI,131.0,4
MRI,198.0,7
9,7.0,9
3,298.0,10
4,498.0,9
MRI,213.0,11
MRI,43.0,18
MRI,298.0,21
MRI,81.0,22
4,175.0,24
8,386.0,21
7,171.0,25
MRI,255.0,25
MRI,113.0,1
8,459.0,0
4,461.0,3
MRI,182.0,4
5,6.0,8
8,0.0,9
9,46.0,9
3,163.0,10
4,362.0,9
2,491.0,8
MRI,495.0,11
9,71.0,14
10,317.0,14
MRI,226.0,15
9,104.0,16
4,256.0,17
3,406.0,14
MRI,225.0,18
MRI,336.0,21
MRI,329.0,22
9,1.0,23
4,29.0,25
MRI,342.0,25
9,3.0,0
MRI,106.0,1
MRI,10.0,4
4,40.0,4
3,46.0,4
6,28.0,7
MRI,51.0,7
MRI,370.0,8
9,238.0,9
3,183.0,10
4,345.0,9
8,409.0,7
MRI,223.0,11
9,11.0,14
3,89.0,14
MRI,118.0,15
MRI,320.0,18
6,16.0,21
MRI,62.0,21
MRI,166.0,22
9,104.0,23
8,30.0,21
MRI,45.0,25
6,125.0,25
MRI,26.0,1
MRI,97.0,4
3,107.0,4
9,189.0,7
MRI,248.0,7
MRI,74.0,8
4,179.0,9
MRI,9.0,11
4,264.0,11
MRI,193.0,15
MRI,46.0,18
MRI,297.0,21
3,15.0,22
MRI,249.0,22
MRI,170.0,25
MRI,246.0,1
MRI,16.0,4
MRI,288.0,7
MRI,194.0,8
MRI,7.0,11
3,191.0,14
MRI,87.0,15
MRI,7.0,18
MRI,248.0,21
MRI,229.0,22
8,359.0,21
MRI,320.0,25
4,358.0,24
9,115.0,0
MRI,220.0,1
9,2.0,2
MRI,333.0,4
MRI,76.0,7
MRI,354.0,8
6,96.0,9
3,9.0,11
6,92.0,11
MRI,106.0,11
3,59.0,14
9,480.0,14
MRI,245.0,15
MRI,139.0,21
10,396.0,21
5,455.0,21
MRI,10.0,22
7,51.0,24
MRI,86.0,25
MRI,160.0,1
8,292.0,0
4,82.0,3
MRI,211.0,4
MRI,15.0,7
7,103.0,8
MRI,205.0,8
8,31.0,7
MRI,76.0,11
MRI,177.0,15
5,0.0,16
4,509.0,17
MRI,104.0,18
8,423.0,14
4,34.0,25
5,35.0,25
MRI,451.0,25
MRI,167.0,1
10,262.0,7
9,57.0,9
4,30.0,9
MRI,104.0,11
9,7.0,14
3,440.0,14
9,198.0,16
4,33.0,17
MRI,314.0,18
MRI,68.0,21
3,48.0,22
MRI,301.0,22
6,234.0,25
7,8.0,2
4,18.0,3
MRI,217.0,4
8,472.0,0
MRI,268.0,7
MRI,30.0,8
2,13.0,8
9,21.0,9
3,1.0,11
MRI,111.0,11
4,103.0,11
3,41.0,14
MRI,146.0,15
9,35.0,16
10,84.0,17
MRI,84.0,18
MRI,91.0,21
MRI,172.0,22
7,41.0,23
MRI,15.0,25
4,63.0,25
MRI,220.0,1
4,326.0,3
MRI,361.0,4
MRI,78.0,7
MRI,323.0,8
9,25.0,9
3,16.0,10
MRI,265.0,11
MRI,310.0,15
MRI,101.0,18
MRI,0.0,21
MRI,55.0,22
3,68.0,24
4,21.0,25
MRI,372.0,25
9,202.0,0
MRI,1.0,1
MRI,301.0,4
MRI,66.0,7
9,111.0,7
MRI,8.0,8
4,64.0,10
MRI,102.0,11
9,114.0,14
9,76.0,16
MRI,25.0,18
4,48.0,25
MRI,307.0,25
MRI,112.0,4
3,12.0,4
MRI,37.0,7
10,48.0,7
MRI,355.0,8
8,354.0,7
4,206.0,11
9,96.0,14
3,291.0,14
MRI,280.0,15
5,298.0,16
10,290.0,17
MRI,104.0,18
MRI,14.0,22
9,19.0,23
8,20.0,21
MRI,4.0,25
4,35.0,25
9,92.0,0
MRI,266.0,1
8,132.0,0
MRI,345.0,4
9,20.0,7
MRI,58.0,7
5,424.0,7
MRI,310.0,8
8,108.0,7
4,174.0,9
MRI,182.0,11
9,172.0,14
MRI,135.0,18
8,411.0,14
MRI,114.0,21
10,356.0,21
MRI,21.0,22
8,214.0,21
6,75.0,25
9,1.0,0
MRI,3.0,1
MRI,254.0,4
6,298.0,4
3,410.0,4
MRI,137.0,7
5,11.0,8
3,11.0,8
7,74.0,8
MRI,100.0,8
10,7.0,9
3,368.0,10
4,485.0,9
MRI,122.0,11
4,156.0,11
3,239.0,14
10,333.0,14
9,12.0,16
MRI,389.0,22
MRI,104.0,25
MRI,70.0,4
MRI,7.0,7
MRI,276.0,8
4,251.0,10
3,367.0,10
MRI,247.0,11
8,465.0,7
4,390.0,11
MRI,119.0,15
9,61.0,16
4,21.0,18
MRI,139.0,18
MRI,159.0,22
9,277.0,23
4,48.0,23
MRI,268.0,25
7,7.0,0
5,37.0,2
8,59.0,0
MRI,50.0,4
MRI,207.0,7
MRI,59.0,8
9,106.0,9
MRI,114.0,11
4,263.0,11
3,68.0,14
9,70.0,14
MRI,259.0,15
9,200.0,16
4,151.0,17
MRI,130.0,18
MRI,296.0,21
MRI,9.0,22
6,19.0,25
MRI,475.0,4
3,5.0,4
MRI,371.0,7
MRI,335.0,8
4,55.0,9
8,268.0,7
MRI,116.0,11
MRI,182.0,15
MRI,24.0,18
MRI,217.0,21
MRI,65.0,22
8,159.0,14
9,103.0,23
MRI,144.0,25
9,59.0,0
MRI,64.0,4
6,36.0,9
9,133.0,9
8,239.0,7
4,299.0,9
9,60.0,14
8,336.0,14
MRI,215.0,18
MRI,393.0,21
MRI,185.0,22
7,34.0,24
5,82.0,24
3,9.0,25
MRI,173.0,25
MRI,224.0,1
MRI,38.0,4
3,203.0,4
MRI,135.0,7
9,7.0,9
3,104.0,10
MRI,254.0,11
4,10.0,11
8,404.0,14
9,59.0,16
MRI,162.0,18
MRI,195.0,21
3,10.0,22
MRI,106.0,22
9,136.0,23
MRI,87.0,25
6,423.0,25
8,110.0,21
9,39.0,0
MRI,178.0,1
MRI,136.0,4
MRI,332.0,7
9,35.0,9
9,113.0,14
MRI,206.0,15
MRI,63.0,18
MRI,10.0,21
9,53.0,21
MRI,241.0,22
4,16.0,25
MRI,112.0,25
9,25.0,0
MRI,144.0,1
8,446.0,0
MRI,196.0,4
MRI,87.0,8
9,27.0,9
MRI,244.0,11
3,189.0,14
MRI,38.0,15
9,73.0,16
MRI,102.0,18
MRI,21.0,21
MRI,417.0,22
MRI,249.0,25
MRI,10.0,4
9,239.0,7
MRI,246.0,7
MRI,208.0,8
4,364.0,9
9,103.0,14
MRI,171.0,21
9,23.0,23
4,23.0,25
MRI,72.0,25
9,78.0,0
4,16.0,4
MRI,66.0,4
9,149.0,7
MRI,165.0,7
MRI,246.0,8
9,87.0,9
3,86.0,10
4,154.0,9
4,296.0,11
9,9.0,14
MRI,98.0,15
9,5.0,16
8,136.0,14
4,173.0,17
MRI,165.0,18
MRI,309.0,21
3,25.0,22
MRI,113.0,22
MRI,361.0,25
MRI,292.0,1
MRI,312.0,4
MRI,35.0,7
9,376.0,7
MRI,193.0,11
9,146.0,14
MRI,97.0,15
9,101.0,16
MRI,62.0,18
MRI,109.0,21
MRI,61.0,22
8,97.0,21
MRI,68.0,25
MRI,246.0,1
9,34.0,2
4,389.0,3
7,43.0,4
MRI,47.0,4
6,230.0,4
MRI,4.0,7
9,266.0,9
8,334.0,9
MRI,164.0,11
10,148.0,14
9,271.0,14
8,217.0,14
5,394.0,16
MRI,185.0,18
MRI,69.0,21
MRI,202.0,22
4,265.0,23
MRI,229.0,25
5,3.0,2
MRI,212.0,4
MRI,131.0,7
MRI,74.0,8
2,301.0,8
MRI,309.0,11
4,176.0,11
9,85.0,14
3,100.0,14
9,365.0,16
4,158.0,17
MRI,96.0,18
MRI,484.0,22
9,16.0,23
3,11.0,25
MRI,150.0,25
9,53.0,0
MRI,306.0,1
MRI,132.0,4
3,240.0,4
MRI,14.0,7
MRI,140.0,8
9,223.0,9
MRI,322.0,11
MRI,421.0,15
9,216.0,16
10,430.0,17
MRI,33.0,18
MRI,181.0,21
MRI,141.0,22
9,76.0,23
4,494.0,24
4,32.0,25
MRI,171.0,1
6,21.0,4
MRI,149.0,4
3,183.0,4
9,37.0,7
MRI,66.0,7
MRI,143.0,8
2,211.0,8
7,47.0,10
MRI,44.0,11
4,216.0,9
3,244.0,14
MRI,124.0,15
8,161.0,14
4,235.0,17
4,7.0,18
MRI,386.0,18
9,51.0,21
MRI,122.0,21
MRI,350.0,22
9,1.0,23
MRI,0.0,25
MRI,49.0,1
MRI,136.0,4
10,4.0,7
5,459.0,7
MRI,160.0,8
7,252.0,8
4,273.0,9
8,354.0,7
MRI,174.0,11
4,244.0,11
9,149.0,14
3,476.0,14
MRI,22.0,15
9,232.0,16
8,466.0,14
MRI,96.0,18
MRI,82.0,21
MRI,216.0,22
4,171.0,24
MRI,67.0,25
MRI,57.0,1
4,112.0,3
MRI,9.0,4
MRI,223.0,7
MRI,98.0,8
3,421.0,10
MRI,137.0,11
9,35.0,14
MRI,134.0,15
4,175.0,17
MRI,193.0,18
MRI,10.0,22
9,9.0,23
MRI,21.0,25
9,38.0,0
3,4.0,1
MRI,86.0,4
MRI,13.0,7
9,240.0,7
MRI,161.0,8
9,10.0,9
4,253.0,9
MRI,183.0,11
MRI,42.0,15
9,40.0,16
8,169.0,14
MRI,132.0,22
4,451.0,23
MRI,162.0,25
3,490.0,25
MRI,15.0,1
MRI,4.0,7
MRI,131.0,8
9,88.0,9
8,465.0,7
MRI,103.0,11
4,438.0,11
3,357.0,14
9,455.0,14
MRI,96.0,15
9,88.0,16
4,73.0,17
MRI,201.0,18
MRI,28.0,21
MRI,250.0,22
MRI,492.0,25
MRI,248.0,1
8,293.0,0
MRI,131.0,4
8,136.0,4
MRI,18.0,7
MRI,116.0,11
9,458.0,14
MRI,100.0,15
9,109.0,16
MRI,185.0,21
MRI,256.0,22
MRI,58.0,25
MRI,401.0,1
6,405.0,4
3,19.0,8
9,375.0,9
4,312.0,11
3,25.0,14
9,41.0,16
4,73.0,17
10,405.0,17
MRI,400.0,18
MRI,276.0,21
MRI,7.0,22
9,212.0,23
MRI,108.0,25
9,30.0,0
3,54.0,1
MRI,219.0,1
4,236.0,3
MRI,320.0,4
3,116.0,4
9,280.0,7
MRI,345.0,7
MRI,234.0,8
8,236.0,7
MRI,21.0,11
4,270.0,11
9,21.0,14
MRI,25.0,18
MRI,471.0,21
3,54.0,22
MRI,106.0,22
8,138.0,21
9,130.0,0
MRI,45.0,1
MRI,113.0,4
3,386.0,4
MRI,173.0,7
MRI,112.0,8
3,490.0,10
MRI,125.0,11
3,23.0,14
9,27.0,14
MRI,279.0,15
8,475.0,14
MRI,243.0,18
MRI,142.0,21
MRI,180.0,25
MRI,272.0,1
3,39.0,2
MRI,128.0,4
MRI,119.0,7
MRI,226.0,8
9,116.0,9
MRI,8.0,11
8,117.0,11
9,215.0,14
MRI,174.0,15
9,70.0,16
MRI,199.0,18
MRI,42.0,21
MRI,14.0,22
3,27.0,22
7,202.0,8
MRI,496.0,8
MRI,103.0,11
4,339.0,11
3,45.0,14
9,394.0,14
MRI,283.0,15
9,267.0,16
MRI,364.0,18
9,17.0,21
MRI,256.0,21
3,21.0,22
MRI,150.0,22
4,370.0,24
4,22.0,25
MRI,184.0,25
MRI,252.0,1
5,30.0,4
MRI,340.0,4
MRI,142.0,7
MRI,20.0,8
8,410.0,7
MRI,58.0,11
9,51.0,14
3,52.0,14
MRI,69.0,15
9,382.0,16
8,50.0,14
MRI,48.0,18
MRI,394.0,21
MRI,150.0,22
8,134.0,21
MRI,87.0,25
MRI,248.0,1
MRI,60.0,4
MRI,170.0,7
9,0.0,9
MRI,218.0,11
MRI,184.0,15
MRI,151.0,18
MRI,104.0,21
MRI,65.0,22
3,67.0,22
9,109.0,23
4,473.0,24
MRI,10.0,25
MRI,324.0,1
MRI,110.0,4
3,220.0,4
MRI,359.0,7
MRI,445.0,8
MRI,73.0,11
9,80.0,14
3,395.0,14
MRI,152.0,15
9,9.0,16
4,76.0,17
MRI,213.0,18
MRI,187.0,21
MRI,161.0,22
7,82.0,23
9,129.0,23
MRI,339.0,25
MRI,276.0,1
MRI,107.0,4
MRI,274.0,7
2,225.0,8
MRI,55.0,11
8,243.0,7
MRI,429.0,15
MRI,19.0,18
MRI,177.0,21
MRI,172.0,22
8,401.0,21
