OT,overtime,schedule_day
MRI,101.0,1
10,406.0,1
9,172.0,2
4,72.0,3
8,44.0,4
MRI,127.0,4
10,77.0,4
10,27.0,7
MRI,333.0,7
MRI,30.0,8
5,210.0,7
2,131.0,8
8,304.0,7
6,19.0,10
4,138.0,9
MRI,50.0,11
4,215.0,11
9,54.0,14
10,81.0,14
3,112.0,14
MRI,454.0,15
10,61.0,16
8,493.0,14
MRI,58.0,18
MRI,119.0,21
3,157.0,21
MRI,281.0,22
7,343.0,22
4,48.0,25
MRI,204.0,25
9,285.0,0
MRI,132.0,1
9,283.0,2
3,30.0,2
3,58.0,4
10,50.0,7
MRI,117.0,7
MRI,126.0,8
7,37.0,11
MRI,160.0,11
9,42.0,14
MRI,178.0,15
6,169.0,17
MRI,206.0,18
3,161.0,10
MRI,6.0,21
3,102.0,21
5,333.0,21
MRI,223.0,22
7,14.0,23
4,19.0,25
MRI,175.0,25
6,24.0,0
9,33.0,0
MRI,11.0,1
8,435.0,0
7,43.0,3
9,58.0,2
6,205.0,4
10,281.0,4
MRI,344.0,4
MRI,271.0,7
MRI,204.0,8
2,291.0,8
MRI,186.0,11
5,374.0,10
4,157.0,11
6,97.0,14
7,20.0,15
MRI,25.0,15
4,11.0,17
MRI,99.0,18
MRI,374.0,21
7,12.0,22
MRI,84.0,22
7,13.0,23
7,24.0,24
4,258.0,23
8,507.0,21
4,26.0,25
MRI,195.0,25
9,29.0,0
MRI,30.0,1
10,20.0,2
9,75.0,2
8,208.0,4
MRI,296.0,4
9,10.0,7
MRI,205.0,7
10,304.0,7
MRI,205.0,8
7,4.0,9
2,291.0,8
3,366.0,10
MRI,18.0,11
3,136.0,11
9,43.0,14
3,357.0,14
8,239.0,14
4,432.0,17
MRI,175.0,18
MRI,56.0,21
7,60.0,22
5,91.0,21
MRI,165.0,22
9,81.0,23
7,383.0,23
7,65.0,25
MRI,174.0,25
9,201.0,0
10,20.0,2
MRI,28.0,4
10,58.0,7
MRI,412.0,7
MRI,113.0,8
8,333.0,7
8,137.0,9
4,223.0,9
MRI,15.0,11
8,80.0,11
4,307.0,11
7,423.0,14
MRI,10.0,15
4,121.0,17
3,39.0,21
8,234.0,21
10,496.0,22
7,77.0,23
8,220.0,23
4,278.0,23
10,445.0,24
MRI,28.0,25
5,102.0,25
10,116.0,25
8,263.0,24
9,9.0,0
MRI,108.0,4
6,169.0,4
10,59.0,7
MRI,86.0,7
7,63.0,9
8,372.0,7
9,143.0,14
MRI,262.0,15
4,21.0,16
MRI,44.0,18
MRI,86.0,21
MRI,119.0,22
10,322.0,22
4,56.0,25
MRI,242.0,25
7,32.0,0
MRI,203.0,1
7,22.0,2
7,87.0,3
8,292.0,0
4,470.0,3
MRI,104.0,4
9,56.0,7
10,81.0,7
MRI,312.0,7
MRI,133.0,8
5,62.0,9
2,0.0,8
7,45.0,11
3,125.0,10
MRI,245.0,11
9,138.0,14
3,389.0,14
MRI,56.0,15
5,393.0,15
7,9.0,17
MRI,108.0,18
MRI,147.0,22
5,21.0,23
7,372.0,23
5,60.0,24
4,265.0,23
MRI,253.0,25
7,257.0,0
MRI,150.0,1
2,306.0,1
9,130.0,2
7,24.0,3
MRI,51.0,4
3,460.0,2
MRI,329.0,7
MRI,160.0,8
8,164.0,7
2,506.0,8
MRI,173.0,11
8,488.0,11
4,495.0,11
10,32.0,14
3,251.0,14
MRI,218.0,15
8,124.0,14
MRI,94.0,18
8,99.0,18
MRI,45.0,21
5,421.0,21
MRI,2.0,22
7,15.0,22
9,75.0,23
4,377.0,23
5,46.0,25
4,48.0,25
MRI,83.0,25
