OT,overtime,schedule_day
8,58.0,0
5,248.0,0
7,444.0,0
MRI,13.0,1
2,134.0,1
3,201.0,1
8,476.0,1
5,143.0,2
5,30.0,3
6,45.0,7
8,95.0,7
10,389.0,7
5,341.0,8
7,60.0,9
10,343.0,8
7,32.0,10
8,224.0,9
1,267.0,11
8,29.0,14
5,97.0,14
7,21.0,15
MRI,35.0,15
5,45.0,15
5,225.0,16
10,297.0,16
3,16.0,18
6,100.0,18
4,254.0,18
3,69.0,21
8,116.0,21
5,28.0,22
6,176.0,23
1,76.0,25
5,456.0,25
9,223.0,0
3,448.0,0
3,233.0,1
8,55.0,7
6,206.0,7
5,157.0,8
9,388.0,9
MRI,39.0,11
8,133.0,14
6,169.0,14
5,65.0,15
3,326.0,17
6,115.0,21
5,140.0,22
8,31.0,23
6,54.0,23
5,478.0,24
4,442.0,25
5,88.0,0
3,124.0,0
2,162.0,1
6,348.0,0
9,385.0,2
8,411.0,2
4,263.0,4
5,457.0,4
8,63.0,7
5,411.0,7
5,8.0,8
8,171.0,9
7,29.0,10
3,61.0,11
1,151.0,11
5,357.0,11
8,63.0,14
6,154.0,14
5,340.0,14
5,99.0,15
5,7.0,17
4,478.0,18
5,175.0,21
5,32.0,22
10,102.0,24
7,16.0,24
5,69.0,24
1,119.0,25
4,329.0,25
6,4.0,0
10,164.0,0
3,280.0,0
7,492.0,0
3,260.0,1
8,293.0,2
10,102.0,2
MRI,28.0,4
6,325.0,7
5,6.0,8
3,369.0,8
5,386.0,10
3,214.0,11
5,318.0,11
6,191.0,14
5,277.0,14
7,374.0,14
5,121.0,15
10,444.0,14
6,88.0,21
9,254.0,21
5,355.0,21
5,50.0,22
6,246.0,23
5,256.0,23
7,386.0,24
4,180.0,25
1,360.0,25
8,48.0,0
5,134.0,0
6,289.0,0
3,431.0,0
7,458.0,0
9,427.0,0
5,302.0,2
8,347.0,2
4,280.0,4
8,134.0,7
6,223.0,7
5,225.0,8
4,125.0,11
1,379.0,11
10,76.0,14
3,62.0,18
4,250.0,18
8,32.0,21
5,33.0,22
6,27.0,23
5,272.0,23
7,45.0,24
1,341.0,25
6,72.0,0
7,382.0,0
2,112.0,1
8,464.0,2
8,12.0,7
10,84.0,7
5,487.0,7
5,90.0,8
5,157.0,11
8,103.0,14
7,133.0,14
5,200.0,14
6,294.0,14
5,314.0,15
5,177.0,16
3,237.0,18
4,294.0,18
8,13.0,21
6,99.0,21
5,150.0,21
5,128.0,22
6,102.0,23
4,341.0,25
1,428.0,25
5,62.0,0
3,164.0,0
7,301.0,0
7,61.0,2
5,364.0,2
5,352.0,4
10,3.0,7
8,66.0,7
6,331.0,7
5,107.0,8
5,392.0,10
8,111.0,14
7,213.0,14
5,384.0,14
9,508.0,14
5,155.0,15
5,482.0,16
3,24.0,18
4,416.0,18
2,81.0,22
5,126.0,22
5,262.0,24
3,122.0,25
4,342.0,25
1,355.0,25
6,45.0,0
5,158.0,0
8,164.0,0
3,403.0,0
2,18.0,1
8,133.0,7
10,286.0,7
5,327.0,8
9,276.0,9
5,424.0,9
1,290.0,11
8,52.0,9
8,26.0,14
5,149.0,14
7,309.0,14
6,319.0,14
5,11.0,15
5,450.0,16
5,200.0,18
8,82.0,21
5,415.0,21
5,56.0,22
1,129.0,25
5,80.0,0
3,244.0,0
7,279.0,0
8,239.0,2
5,431.0,2
4,416.0,4
6,134.0,7
8,208.0,7
5,111.0,8
5,422.0,9
8,484.0,9
6,220.0,14
9,331.0,14
5,198.0,15
8,411.0,16
3,230.0,17
MRI,24.0,18
8,157.0,21
9,480.0,21
5,155.0,22
6,114.0,23
7,16.0,24
1,18.0,25
4,63.0,25
3,3.0,0
9,111.0,0
8,153.0,0
6,267.0,0
5,456.0,0
2,307.0,1
3,331.0,1
4,32.0,2
5,197.0,2
MRI,19.0,7
6,27.0,7
9,150.0,7
7,350.0,8
5,303.0,9
1,146.0,11
8,48.0,14
6,92.0,14
10,182.0,14
5,140.0,15
5,214.0,16
9,393.0,21
6,420.0,21
5,190.0,22
6,65.0,23
5,254.0,25
5,12.0,0
6,37.0,0
3,174.0,0
2,164.0,1
8,436.0,1
8,419.0,2
7,112.0,4
10,191.0,7
5,365.0,8
7,435.0,8
8,189.0,9
5,383.0,9
5,452.0,10
8,222.0,14
5,262.0,14
5,75.0,15
5,472.0,16
5,28.0,17
4,67.0,18
3,80.0,18
6,95.0,21
8,113.0,21
5,152.0,22
4,2.0,23
6,298.0,23
5,384.0,23
7,144.0,24
3,52.0,0
5,79.0,0
8,109.0,0
6,214.0,0
2,6.0,1
4,272.0,4
5,327.0,7
6,446.0,7
5,169.0,8
10,173.0,7
7,0.0,9
9,339.0,9
8,466.0,9
5,7.0,9
7,32.0,10
3,84.0,11
6,123.0,14
8,130.0,14
7,143.0,14
3,305.0,14
9,340.0,14
5,44.0,15
2,49.0,15
5,239.0,16
1,69.0,18
5,488.0,18
8,144.0,21
5,76.0,22
8,39.0,23
6,89.0,23
9,417.0,23
5,383.0,23
4,223.0,25
5,383.0,25
5,19.0,0
8,47.0,0
6,175.0,0
3,194.0,0
7,271.0,0
2,73.0,1
5,366.0,2
8,261.0,2
7,467.0,4
5,505.0,4
6,76.0,7
10,184.0,7
3,61.0,8
5,110.0,8
9,325.0,9
5,189.0,14
6,207.0,14
5,175.0,15
9,368.0,16
3,92.0,17
8,256.0,21
5,165.0,22
6,351.0,23
7,35.0,24
4,147.0,25
5,225.0,25
3,37.0,0
4,6.0,2
4,364.0,4
5,135.0,8
5,255.0,9
9,311.0,9
7,110.0,14
6,368.0,14
5,378.0,14
5,158.0,15
5,144.0,17
5,315.0,21
9,449.0,21
5,35.0,22
9,42.0,23
1,286.0,25
5,471.0,25
3,60.0,0
8,98.0,0
7,290.0,0
3,35.0,1
2,182.0,1
8,130.0,2
5,415.0,2
10,42.0,7
MRI,50.0,7
5,101.0,7
6,117.0,7
3,353.0,8
5,416.0,9
5,398.0,10
1,96.0,11
10,22.0,14
6,347.0,14
5,10.0,15
5,311.0,18
6,269.0,21
5,369.0,21
5,96.0,22
6,271.0,23
1,84.0,25
5,299.0,25
4,386.0,25
10,8.0,0
5,65.0,0
8,205.0,0
3,319.0,0
2,136.0,1
3,208.0,1
9,231.0,0
5,479.0,2
7,45.0,3
8,40.0,7
10,340.0,7
5,487.0,7
5,187.0,8
9,249.0,9
5,501.0,10
1,211.0,11
5,2.0,14
9,280.0,14
7,424.0,14
5,139.0,15
5,255.0,16
MRI,5.0,18
6,20.0,21
9,423.0,21
5,121.0,22
6,259.0,23
5,331.0,23
6,326.0,0
3,410.0,0
5,431.0,2
6,292.0,7
5,95.0,8
5,464.0,9
3,5.0,10
5,460.0,11
5,280.0,14
7,371.0,14
5,189.0,15
9,2.0,16
3,440.0,17
6,268.0,21
5,16.0,22
5,90.0,0
2,49.0,1
3,303.0,1
8,441.0,2
8,117.0,7
6,125.0,7
5,8.0,8
8,124.0,9
1,245.0,11
7,321.0,11
7,355.0,14
5,11.0,15
6,289.0,18
5,327.0,18
8,7.0,21
6,28.0,21
5,34.0,22
6,236.0,23
7,185.0,24
5,260.0,24
1,76.0,25
3,103.0,0
6,134.0,0
5,214.0,0
5,179.0,1
8,194.0,2
8,41.0,7
6,149.0,7
10,304.0,7
5,120.0,8
7,58.0,9
5,267.0,9
1,491.0,11
7,324.0,14
6,474.0,14
5,39.0,15
5,182.0,16
9,199.0,16
6,142.0,21
5,45.0,22
4,116.0,25
6,33.0,0
8,207.0,0
7,308.0,0
2,23.0,1
5,389.0,2
8,110.0,7
5,101.0,8
8,409.0,9
10,74.0,14
6,138.0,14
5,141.0,14
5,124.0,15
6,93.0,16
5,380.0,16
3,346.0,18
8,118.0,21
6,172.0,21
5,164.0,22
6,113.0,23
7,218.0,24
4,240.0,25
5,155.0,0
6,294.0,0
5,233.0,4
8,74.0,7
5,227.0,7
6,391.0,7
5,31.0,8
9,378.0,7
5,416.0,9
8,439.0,9
5,105.0,10
8,171.0,14
10,437.0,14
5,47.0,15
5,279.0,16
9,393.0,16
5,307.0,18
5,94.0,22
6,49.0,23
7,9.0,24
1,382.0,25
5,158.0,0
7,318.0,0
5,359.0,2
5,353.0,4
4,491.0,4
6,12.0,7
5,482.0,7
5,222.0,9
9,507.0,9
5,255.0,10
1,115.0,11
5,13.0,14
10,118.0,14
8,240.0,14
7,308.0,14
5,223.0,15
9,304.0,16
MRI,27.0,18
8,100.0,21
5,67.0,22
9,133.0,21
7,431.0,22
6,14.0,23
9,28.0,23
7,125.0,24
4,318.0,25
6,68.0,0
5,83.0,0
10,337.0,0
9,478.0,0
2,112.0,1
3,144.0,1
5,62.0,2
7,489.0,3
MRI,17.0,4
5,235.0,4
10,17.0,7
5,238.0,7
5,29.0,8
9,456.0,9
5,461.0,10
1,270.0,11
5,49.0,11
8,75.0,14
6,261.0,14
5,39.0,15
6,83.0,21
8,180.0,21
5,229.0,21
3,27.0,22
5,193.0,22
6,86.0,23
7,22.0,24
1,269.0,25
4,292.0,25
6,7.0,0
5,426.0,0
7,436.0,0
9,498.0,0
5,388.0,2
10,15.0,7
5,38.0,8
3,170.0,8
5,367.0,9
9,469.0,9
3,91.0,11
6,78.0,14
7,269.0,14
5,334.0,14
MRI,55.0,15
3,167.0,14
9,296.0,16
4,355.0,18
6,31.0,21
5,43.0,22
6,131.0,23
5,143.0,23
5,272.0,24
1,83.0,25
6,167.0,0
8,308.0,0
7,407.0,0
5,504.0,0
10,195.0,7
5,330.0,7
5,191.0,8
5,0.0,11
5,45.0,14
10,12.0,15
5,284.0,15
5,421.0,18
4,457.0,18
MRI,66.0,21
6,69.0,21
5,420.0,21
5,81.0,22
6,20.0,23
5,179.0,25
1,499.0,25
5,52.0,0
7,102.0,0
3,117.0,1
5,189.0,2
8,96.0,7
10,156.0,7
6,246.0,7
5,161.0,8
7,273.0,8
6,6.0,9
5,452.0,9
5,487.0,10
1,377.0,11
5,42.0,14
10,135.0,14
8,137.0,14
7,211.0,14
5,239.0,15
4,224.0,18
6,153.0,21
5,37.0,22
6,70.0,23
1,412.0,25
4,422.0,25
3,432.0,25
3,31.0,0
6,33.0,0
8,64.0,0
5,275.0,0
7,500.0,0
2,94.0,1
5,320.0,7
5,156.0,8
3,217.0,8
7,64.0,10
5,378.0,10
1,224.0,11
5,37.0,11
5,226.0,14
9,322.0,14
6,415.0,14
5,184.0,15
4,108.0,16
8,204.0,16
5,2.0,16
6,49.0,18
5,166.0,18
4,494.0,18
8,115.0,21
5,297.0,21
7,132.0,22
5,249.0,22
6,160.0,23
5,223.0,23
8,171.0,0
3,121.0,1
8,181.0,2
8,28.0,7
10,160.0,7
6,209.0,7
2,1.0,8
5,306.0,8
7,387.0,8
4,86.0,9
5,220.0,9
5,164.0,10
8,32.0,14
6,110.0,14
7,413.0,14
2,56.0,15
5,288.0,15
5,303.0,16
6,47.0,17
4,367.0,18
5,114.0,18
8,13.0,21
6,131.0,21
5,310.0,21
5,93.0,22
6,10.0,23
5,328.0,23
MRI,1.0,25
3,51.0,25
5,164.0,25
8,4.0,0
9,201.0,0
6,248.0,0
7,485.0,0
3,229.0,1
2,492.0,1
3,96.0,2
10,132.0,2
MRI,2.0,4
5,145.0,4
4,266.0,4
8,10.0,7
5,446.0,7
5,320.0,9
3,483.0,10
8,165.0,14
10,437.0,14
5,30.0,15
8,328.0,16
3,269.0,17
9,471.0,16
6,207.0,18
5,436.0,18
8,131.0,21
5,155.0,22
6,365.0,23
5,471.0,23
7,117.0,24
5,338.0,24
5,266.0,25
5,21.0,0
10,57.0,0
3,80.0,0
8,211.0,0
7,357.0,0
2,67.0,1
9,205.0,0
4,6.0,3
7,211.0,4
MRI,7.0,7
8,11.0,7
6,38.0,7
7,120.0,8
5,123.0,8
8,445.0,8
4,145.0,9
10,311.0,8
1,47.0,11
3,281.0,11
5,210.0,11
8,2.0,14
5,371.0,14
7,402.0,14
6,507.0,14
7,26.0,15
5,187.0,15
2,300.0,15
6,8.0,17
7,34.0,17
3,75.0,17
3,18.0,18
5,387.0,17
6,20.0,21
5,503.0,21
5,94.0,22
9,243.0,21
7,4.0,23
5,485.0,23
7,228.0,24
4,335.0,25
8,138.0,0
3,174.0,0
7,246.0,0
3,110.0,1
9,459.0,2
8,176.0,2
8,33.0,7
5,355.0,7
9,502.0,7
5,38.0,8
4,71.0,9
5,487.0,9
1,291.0,11
5,36.0,11
10,137.0,14
7,273.0,14
5,168.0,15
9,496.0,16
7,31.0,17
4,372.0,18
6,186.0,21
5,9.0,22
6,22.0,23
MRI,22.0,25
3,34.0,0
6,83.0,0
7,135.0,0
8,183.0,0
5,239.0,0
2,50.0,1
7,50.0,1
10,27.0,2
4,122.0,3
4,421.0,4
6,35.0,7
10,143.0,7
5,222.0,8
5,381.0,9
1,266.0,11
6,4.0,14
10,145.0,14
5,358.0,14
9,507.0,14
5,198.0,15
5,226.0,16
8,92.0,21
6,192.0,21
5,89.0,22
1,233.0,25
5,440.0,25
4,505.0,25
5,26.0,0
6,69.0,0
3,268.0,0
3,198.0,1
5,303.0,2
