OT,surgery_duration,schedule_day,simulation_day
2,32,0,0
5,329,0,0
6,388,0,0
6,258,0,0
3,751,0,0
7,854,0,0
5,822,0,0
7,60,1,1
2,164,1,1
5,52,1,1
3,401,1,1
MRI,42,1,1
2,103,1,1
2,157,1,1
MRI,28,1,1
10,292,0,0
3,50,1,1
9,890,0,0
7,62,1,1
8,1125,1,1
7,74,1,1
1,73,0,0
7,46,2,2
4,164,2,2
7,28,2,2
9,50,2,2
5,689,2,2
7,77,2,2
9,1021,2,2
4,28,2,2
3,325,2,2
3,111,2,2
1,78,1,1
5,72,3,3
10,985,2,2
6,82,3,3
3,57,3,3
2,62,3,3
MRI,73,4,4
MRI,68,4,4
8,576,0,0
MRI,35,4,4
5,65,3,3
4,1007,4,4
7,59,2,2
3,295,4,4
9,49,2,2
4,100,3,3
5,39,4,4
5,180,1,1
7,673,3,3
8,903,2,2
10,224,1,1
1,45,3,3
7,45,1,1
1,119,4,4
7,78,4,4
1,40,2,2
MRI,47,7,7
MRI,55,7,7
MRI,52,4,4
5,786,7,7
6,373,7,7
5,256,8,8
MRI,74,7,7
9,1524,7,7
5,217,8,8
7,719,8,8
8,1586,8,8
10,1605,8,8
MRI,36,8,8
5,53,7,7
6,139,9,9
10,60,9,9
2,302,8,8
6,115,9,9
5,1051,9,9
8,642,9,9
7,52,9,9
4,279,9,9
2,52,10,10
2,81,7,7
7,35,10,10
5,23,10,10
10,938,7,7
6,154,10,10
6,144,9,9
2,86,8,8
9,2779,9,9
4,85,10,10
MRI,45,11,11
4,136,11,11
MRI,51,11,11
MRI,41,11,11
4,149,11,11
1,91,9,9
3,160,11,11
3,37,11,11
3,291,7,7
MRI,38,11,11
1,78,7,7
7,1759,11,11
5,48,11,11
10,994,11,11
5,3192,11,11
8,532,7,7
8,2733,11,11
6,306,14,14
1,98,8,8
5,355,14,14
7,733,14,14
6,621,14,14
5,212,15,15
3,38,15,15
6,207,11,11
5,201,15,15
5,164,15,15
MRI,56,15,15
4,77,16,16
4,151,16,16
5,59,16,16
7,78,15,15
10,137,15,15
4,230,2,2
2,68,14,14
1,91,16,16
3,24,15,15
5,1109,16,16
1,85,14,14
1,61,15,15
6,148,16,16
7,62,16,16
5,1178,17,17
3,147,18,18
MRI,43,18,18
5,29,18,18
3,46,18,18
4,1116,18,18
8,263,15,15
3,60,18,18
1,39,18,18
4,116,17,17
MRI,50,18,18
7,55,18,18
2,45,21,21
MRI,50,21,21
5,66,21,21
9,1041,16,16
3,623,17,17
5,1213,21,21
6,1625,21,21
4,49,22,22
5,81,22,22
4,50,22,22
3,21,22,22
5,405,22,22
4,22,22,22
1,47,21,21
2,63,22,22
2,288,22,22
8,360,14,14
8,79,23,23
8,67,23,23
6,498,23,23
9,877,21,21
4,196,23,23
10,83,21,21
5,822,23,23
3,264,11,11
MRI,76,22,22
9,155,23,23
9,686,14,14
1,78,22,22
5,1045,24,24
7,249,24,24
10,1261,14,14
3,171,25,25
5,797,25,25
4,953,25,25
7,67,23,23
4,228,24,24
3,94,25,25
7,56,17,17
1,75,24,24
6,158,24,24
1,556,25,25
MRI,37,25,25
8,473,21,21
1,79,23,23
2,44,17,17
2,57,0,28
6,591,0,28
5,355,0,28
9,1031,0,28
7,790,0,28
7,64,1,29
MRI,31,1,29
5,90,1,29
3,42,1,29
2,390,1,29
10,229,0,28
3,530,1,29
MRI,35,1,29
9,63,2,30
4,278,2,30
9,59,2,30
MRI,54,25,25
5,706,2,30
2,89,1,29
8,1553,1,29
2,32,3,31
3,28,3,31
5,66,3,31
4,54,2,30
3,62,2,30
5,59,4,32
10,1782,2,30
7,66,2,30
3,438,0,28
1,76,1,29
3,433,4,32
5,270,4,32
3,226,21,21
4,1237,4,32
7,109,4,32
2,35,24,24
MRI,68,4,32
4,129,3,31
MRI,54,4,32
2,54,7,35
MRI,33,7,35
5,32,7,35
MRI,47,7,35
6,613,7,35
MRI,74,7,35
1,98,0,28
5,950,7,35
9,1214,7,35
3,46,8,36
MRI,73,8,36
MRI,38,8,36
MRI,56,8,36
