OT,schedule_day
7,0
5,0
6,0
9,0
9,0
5,1
7,1
2,1
9,2
5,2
5,4
4,4
5,4
5,7
6,7
5,8
2,8
5,8
8,9
5,9
8,9
5,9
5,10
7,14
5,14
6,14
9,14
2,15
5,15
9,16
9,16
4,18
5,18
5,21
4,25
4,25
9,0
2,1
5,2
5,3
5,4
5,4
5,7
6,7
2,8
2,15
7,15
5,18
5,21
6,21
4,25
4,25
7,0
5,0
6,0
5,1
2,1
9,2
5,2
3,2
5,4
4,4
5,4
5,7
6,7
2,8
5,11
2,15
9,16
4,18
9,21
9,23
4,25
4,25
5,0
6,0
2,1
5,2
3,2
6,7
2,8
5,9
7,14
5,14
6,14
9,14
8,15
5,15
9,16
7,18
4,18
4,18
5,18
5,21
9,21
6,21
5,25
4,25
4,25
7,0
5,0
6,0
5,1
2,1
4,2
5,2
3,2
5,7
6,7
2,8
2,8
5,11
7,14
5,14
6,14
2,15
9,16
4,18
4,18
5,18
5,21
6,21
5,23
5,24
4,25
4,25
4,25
7,0
9,0
5,1
7,1
9,2
3,2
3,2
10,3
5,4
5,4
2,8
2,8
5,11
5,14
2,15
5,18
5,21
6,21
7,25
5,25
4,25
4,25
5,0
5,1
5,1
5,1
5,4
5,9
1,16
5,21
6,21
5,24
4,25
4,25
7,0
6,0
9,0
2,1
5,2
3,2
5,3
5,4
5,7
2,8
7,14
5,14
9,14
4,25
4,25
4,25
4,25
9,0
5,1
2,1
9,2
10,3
10,3
5,4
4,4
5,4
6,7
2,8
5,9
5,14
9,14
2,15
5,15
2,15
9,16
4,18
9,21
4,25
4,25
4,25
9,0
9,0
9,2
4,2
3,2
5,4
5,4
6,7
2,8
2,8
7,14
5,14
6,14
8,16
4,18
4,18
5,18
6,21
4,25
4,25
4,25
5,0
6,0
9,0
5,1
7,1
2,1
9,2
3,2
5,4
5,4
5,7
6,7
7,8
2,8
2,8
5,9
5,9
5,10
7,14
6,14
9,14
2,15
5,16
8,16
1,16
10,16
7,18
5,18
5,18
5,21
5,22
5,23
7,25
4,25
4,25
7,0
5,0
10,1
5,1
2,1
7,1
2,1
10,2
4,2
7,2
7,2
5,2
7,2
5,4
5,4
5,7
6,7
2,8
2,8
5,10
5,11
7,14
5,14
6,14
2,15
5,15
5,15
5,17
5,17
5,18
5,21
5,23
4,25
4,25
7,0
5,0
6,0
5,2
5,3
10,3
5,4
3,4
6,7
2,8
5,11
5,14
6,14
9,14
2,15
9,16
4,18
4,18
5,18
5,21
6,21
4,25
4,25
7,0
5,0
6,0
9,0
10,1
5,1
2,1
2,1
5,2
10,2
5,2
5,3
4,4
5,4
5,10
9,14
7,15
5,15
9,16
9,16
4,18
4,18
5,18
5,21
9,21
6,21
5,23
9,23
4,25
4,25
5,0
5,1
9,2
3,2
5,2
3,2
3,2
4,4
5,4
4,4
5,14
9,14
2,15
10,15
5,15
1,16
9,16
4,18
5,21
9,21
6,21
9,23
5,24
4,25
4,25
4,25
5,0
6,0
