OT,overtime,schedule_day
10,78.0,0
8,83.0,0
8,71.0,1
2,96.0,1
6,127.0,0
7,227.0,1
7,145.0,2
5,461.0,2
5,488.0,3
3,15.0,4
MRI,39.0,4
10,119.0,4
5,485.0,4
6,280.0,7
1,115.0,8
8,217.0,8
3,476.0,8
7,477.0,8
7,385.0,9
9,418.0,9
5,29.0,14
9,225.0,14
3,229.0,14
7,238.0,14
6,335.0,14
5,15.0,15
7,363.0,15
7,370.0,16
5,450.0,16
7,31.0,17
5,365.0,17
7,135.0,18
4,292.0,18
8,328.0,18
8,65.0,21
6,121.0,21
5,474.0,21
5,93.0,22
7,157.0,23
6,222.0,23
7,39.0,25
5,333.0,25
6,492.0,0
7,90.0,1
8,239.0,2
7,319.0,2
4,345.0,2
7,313.0,4
5,363.0,3
6,91.0,7
8,291.0,7
5,321.0,7
5,172.0,8
7,454.0,8
6,84.0,9
8,132.0,8
3,356.0,11
8,116.0,14
7,351.0,14
7,99.0,15
5,164.0,15
6,5.0,16
5,117.0,16
7,131.0,16
5,88.0,22
3,20.0,25
8,29.0,0
6,98.0,0
1,64.0,1
5,109.0,2
7,221.0,2
4,439.0,4
6,228.0,7
5,84.0,8
1,184.0,8
5,340.0,11
6,53.0,14
8,168.0,14
7,296.0,14
5,31.0,15
9,86.0,14
6,65.0,16
7,138.0,16
5,346.0,18
MRI,3.0,21
8,191.0,21
9,369.0,21
5,188.0,22
7,59.0,23
6,161.0,0
5,421.0,0
2,108.0,1
1,451.0,1
4,406.0,4
MRI,3.0,7
10,148.0,7
6,202.0,7
9,497.0,7
5,21.0,8
7,469.0,8
3,34.0,11
8,157.0,14
6,167.0,14
5,81.0,15
6,148.0,16
5,362.0,16
5,107.0,22
6,336.0,23
5,359.0,23
5,449.0,25
1,143.0,1
7,208.0,2
5,408.0,2
MRI,34.0,4
4,417.0,4
5,29.0,4
1,13.0,8
5,48.0,8
5,239.0,11
6,166.0,14
5,18.0,15
7,168.0,15
5,302.0,16
7,336.0,16
MRI,12.0,18
5,184.0,22
6,343.0,23
5,393.0,23
6,26.0,0
8,111.0,0
5,355.0,0
2,18.0,1
1,86.0,1
7,289.0,1
7,288.0,4
4,407.0,4
5,1.0,8
9,103.0,9
2,5.0,10
7,13.0,11
6,135.0,14
5,436.0,14
7,472.0,14
7,85.0,15
5,278.0,15
7,19.0,16
6,291.0,16
5,473.0,16
7,8.0,17
5,427.0,17
3,84.0,18
7,135.0,18
6,41.0,21
5,95.0,22
9,157.0,21
6,347.0,23
7,33.0,24
7,251.0,25
5,12.0,0
6,182.0,0
1,169.0,1
7,209.0,1
7,83.0,2
9,488.0,2
4,350.0,4
MRI,38.0,7
8,76.0,7
6,140.0,7
5,33.0,8
7,87.0,8
1,246.0,8
10,120.0,9
3,17.0,10
5,492.0,9
5,506.0,11
6,430.0,14
7,505.0,14
7,395.0,15
7,24.0,16
4,44.0,16
5,153.0,17
MRI,26.0,18
8,80.0,21
5,388.0,21
5,135.0,22
6,229.0,23
9,446.0,23
7,32.0,24
5,279.0,25
6,299.0,0
7,272.0,2
8,449.0,2
MRI,7.0,4
7,271.0,4
8,5.0,7
5,350.0,7
6,480.0,7
5,266.0,8
1,296.0,8
8,24.0,14
6,228.0,14
5,268.0,14
5,157.0,15
7,339.0,15
5,399.0,16
5,286.0,17
4,376.0,18
5,187.0,21
6,462.0,21
7,122.0,22
5,204.0,22
6,151.0,23
3,71.0,25
7,93.0,25
4,232.0,25
6,71.0,0
8,71.0,0
5,391.0,0
3,18.0,1
2,142.0,1
1,343.0,1
5,428.0,2
7,458.0,2
4,428.0,4
6,190.0,7
5,320.0,7
5,36.0,8
7,327.0,8
6,161.0,14
7,98.0,15
5,309.0,15
6,57.0,16
5,233.0,16
9,392.0,16
5,207.0,17
4,279.0,18
8,152.0,21
5,211.0,22
6,3.0,23
7,41.0,24
3,2.0,25
4,350.0,25
6,99.0,0
8,114.0,0
5,497.0,0
7,17.0,2
5,357.0,2
6,278.0,7
MRI,34.0,8
1,186.0,8
10,33.0,9
8,245.0,9
7,378.0,9
7,2.0,11
5,505.0,10
8,167.0,14
7,211.0,14
5,248.0,14
5,325.0,15
7,162.0,15
5,297.0,17
8,160.0,21
5,421.0,21
5,39.0,22
9,139.0,21
6,119.0,23
5,503.0,23
MRI,10.0,25
7,175.0,25
5,272.0,25
6,59.0,0
1,351.0,1
7,235.0,2
5,419.0,2
7,49.0,4
6,375.0,7
5,453.0,7
5,63.0,8
1,389.0,8
8,14.0,14
6,178.0,14
7,16.0,15
5,49.0,15
8,277.0,15
6,45.0,16
MRI,3.0,18
10,343.0,16
5,362.0,18
10,68.0,21
8,168.0,21
2,9.0,22
3,50.0,22
5,149.0,22
6,170.0,23
5,329.0,23
3,11.0,25
MRI,44.0,25
4,279.0,25
5,114.0,0
3,8.0,1
4,24.0,2
3,50.0,2
7,144.0,2
9,465.0,2
4,256.0,4
8,97.0,7
6,230.0,7
5,352.0,7
5,148.0,8
10,205.0,7
4,87.0,9
5,385.0,10
5,34.0,14
7,395.0,14
9,472.0,14
5,106.0,15
6,60.0,16
7,65.0,16
9,358.0,16
5,396.0,17
4,449.0,18
8,16.0,21
5,369.0,21
6,247.0,23
3,81.0,25
4,343.0,25
6,351.0,0
2,101.0,1
5,160.0,0
1,235.0,1
4,108.0,2
7,121.0,2
7,230.0,4
5,447.0,7
1,56.0,8
5,57.0,8
7,173.0,8
4,23.0,10
6,118.0,14
7,378.0,14
9,429.0,14
5,212.0,15
6,430.0,16
9,328.0,16
5,377.0,17
8,178.0,21
5,402.0,21
9,496.0,21
5,61.0,22
10,111.0,23
6,230.0,23
7,443.0,23
7,134.0,25
4,379.0,25
8,138.0,0
1,20.0,1
7,282.0,2
