OT,surgery_duration,schedule_day,simulation_day
6,272,0,0
5,495,0,0
3,530,0,0
6,360,0,0
7,1541,0,0
MRI,76,1,1
MRI,13,1,1
2,88,1,1
3,472,1,1
8,39,1,1
5,251,1,1
10,195,0,0
8,54,1,1
5,76,1,1
2,72,1,1
7,632,1,1
2,104,0,0
5,57,1,1
MRI,62,1,1
7,40,2,2
7,48,2,2
8,139,2,2
1,63,0,0
3,136,2,2
10,133,0,0
4,83,2,2
3,174,2,2
1,130,1,1
5,1197,2,2
3,102,2,2
4,346,2,2
6,86,3,3
5,753,3,3
4,124,3,3
7,180,3,3
7,73,3,3
7,42,2,2
3,91,3,3
10,139,1,1
MRI,44,4,4
7,505,2,2
MRI,30,4,4
3,64,4,4
MRI,20,4,4
3,125,4,4
4,918,4,4
5,824,4,4
8,180,4,4
1,70,3,3
9,970,2,2
10,616,2,2
7,168,4,4
2,53,3,3
1,59,4,4
MRI,58,7,7
6,598,7,7
MRI,19,7,7
9,946,7,7
5,1159,7,7
5,192,8,8
MRI,46,8,8
8,104,0,0
MRI,100,8,8
3,48,8,8
MRI,58,7,7
2,543,8,8
5,132,8,8
MRI,40,8,8
5,104,8,8
6,87,4,4
8,1403,8,8
7,69,9,9
3,48,8,8
8,93,9,9
4,266,9,9
7,636,8,8
8,143,9,9
1,80,7,7
7,83,9,9
1,66,8,8
5,1132,9,9
6,159,9,9
7,62,9,9
9,1650,9,9
6,40,10,10
5,40,10,10
3,196,7,7
1,41,10,10
3,486,10,10
7,86,10,10
5,1227,10,10
MRI,60,11,11
1,83,9,9
MRI,47,11,11
2,96,7,7
4,66,11,11
7,33,11,11
10,105,10,10
3,103,11,11
4,172,11,11
MRI,41,11,11
8,85,11,11
MRI,78,11,11
3,50,11,11
4,190,10,10
3,613,11,11
1,56,11,11
8,532,3,3
2,69,14,14
10,502,7,7
8,238,7,7
10,201,9,9
6,396,14,14
5,839,14,14
7,851,14,14
10,246,14,14
2,55,15,15
3,38,15,15
9,1163,14,14
5,218,15,15
10,167,15,15
10,22,15,15
5,97,15,15
MRI,46,15,15
1,92,14,14
5,85,15,15
7,742,15,15
5,46,16,16
4,103,16,16
6,267,16,16
4,78,16,16
3,353,15,15
8,67,16,16
4,135,16,16
7,453,16,16
5,1157,16,16
6,159,16,16
7,64,17,17
5,44,17,17
10,1783,16,16
2,38,17,17
1,66,16,16
4,84,16,16
1,924,15,15
MRI,32,18,18
8,63,15,15
8,324,14,14
MRI,52,18,18
3,614,14,14
MRI,55,18,18
5,563,11,11
5,35,17,17
3,62,18,18
7,41,18,18
MRI,62,18,18
4,869,18,18
9,1161,16,16
5,1816,18,18
1,60,17,17
3,170,18,18
MRI,28,21,21
2,117,21,21
6,487,21,21
MRI,18,21,21
5,1038,21,21
2,53,10,10
MRI,42,22,22
4,36,22,22
MRI,27,22,22
4,34,22,22
4,25,22,22
10,85,22,22
2,77,22,22
3,40,22,22
2,102,22,22
2,218,22,22
5,41,21,21
7,47,23,23
9,70,23,23
7,86,23,23
4,152,17,17
9,85,23,23
4,61,23,23
8,53,23,23
7,62,23,23
1,105,22,22
6,330,23,23
7,68,23,23
4,735,23,23
1,64,23,23
3,178,17,17
1,72,21,21
5,795,23,23
6,122,24,24
6,155,23,23
4,68,24,24
5,650,24,24
7,43,24,24
7,68,24,24
10,2410,23,23
9,667,21,21
7,64,25,25
7,66,25,25
MRI,40,25,25
4,603,25,25
3,293,25,25
7,98,24,24
2,324,15,15
3,226,21,21
8,137,25,25
1,72,25,25
8,376,21,21
3,384,0,28
5,379,0,28
6,226,0,28
6,557,0,28
2,70,0,28
10,131,0,28
MRI,63,1,29
2,77,1,29
5,320,1,29
1,64,24,24
2,77,1,29
1,58,0,28
MRI,60,1,29
7,1367,1,29
5,201,1,29
10,153,0,28
9,1213,23,23
3,123,2,30
3,131,2,30
3,165,2,30
8,104,2,30
4,155,2,30
1,79,1,29
7,62,3,31
5,1568,2,30
7,56,2,30
7,71,2,30
MRI,80,18,18
2,60,24,24
7,1314,0,28
5,764,4,32
4,881,4,32
3,67,24,24
9,2455,2,30
MRI,72,4,32
3,89,4,32
5,1260,25,25
1,83,3,31
3,41,3,31
1,80,4,32
2,125,7,35
MRI,58,7,35
6,640,7,35
10,327,2,30
9,1464,7,35
5,934,7,35
3,40,8,36
8,91,8,36
5,100,8,36
3,51,8,36
MRI,51,8,36
5,277,8,36
2,337,8,36
5,214,8,36
8,361,0,28
MRI,98,8,36
7,47,9,37
10,936,7,35
10,1412,21,21
1,56,7,35
7,96,9,37
10,225,25,25
4,285,9,37
5,887,9,37
6,139,9,37
8,59,9,37
6,274,10,38
9,1636,9,37
1,80,8,36
3,598,10,38
7,34,10,38
4,90,10,38
5,781,10,38
5,40,10,38
1,40,10,38
8,31,11,39
4,108,11,39
MRI,52,11,39
10,569,11,39
3,739,11,39
1,79,9,37
7,408,11,39
8,483,7,35
7,20,11,39
1,91,11,39
3,124,7,35
4,58,9,37
7,296,8,36
3,63,22,22
3,186,14,42
5,372,14,42
6,973,14,42
7,440,14,42
9,1031,14,42
5,117,15,43
2,58,15,43
5,206,15,43
MRI,19,15,43
10,67,15,43
2,53,14,42
2,64,10,38
8,92,16,44
5,47,16,44
7,415,16,44
6,317,16,44
4,260,16,44
6,192,16,44
4,249,16,44
4,77,16,44
5,1034,16,44
9,723,16,44
2,40,17,45
1,85,14,42
5,1084,11,39
5,66,15,43
8,311,15,43
8,409,14,42
1,524,15,43
3,272,18,46
MRI,156,15,43
4,929,18,46
7,51,18,46
4,73,17,45
5,1410,18,46
1,82,17,45
MRI,44,18,46
1,114,16,44
MRI,59,18,46
4,36,9,9
2,67,21,49
MRI,40,21,49
6,594,21,49
5,743,21,49
2,91,3,31
MRI,64,21,49
MRI,62,21,49
MRI,50,22,50
4,34,22,50
3,69,11,39
MRI,62,22,50
10,62,22,50
2,177,22,50
3,24,22,50
1,88,22,50
2,140,22,50
5,61,21,49
3,121,22,50
3,225,17,45
2,161,22,50
4,24,22,50
10,95,14,42
9,28,23,51
3,154,21,49
1,72,23,51
4,206,23,51
7,64,23,51
7,82,23,51
6,334,23,51
4,249,23,51
8,90,23,51
6,95,23,51
1,72,21,49
3,28,24,52
4,45,24,52
7,51,23,51
8,584,21,49
10,2425,23,51
4,47,23,51
5,2871,23,51
7,44,25,53
MRI,62,25,53
1,75,24,52
4,702,25,53
MRI,58,25,53
1,37,25,53
3,228,25,53
7,39,25,53
2,155,15,43
8,135,25,53
2,64,24,52
2,116,0,56
9,380,23,51
5,517,0,56
