OT,overtime,schedule_day
8,58.0,0
5,248.0,0
2,118.0,1
5,265.0,1
7,424.0,1
3,47.0,2
4,134.0,2
7,24.0,3
7,26.0,4
3,47.0,4
4,321.0,4
5,505.0,4
6,317.0,7
2,260.0,8
7,261.0,8
6,104.0,9
5,356.0,7
5,146.0,11
8,1.0,14
3,10.0,14
6,54.0,14
5,195.0,14
7,259.0,14
2,22.0,15
MRI,28.0,15
1,75.0,15
3,105.0,15
6,33.0,16
8,242.0,16
10,213.0,16
7,313.0,22
7,8.0,24
3,24.0,0
6,383.0,0
2,32.0,1
5,205.0,1
7,392.0,1
3,142.0,2
7,23.0,3
5,210.0,2
5,453.0,4
2,10.0,8
7,56.0,8
6,126.0,9
10,267.0,9
6,134.0,14
10,270.0,14
3,439.0,14
7,493.0,14
5,30.0,15
2,59.0,15
7,75.0,15
1,172.0,15
7,22.0,18
5,355.0,18
4,47.0,18
8,168.0,21
7,337.0,22
7,496.0,23
5,309.0,24
7,242.0,25
4,418.0,25
6,376.0,0
7,508.0,0
5,128.0,1
9,466.0,0
3,26.0,2
4,40.0,2
6,36.0,3
7,71.0,4
3,140.0,4
5,153.0,3
4,153.0,4
6,192.0,7
5,286.0,7
2,162.0,8
8,406.0,8
7,465.0,8
5,115.0,9
10,69.0,9
5,40.0,14
8,106.0,14
7,499.0,14
9,183.0,16
7,104.0,18
5,326.0,18
4,425.0,18
8,157.0,21
6,439.0,21
9,477.0,21
MRI,54.0,22
8,463.0,22
7,207.0,23
4,425.0,25
6,70.0,0
7,350.0,0
10,505.0,0
2,40.0,1
5,177.0,1
7,39.0,2
3,82.0,2
2,182.0,3
10,186.0,2
5,137.0,4
8,136.0,7
6,319.0,7
2,2.0,8
7,29.0,11
6,2.0,14
10,147.0,14
8,198.0,14
3,293.0,14
5,361.0,14
8,52.0,15
2,101.0,15
9,472.0,16
8,53.0,17
5,497.0,17
7,322.0,18
6,375.0,21
7,76.0,22
10,11.0,23
7,45.0,23
7,45.0,24
6,55.0,24
2,55.0,24
5,196.0,25
7,402.0,25
8,5.0,0
3,43.0,0
6,173.0,0
5,307.0,0
9,414.0,0
2,1.0,1
7,184.0,1
3,204.0,2
5,192.0,2
4,424.0,4
2,36.0,8
4,22.0,9
7,59.0,9
6,86.0,9
8,82.0,14
1,146.0,15
6,65.0,16
5,280.0,16
8,328.0,16
9,345.0,16
5,29.0,17
7,293.0,18
5,453.0,21
8,485.0,22
7,258.0,23
MRI,19.0,25
4,301.0,25
5,56.0,0
6,224.0,0
7,322.0,0
7,46.0,2
4,120.0,2
3,142.0,2
5,137.0,2
9,182.0,2
10,229.0,2
3,73.0,4
8,16.0,7
6,236.0,7
2,35.0,8
5,54.0,8
6,79.0,9
5,211.0,11
6,51.0,14
8,123.0,14
3,165.0,14
2,3.0,15
1,48.0,15
6,3.0,16
7,28.0,16
5,43.0,17
5,136.0,18
7,289.0,18
4,439.0,18
8,79.0,21
5,508.0,21
4,40.0,22
7,374.0,22
7,87.0,23
5,348.0,23
5,263.0,24
7,107.0,25
8,93.0,0
7,359.0,0
3,370.0,0
2,47.0,1
4,51.0,2
9,321.0,2
3,381.0,2
5,92.0,2
7,26.0,4
5,290.0,4
4,388.0,4
8,17.0,7
2,64.0,8
3,73.0,8
6,238.0,9
9,393.0,9
7,4.0,10
3,88.0,11
3,158.0,14
6,296.0,14
7,414.0,14
5,65.0,15
2,160.0,15
3,38.0,17
5,487.0,17
6,29.0,21
5,376.0,21
7,281.0,23
5,205.0,24
4,219.0,25
5,360.0,25
3,17.0,0
6,191.0,0
5,369.0,0
7,484.0,0
10,145.0,1
7,180.0,1
3,82.0,2
4,222.0,2
6,155.0,7
8,226.0,7
3,43.0,8
5,56.0,8
2,80.0,8
6,85.0,9
9,299.0,9
10,5.0,9
5,218.0,11
7,271.0,14
6,332.0,14
7,1.0,15
2,181.0,15
1,266.0,15
6,124.0,16
5,287.0,16
9,366.0,16
9,142.0,23
5,274.0,25
10,65.0,0
6,315.0,0
9,467.0,0
3,23.0,2
4,57.0,2
9,251.0,2
6,62.0,7
8,121.0,7
2,0.0,8
6,448.0,9
5,433.0,10
8,19.0,14
5,140.0,14
6,282.0,14
10,344.0,14
2,0.0,15
5,16.0,15
1,402.0,15
6,1.0,16
MRI,20.0,18
8,114.0,21
9,220.0,21
6,288.0,21
5,356.0,21
7,10.0,22
5,380.0,23
4,334.0,25
10,106.0,0
8,186.0,0
9,307.0,0
2,96.0,1
5,258.0,1
3,79.0,2
4,310.0,2
5,116.0,2
4,152.0,4
8,180.0,7
5,459.0,7
2,167.0,8
6,28.0,9
10,211.0,9
5,240.0,11
5,225.0,14
7,329.0,14
3,368.0,14
5,25.0,15
1,268.0,15
7,60.0,16
8,187.0,16
6,190.0,16
5,409.0,17
7,159.0,18
5,261.0,18
9,29.0,21
7,275.0,22
5,44.0,0
6,346.0,0
10,410.0,0
9,88.0,0
7,193.0,1
7,25.0,2
3,144.0,2
7,204.0,4
5,409.0,4
4,306.0,4
2,45.0,8
7,130.0,8
3,208.0,8
9,251.0,9
5,361.0,11
3,95.0,14
6,159.0,14
8,6.0,15
7,12.0,15
2,17.0,15
6,18.0,16
8,410.0,16
10,444.0,16
7,395.0,18
4,465.0,18
8,38.0,21
9,267.0,21
5,345.0,21
4,446.0,23
5,301.0,25
7,418.0,25
8,94.0,0
5,280.0,0
6,302.0,0
3,408.0,0
5,52.0,1
2,281.0,1
7,23.0,2
3,29.0,2
8,165.0,3
5,270.0,4
10,431.0,0
6,263.0,7
2,28.0,8
7,22.0,9
6,91.0,9
10,282.0,9
5,53.0,14
3,96.0,14
8,210.0,14
2,0.0,15
5,5.0,15
7,24.0,15
1,149.0,15
3,302.0,15
6,362.0,16
8,161.0,21
6,204.0,21
7,154.0,22
7,398.0,23
5,401.0,23
7,459.0,25
8,171.0,0
3,371.0,0
7,194.0,1
7,46.0,2
4,83.0,2
3,215.0,2
6,87.0,3
5,180.0,2
3,51.0,4
6,213.0,4
5,360.0,4
8,141.0,7
5,462.0,7
2,32.0,8
3,431.0,8
6,187.0,9
5,383.0,10
7,0.0,11
3,200.0,14
10,200.0,14
6,236.0,14
5,433.0,14
1,140.0,15
6,15.0,16
9,458.0,16
6,168.0,17
MRI,28.0,18
4,390.0,18
8,18.0,21
7,189.0,22
9,489.0,23
5,343.0,24
7,133.0,25
5,263.0,25
6,137.0,0
5,336.0,0
5,2.0,1
2,62.0,1
7,209.0,1
7,37.0,2
4,188.0,2
3,225.0,2
10,446.0,2
MRI,25.0,4
7,60.0,4
6,80.0,4
4,255.0,4
2,2.0,8
MRI,3.0,8
6,59.0,9
7,18.0,10
5,246.0,9
6,33.0,14
5,113.0,14
3,299.0,14
5,286.0,15
6,114.0,16
5,299.0,16
10,399.0,14
5,382.0,17
MRI,9.0,18
8,26.0,21
6,167.0,21
2,137.0,22
10,59.0,23
5,477.0,23
7,496.0,23
5,267.0,24
7,180.0,25
8,67.0,0
3,194.0,0
5,305.0,0
7,468.0,0
10,493.0,0
2,7.0,1
7,179.0,1
3,20.0,2
7,23.0,2
4,28.0,2
9,397.0,2
MRI,21.0,4
4,223.0,4
6,175.0,7
8,218.0,7
2,0.0,8
7,180.0,8
3,258.0,8
6,293.0,9
7,31.0,10
5,122.0,14
7,282.0,14
6,403.0,14
3,16.0,15
5,41.0,15
10,111.0,14
6,199.0,16
5,387.0,16
9,465.0,16
5,157.0,17
MRI,25.0,18
7,143.0,18
4,265.0,18
5,441.0,18
6,142.0,21
9,426.0,21
7,265.0,22
5,132.0,23
7,142.0,23
5,375.0,24
8,26.0,0
3,224.0,0
7,360.0,0
2,2.0,1
5,16.0,1
7,167.0,1
6,429.0,0
3,320.0,2
MRI,2.0,4
4,237.0,4
8,9.0,7
6,67.0,7
5,2.0,7
2,36.0,8
6,304.0,9
7,33.0,10
7,0.0,11
MRI,44.0,11
3,136.0,11
5,236.0,11
6,16.0,14
8,116.0,14
3,155.0,14
5,28.0,15
2,182.0,15
1,214.0,15
10,367.0,14
7,404.0,15
6,278.0,16
9,486.0,16
8,125.0,16
7,17.0,18
4,60.0,18
6,335.0,21
7,263.0,22
10,359.0,24
7,66.0,25
4,270.0,25
6,28.0,0
8,49.0,0
3,137.0,0
10,184.0,0
5,269.0,0
2,156.0,1
3,187.0,2
5,280.0,4
2,75.0,8
9,497.0,9
7,22.0,10
4,73.0,10
5,207.0,11
6,2.0,14
7,300.0,14
3,444.0,14
7,22.0,15
1,198.0,15
6,143.0,16
5,343.0,16
9,472.0,16
8,319.0,16
5,351.0,17
7,491.0,18
8,38.0,21
9,359.0,21
7,190.0,22
4,32.0,23
7,216.0,23
5,393.0,23
6,172.0,24
5,475.0,24
5,255.0,25
4,450.0,25
8,40.0,0
3,90.0,0
5,117.0,0
6,240.0,0
9,317.0,0
2,16.0,1
3,69.0,2
4,316.0,2
10,65.0,3
5,229.0,2
8,267.0,3
MRI,7.0,4
4,290.0,4
5,274.0,7
2,63.0,8
6,222.0,9
5,395.0,10
3,458.0,11
5,5.0,14
3,199.0,14
6,272.0,14
8,272.0,14
10,314.0,14
7,509.0,14
1,330.0,15
6,86.0,16
5,389.0,16
9,487.0,16
5,340.0,17
7,200.0,18
8,125.0,21
6,276.0,21
2,25.0,22
4,10.0,23
5,446.0,23
7,3.0,24
6,63.0,24
3,304.0,25
5,74.0,0
3,145.0,0
6,210.0,0
2,98.0,1
4,75.0,2
3,99.0,2
10,114.0,2
4,382.0,4
6,353.0,7
2,25.0,8
4,14.0,9
6,44.0,9
7,3.0,10
8,111.0,14
6,137.0,14
7,399.0,14
1,180.0,15
5,259.0,17
3,198.0,18
4,384.0,18
6,207.0,21
5,335.0,21
7,289.0,22
7,196.0,23
5,214.0,23
7,26.0,24
5,309.0,25
3,363.0,25
7,463.0,25
4,509.0,25
6,106.0,0
3,424.0,0
2,185.0,1
9,170.0,2
3,178.0,2
7,4.0,4
3,440.0,4
8,14.0,7
2,61.0,8
3,67.0,8
6,146.0,9
4,42.0,10
10,323.0,9
5,253.0,9
5,37.0,14
3,43.0,14
8,102.0,14
7,343.0,14
5,13.0,15
1,15.0,15
2,16.0,15
6,132.0,16
9,380.0,16
5,393.0,16
8,419.0,16
5,454.0,17
8,111.0,21
5,169.0,21
7,215.0,22
5,265.0,24
5,79.0,25
8,79.0,0
7,245.0,0
6,357.0,0
3,427.0,0
7,54.0,1
10,282.0,1
3,61.0,2
4,281.0,2
9,464.0,2
7,30.0,3
5,148.0,2
7,1.0,4
5,376.0,4
8,64.0,7
6,170.0,7
5,358.0,7
2,379.0,8
5,156.0,14
7,494.0,14
7,15.0,15
1,208.0,15
2,317.0,15
7,23.0,18
4,470.0,18
8,102.0,21
6,241.0,21
5,386.0,21
5,419.0,23
5,477.0,24
3,326.0,25
5,145.0,25
5,34.0,0
6,197.0,0
7,249.0,0
3,364.0,0
9,487.0,0
4,41.0,2
3,55.0,2
6,155.0,7
2,71.0,8
6,242.0,9
5,25.0,9
10,14.0,14
5,84.0,14
3,184.0,14
1,132.0,15
5,285.0,15
7,53.0,16
6,157.0,16
9,267.0,16
8,465.0,16
7,35.0,17
5,240.0,17
10,501.0,16
MRI,37.0,18
7,108.0,18
5,257.0,18
8,292.0,21
9,352.0,21
6,407.0,21
5,429.0,21
7,80.0,22
9,345.0,23
5,412.0,23
7,6.0,24
5,103.0,24
3,45.0,25
5,207.0,25
7,292.0,25
4,443.0,25
6,152.0,0
5,436.0,0
4,32.0,2
3,224.0,2
3,15.0,3
5,244.0,4
5,391.0,7
6,494.0,7
2,7.0,8
4,26.0,9
6,494.0,9
10,16.0,14
6,42.0,14
3,157.0,14
7,231.0,14
3,12.0,15
5,33.0,15
5,458.0,16
9,487.0,16
4,342.0,18
5,331.0,21
9,59.0,21
7,210.0,22
7,173.0,23
9,266.0,23
4,231.0,25
8,100.0,0
5,193.0,0
3,63.0,2
8,129.0,7
2,247.0,8
6,30.0,9
7,23.0,10
10,31.0,9
5,65.0,9
7,472.0,14
3,440.0,14
1,458.0,15
6,211.0,16
5,214.0,16
4,407.0,18
5,257.0,21
5,57.0,0
8,137.0,0
3,151.0,0
7,421.0,0
3,98.0,2
4,134.0,2
5,384.0,2
1,73.0,4
6,152.0,7
5,328.0,7
2,17.0,8
6,209.0,9
7,25.0,11
6,96.0,14
8,200.0,14
5,112.0,15
6,428.0,16
5,229.0,18
4,296.0,18
8,140.0,21
9,376.0,21
7,234.0,22
9,248.0,23
4,242.0,25
4,51.0,2
3,102.0,2
3,170.0,4
4,173.0,4
8,37.0,7
6,69.0,7
5,251.0,7
2,4.0,8
MRI,55.0,8
4,37.0,9
9,333.0,9
3,333.0,11
5,81.0,14
3,429.0,14
6,33.0,16
5,120.0,18
3,157.0,18
7,190.0,18
4,477.0,18
8,96.0,21
10,114.0,21
6,373.0,21
5,415.0,21
5,187.0,23
7,465.0,22
3,35.0,0
5,200.0,0
9,339.0,0
6,395.0,0
7,418.0,0
5,52.0,1
7,366.0,1
3,168.0,2
4,225.0,2
9,394.0,2
6,0.0,3
