schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
0,0,5,0,5,0,10,0,5,0,4,0,4,0,9,0,0,0
0,0,5,0,5,0,10,0,5,0,4,0,4,0,9,0,0,0
0,0,5,0,5,0,10,0,5,0,4,0,4,0,9,0,0,0
0,0,5,0,5,0,10,0,5,0,4,0,4,0,9,0,0,0
0,0,5,0,5,0,10,0,5,0,4,0,4,0,9,0,0,0
0,0,5,0,5,0,10,0,5,0,4,0,4,0,9,0,0,0
0,0,5,0,5,0,11,0,5,0,4,0,4,0,10,0,9,0
0,0,5,0,5,0,11,3,5,2,4,0,5,1,10,1,9,2
0,0,5,0,5,0,11,4,5,2,4,0,5,1,10,1,9,2
0,0,5,0,5,0,11,5,5,3,4,0,5,1,10,3,10,2
0,0,5,0,5,0,11,5,5,3,4,0,5,1,10,3,10,2
0,0,5,0,5,0,11,5,5,4,4,0,5,1,10,3,10,2
0,0,5,0,5,0,11,5,5,4,4,0,5,1,10,4,10,2
0,0,5,0,5,0,11,3,5,4,4,0,5,1,10,3,6,2
0,0,5,0,5,0,11,3,5,2,4,0,5,1,10,3,6,2
0,0,5,0,5,0,11,3,5,2,4,0,5,1,9,2,6,1
0,0,5,0,5,0,11,3,5,2,4,0,4,1,9,2,6,0
0,0,5,0,5,0,11,2,5,2,4,0,4,1,9,2,0,0
0,0,5,0,5,0,11,2,5,2,4,0,4,1,9,2,0,0
0,0,5,0,5,0,11,2,5,2,4,0,4,1,9,2,0,0
0,0,5,0,5,0,11,2,5,2,4,0,4,1,9,2,0,0
0,0,5,0,5,0,11,2,5,2,4,0,4,1,9,2,0,0
0,0,5,0,5,0,10,2,5,2,4,0,4,1,9,2,0,0
0,0,5,0,5,0,10,2,5,2,4,0,4,1,9,2,0,0
1,1,5,0,5,0,10,2,5,2,4,0,4,1,5,2,0,0
1,1,5,0,5,0,10,2,5,2,4,0,4,1,5,2,0,0
1,1,5,0,5,0,10,2,5,2,4,0,4,1,5,2,0,0
1,1,5,0,5,0,10,2,5,2,4,0,4,1,5,2,0,0
1,1,5,0,5,0,10,2,5,2,4,0,4,1,5,2,0,0
1,1,5,0,5,0,10,2,5,2,4,0,4,1,5,2,0,0
1,1,5,0,5,0,11,2,5,2,4,0,4,1,5,2,9,0
1,1,5,0,5,0,11,3,5,2,4,3,5,2,6,2,9,4
1,1,5,0,5,0,11,3,5,2,4,4,5,2,6,4,9,4
1,1,5,0,5,0,11,5,5,3,4,4,5,2,6,4,10,4
1,1,5,0,5,0,11,5,5,4,4,3,5,2,6,5,10,3
1,1,5,0,5,0,11,5,5,3,4,4,5,2,6,6,10,3
1,1,5,0,5,0,11,5,5,3,4,4,5,2,6,6,10,3
1,1,5,0,5,0,11,5,5,3,4,4,5,2,6,5,6,3
1,1,5,0,5,0,11,4,5,3,4,3,5,2,6,4,6,3
1,1,5,0,5,0,11,4,5,3,4,3,5,2,5,4,6,2
1,1,5,0,5,0,11,4,5,3,4,3,4,2,5,3,6,1
1,1,5,0,5,0,11,3,5,3,4,3,4,2,5,3,0,1
1,1,5,0,5,0,11,3,5,3,4,3,4,2,5,2,0,0
1,1,5,0,5,0,11,3,5,3,4,3,4,2,5,2,0,0
1,1,5,0,5,0,11,3,5,3,4,3,4,2,5,2,0,0
1,1,5,0,5,0,11,3,5,3,4,3,4,2,5,2,0,0
1,1,5,0,5,0,10,3,5,2,4,3,4,2,5,2,0,0
1,1,5,0,5,0,10,3,5,2,4,3,4,2,5,2,0,0
2,2,5,0,5,0,10,3,5,2,4,3,4,2,9,2,0,0
2,2,5,0,5,0,10,3,5,2,4,3,4,2,9,2,0,0
2,2,5,0,5,0,10,3,5,2,4,3,4,2,9,2,0,0
2,2,5,0,5,0,10,3,5,2,4,3,4,2,9,2,0,0
2,2,5,0,5,0,10,3,5,2,4,3,4,2,9,2,0,0
2,2,5,0,5,0,10,3,5,2,4,3,4,2,9,2,0,0
2,2,5,0,5,0,11,3,5,2,4,3,4,2,12,2,9,0
2,2,5,0,5,0,11,6,5,2,4,2,5,3,12,5,9,1
2,2,5,0,5,0,11,7,5,2,4,2,5,3,12,5,9,2
2,2,5,0,5,0,11,10,5,3,4,1,5,3,12,5,10,4
2,2,5,0,5,0,11,10,5,3,4,1,5,3,12,7,10,5
2,2,5,0,5,0,11,11,5,3,4,1,5,3,12,8,10,5
2,2,5,0,5,0,11,11,5,3,4,1,5,2,12,8,10,4
2,2,5,0,5,0,11,9,5,2,4,1,5,2,12,6,6,4
