OT,surgery_duration,schedule_day,simulation_day
7,107,0,0
9,77,0,0
5,68,0,0
7,103,0,0
6,41,0,0
5,31,0,0
7,88,0,0
1,6,0,0
6,43,0,0
9,9,0,0
7,7,1,1
MRI,4,1,1
7,8,1,1
7,5,1,1
MRI,4,1,1
7,10,0,0
7,5,1,1
3,2,1,1
2,21,1,1
MRI,4,1,1
8,91,1,1
2,12,1,1
2,22,1,1
MRI,3,1,1
8,8,1,1
5,7,1,1
7,9,2,2
5,140,2,2
4,9,2,2
8,94,2,2
8,12,2,2
2,7,1,1
2,6,0,0
MRI,5,1,1
5,12,2,2
3,32,2,2
4,24,2,2
7,42,2,2
4,6,2,2
3,7,2,2
MRI,3,1,1
2,4,3,3
6,13,3,3
5,79,3,3
1,3,1,1
3,3,1,1
6,12,3,3
5,5,3,3
7,80,2,2
4,22,3,3
9,7,0,0
8,65,0,0
MRI,4,4,4
7,9,4,4
10,24,1,1
4,76,4,4
MRI,5,4,4
4,133,4,4
5,89,4,4
4,1,4,4
5,70,4,4
8,11,4,4
3,23,4,4
MRI,4,4,4
5,27,2,2
1,5,3,3
1,10,4,4
9,11,2,2
10,42,2,2
1,10,2,2
8,20,3,3
6,70,7,7
6,48,7,7
10,7,7,7
9,213,7,7
2,7,7,7
5,18,1,1
7,63,3,3
5,8,8,8
5,51,8,8
5,119,4,4
2,15,8,8
3,2,8,8
5,15,8,8
2,9,8,8
10,11,7,7
5,3,9,9
5,4,9,9
MRI,7,7,7
5,9,9,9
8,106,9,9
10,22,9,9
MRI,4,8,8
6,50,9,9
7,5,9,9
1,8,7,7
6,38,9,9
10,17,9,9
6,8,9,9
4,26,9,9
7,5,9,9
10,15,7,7
8,8,9,9
9,6,9,9
6,32,10,10
5,707,7,7
6,9,10,10
1,7,8,8
7,4,9,9
2,9,10,10
4,114,10,10
3,29,7,7
MRI,4,7,7
MRI,5,11,11
3,13,11,11
5,101,11,11
5,3,11,11
3,5,11,11
MRI,5,11,11
MRI,8,11,11
MRI,4,7,7
7,5,10,10
5,111,10,10
3,12,3,3
9,9,9,9
1,10,9,9
5,7,10,10
1,9,10,10
MRI,7,4,4
10,15,0,0
3,22,0,0
7,3,14,14
10,11,14,14
6,65,14,14
5,59,14,14
10,6,14,14
5,37,14,14
6,53,14,14
7,74,14,14
8,51,7,7
MRI,4,15,15
3,5,15,15
3,2,15,15
MRI,3,15,15
5,21,15,15
7,4,15,15
8,126,15,15
10,11,14,14
5,27,15,15
MRI,5,15,15
5,38,15,15
5,16,15,15
7,6,16,16
6,13,16,16
4,7,16,16
5,2,16,16
9,109,14,14
4,8,16,16
9,5,16,16
3,21,14,14
1,9,14,14
5,219,16,16
9,11,16,16
5,97,17,17
8,8,16,16
7,3,17,17
1,9,11,11
7,7,15,15
9,188,16,16
10,34,16,16
2,5,14,14
MRI,4,18,18
5,55,17,17
MRI,6,18,18
9,142,7,7
MRI,7,18,18
MRI,5,18,18
4,174,18,18
3,28,18,18
4,102,18,18
1,7,16,16
4,9,18,18
