OT,schedule_day
5,0
6,0
9,0
7,0
7,0
7,0
8,1
8,2
5,2
7,2
5,4
5,7
9,7
8,9
5,11
7,14
9,14
5,15
5,16
9,16
9,16
5,16
4,18
4,18
5,21
5,22
4,25
4,25
7,0
7,0
8,1
5,2
4,4
5,7
8,9
5,11
5,11
7,14
9,14
9,16
4,18
4,18
4,18
3,22
4,25
4,25
9,0
7,0
4,4
5,11
7,14
9,14
5,16
9,16
9,16
4,18
4,25
4,25
4,25
9,0
7,0
4,4
4,4
4,4
5,7
6,7
7,14
9,14
5,14
9,16
4,18
4,18
4,18
5,22
4,25
4,25
9,0
7,0
7,0
5,2
4,4
5,7
9,7
9,14
9,16
9,16
4,18
5,21
5,22
5,22
7,0
7,0
9,7
6,14
5,22
4,25
4,25
4,25
9,0
7,0
5,3
4,4
5,7
9,7
8,9
5,10
9,16
9,16
4,18
5,0
9,0
5,2
9,7
9,14
5,15
4,18
5,22
5,22
5,22
4,25
4,25
4,25
9,0
5,7
5,10
5,11
9,14
6,14
5,15
5,15
9,16
4,18
4,18
5,18
5,22
4,25
4,25
9,0
7,0
4,4
5,11
9,14
5,15
4,18
4,18
9,21
5,22
4,25
4,25
9,0
7,0
4,4
9,14
9,16
4,18
5,22
4,25
4,25
4,25
7,0
4,4
5,7
9,14
4,18
5,0
7,0
5,7
6,7
6,14
9,16
4,18
5,21
4,25
9,16
9,16
4,18
4,18
5,22
5,22
4,25
4,25
5,0
7,0
7,0
9,7
5,8
6,9
6,9
7,14
9,14
9,16
9,16
5,22
5,22
5,23
4,25
4,25
4,25
9,0
7,0
5,7
6,9
9,14
5,16
9,16
4,18
4,18
5,22
9,0
4,4
7,14
9,14
5,15
9,16
9,16
4,18
4,25
4,25
9,0
7,0
6,9
9,14
5,21
6,21
5,22
4,25
4,25
4,25
5,0
9,0
7,0
7,0
7,0
5,3
4,4
5,7
6,9
5,11
9,14
5,16
9,16
5,17
5,21
5,22
5,22
4,25
4,25
4,25
4,25
5,0
9,0
7,0
7,0
7,0
4,4
9,7
9,14
9,16
4,25
4,25
4,25
9,0
7,0
5,3
4,4
4,4
9,14
9,16
9,16
4,18
4,18
4,18
9,21
5,22
5,23
4,25
4,25
4,25
9,0
7,0
4,4
6,9
9,14
5,14
9,16
4,25
9,0
7,0
7,0
4,4
9,7
4,10
9,14
5,17
4,18
4,18
4,18
5,21
5,22
5,22
4,25
4,25
4,25
9,0
7,0
7,0
7,0
4,4
4,4
4,4
5,7
6,7
5,11
7,14
9,14
6,14
9,16
6,21
5,22
4,25
4,25
7,0
5,3
4,4
9,7
9,14
9,16
9,16
4,18
4,18
4,18
5,22
5,24
4,25
4,25
4,25
9,0
7,0
5,7
9,7
5,11
7,14
9,14
5,14
5,15
5,21
4,25
4,25
7,0
6,7
6,9
6,9
5,14
6,21
4,25
4,25
5,0
7,0
7,0
7,0
7,14
9,16
5,21
5,22
5,22
7,0
7,0
5,7
6,7
5,11
7,14
9,14
6,14
9,16
9,16
4,18
4,18
5,21
5,22
4,25
4,25
4,25
4,25
5,0
9,0
7,0
7,0
7,0
9,14
9,16
5,18
5,21
4,25
4,25
4,25
4,25
5,0
6,0
7,0
7,0
5,7
6,7
5,10
5,14
4,18
4,18
5,21
6,21
5,22
5,23
4,25
4,25
4,25
4,25
6,0
9,0
7,0
4,4
7,14
9,14
5,15
9,16
9,16
5,16
4,18
5,22
5,22
4,25
4,25
4,25
4,25
9,0
7,0
4,4
5,7
9,7
6,7
5,8
8,9
7,9
5,11
9,14
5,16
4,18
4,18
4,18
5,21
9,21
4,25
4,25
4,25
4,25
9,0
7,0
5,2
8,2
5,4
5,7
6,7
9,14
5,16
9,16
5,21
6,21
5,22
4,25
4,25
4,25
9,0
7,0
4,4
4,4
4,4
5,22
4,25
4,25
7,0
7,0
6,9
9,14
5,15
9,16
9,16
4,18
5,21
9,21
5,22
5,22
4,25
4,25
4,25
7,0
5,4
4,4
5,7
9,16
9,16
5,22
5,22
4,25
4,25
4,25
9,0
7,0
4,4
5,7
8,9
5,10
9,14
5,15
9,16
9,16
5,17
4,18
9,21
4,25
4,25
4,25
9,0
4,4
4,4
4,4
9,14
9,16
5,18
4,18
5,21
4,25
4,25
9,0
7,0
5,7
5,11
7,14
9,14
5,21
5,22
5,22
4,25
4,25
4,25
4,25
9,0
7,0
5,11
7,14
9,14
9,16
4,18
5,21
6,21
4,25
4,25
7,0
5,2
5,7
6,9
5,11
9,14
9,16
9,16
4,25
4,25
4,25
7,0
7,0
5,2
4,4
5,7
6,9
5,11
7,14
9,14
9,16
9,16
5,17
4,18
4,18
4,18
9,21
4,25
