OT,overtime,schedule_day
7,134.0,0
6,155.0,0
5,188.0,0
5,58.0,2
7,62.0,2
8,333.0,2
9,363.0,2
7,5.0,3
5,77.0,3
7,3.0,4
8,105.0,4
5,372.0,4
4,447.0,4
5,46.0,7
6,200.0,7
8,28.0,9
7,8.0,10
5,42.0,10
5,21.0,11
8,212.0,11
6,33.0,14
5,77.0,14
9,118.0,14
5,54.0,15
9,275.0,16
5,442.0,16
5,262.0,17
5,158.0,18
5,39.0,21
6,289.0,21
5,85.0,22
8,432.0,22
7,13.0,23
5,68.0,23
4,19.0,25
1,158.0,25
6,63.0,0
7,188.0,0
5,248.0,0
5,73.0,4
8,273.0,4
4,312.0,4
5,81.0,7
9,215.0,7
5,35.0,8
9,124.0,9
5,45.0,10
4,122.0,10
5,151.0,14
9,252.0,14
5,21.0,15
5,243.0,16
9,255.0,16
5,45.0,22
5,27.0,23
4,293.0,25
6,67.0,0
7,157.0,0
9,303.0,2
5,299.0,3
7,108.0,4
5,125.0,4
4,336.0,4
6,95.0,9
9,179.0,14
7,245.0,14
5,234.0,16
5,136.0,17
4,58.0,18
7,81.0,18
5,144.0,18
5,140.0,21
5,57.0,22
5,61.0,23
5,5.0,24
7,87.0,24
4,94.0,25
9,178.0,0
7,270.0,0
9,237.0,2
5,24.0,3
7,92.0,4
4,95.0,4
5,88.0,7
6,134.0,7
9,191.0,7
8,183.0,9
7,9.0,10
5,396.0,10
6,79.0,14
7,273.0,14
9,278.0,14
5,408.0,16
1,38.0,18
5,179.0,18
6,32.0,21
5,155.0,22
5,199.0,23
1,51.0,25
4,249.0,25
10,121.0,0
7,241.0,0
9,314.0,0
7,40.0,2
5,119.0,3
4,204.0,4
6,50.0,7
9,496.0,7
5,74.0,8
6,321.0,9
4,124.0,10
5,35.0,11
5,228.0,14
7,231.0,14
5,40.0,15
9,228.0,16
4,204.0,18
5,152.0,21
6,188.0,21
9,365.0,21
5,54.0,22
5,119.0,23
9,315.0,23
7,488.0,24
4,17.0,25
5,30.0,25
10,258.0,0
6,289.0,0
9,497.0,0
5,55.0,2
8,220.0,2
5,293.0,4
5,23.0,7
6,92.0,7
6,62.0,9
5,69.0,14
7,132.0,14
9,144.0,14
5,66.0,15
6,54.0,16
9,90.0,16
5,214.0,17
4,36.0,18
1,153.0,18
9,73.0,21
6,124.0,21
5,173.0,22
5,124.0,23
7,219.0,24
4,51.0,25
6,22.0,0
10,35.0,0
5,148.0,0
7,160.0,0
8,144.0,1
5,55.0,2
8,211.0,2
5,78.0,3
4,48.0,4
5,159.0,4
9,16.0,7
5,69.0,7
6,225.0,7
8,146.0,9
9,282.0,9
6,448.0,9
6,18.0,14
7,124.0,14
5,69.0,15
4,0.0,16
5,446.0,16
5,131.0,18
4,179.0,18
6,309.0,21
5,376.0,21
5,45.0,22
3,279.0,22
5,21.0,23
9,407.0,23
4,125.0,25
5,55.0,0
7,151.0,0
9,419.0,0
9,362.0,2
5,381.0,2
4,377.0,4
5,127.0,7
6,33.0,9
7,44.0,14
9,218.0,14
6,183.0,21
5,201.0,21
9,235.0,21
5,41.0,22
8,432.0,22
10,443.0,22
7,0.0,23
5,78.0,23
5,174.0,25
4,384.0,25
6,33.0,0
7,251.0,0
8,367.0,1
5,97.0,2
8,267.0,2
8,43.0,4
4,425.0,4
MRI,5.0,7
6,11.0,7
9,38.0,7
8,48.0,9
6,436.0,9
7,1.0,10
5,17.0,10
4,485.0,10
5,66.0,11
5,193.0,14
9,216.0,14
6,315.0,14
5,25.0,15
8,235.0,15
4,20.0,16
9,177.0,16
