OT,overtime,schedule_day
1,40.0,1
3,220.0,0
3,119.0,2
8,258.0,0
2,357.0,3
1,400.0,3
3,198.0,3
1,329.0,4
MRI,444.0,4
MRI,116.0,7
1,164.0,7
MRI,317.0,8
1,492.0,8
1,30.0,9
5,274.0,0
2,355.0,8
6,499.0,10
MRI,80.0,11
1,361.0,11
3,427.0,8
2,303.0,14
1,365.0,14
MRI,21.0,15
3,374.0,15
7,252.0,16
1,329.0,16
4,465.0,16
1,94.0,17
7,290.0,17
7,145.0,18
MRI,291.0,18
8,355.0,9
9,108.0,16
MRI,122.0,21
5,155.0,21
7,274.0,22
3,441.0,21
7,66.0,23
2,138.0,22
3,103.0,23
7,270.0,24
MRI,72.0,25
7,272.0,25
3,283.0,25
8,380.0,25
1,106.0,0
MRI,218.0,1
1,324.0,1
3,307.0,2
3,109.0,3
2,185.0,3
1,249.0,3
1,216.0,4
10,15.0,4
3,272.0,4
MRI,79.0,7
1,337.0,7
10,431.0,7
2,71.0,7
MRI,179.0,8
3,267.0,7
1,455.0,8
1,239.0,9
7,30.0,8
2,37.0,10
1,340.0,10
6,383.0,7
4,418.0,9
MRI,31.0,11
1,484.0,11
6,36.0,11
7,410.0,11
2,37.0,14
1,293.0,14
7,457.0,14
7,76.0,15
MRI,226.0,15
1,316.0,15
3,362.0,15
7,261.0,16
7,107.0,17
1,192.0,17
3,213.0,18
MRI,253.0,18
10,296.0,16
MRI,55.0,21
9,351.0,21
2,443.0,21
1,26.0,22
3,363.0,21
7,440.0,18
7,54.0,23
1,264.0,23
1,19.0,24
2,128.0,24
7,279.0,24
5,497.0,17
MRI,148.0,25
7,268.0,25
8,473.0,25
2,11.0,0
1,65.0,0
1,89.0,1
10,320.0,0
2,129.0,1
2,14.0,3
1,291.0,3
7,154.0,4
1,363.0,4
MRI,400.0,4
MRI,88.0,7
1,333.0,7
10,454.0,7
7,41.0,8
3,164.0,7
7,401.0,9
1,454.0,9
1,299.0,10
3,28.0,10
1,180.0,11
MRI,241.0,11
2,319.0,8
1,489.0,14
1,247.0,15
7,250.0,15
MRI,342.0,15
4,159.0,16
7,173.0,16
1,368.0,16
10,42.0,16
7,285.0,17
1,507.0,17
MRI,121.0,18
7,172.0,18
MRI,94.0,21
MRI,165.0,22
1,222.0,18
7,161.0,23
2,372.0,22
9,482.0,23
2,92.0,24
1,204.0,24
MRI,9.0,25
3,404.0,25
7,161.0,24
2,85.0,0
4,158.0,18
9,292.0,0
3,117.0,0
MRI,168.0,1
10,215.0,0
2,350.0,1
9,463.0,2
1,229.0,3
7,464.0,0
MRI,230.0,4
8,373.0,0
2,115.0,7
MRI,157.0,7
1,263.0,7
3,353.0,7
1,189.0,8
MRI,199.0,8
6,209.0,9
1,330.0,9
2,1.0,8
8,25.0,7
1,310.0,10
MRI,237.0,11
1,243.0,11
4,423.0,4
2,9.0,14
3,62.0,15
MRI,135.0,15
4,122.0,16
1,206.0,17
MRI,62.0,18
5,431.0,15
3,102.0,18
7,111.0,14
MRI,162.0,21
MRI,285.0,22
4,331.0,18
7,353.0,22
1,400.0,22
5,409.0,22
1,459.0,23
2,213.0,24
1,399.0,24
MRI,192.0,25
9,234.0,0
MRI,142.0,1
1,137.0,25
3,397.0,2
6,322.0,0
2,494.0,1
MRI,160.0,4
6,249.0,4
1,402.0,4
4,452.0,3
3,490.0,4
2,236.0,7
MRI,369.0,7
1,372.0,7
3,466.0,7
1,58.0,8
8,149.0,7
MRI,234.0,8
5,4.0,4
2,231.0,8
1,465.0,9
7,509.0,9
10,90.0,0
5,184.0,10
1,343.0,10
MRI,357.0,11
7,251.0,14
1,383.0,14
MRI,50.0,15
7,188.0,15
1,354.0,15
7,49.0,16
3,68.0,14
4,100.0,16
10,59.0,16
7,230.0,17
4,451.0,17
3,21.0,18
MRI,145.0,18
MRI,20.0,21
2,293.0,21
1,490.0,21
10,88.0,21
1,118.0,22
5,158.0,17
1,457.0,23
7,73.0,24
1,166.0,24
2,261.0,24
MRI,93.0,25
9,352.0,14
3,448.0,25
9,157.0,0
MRI,129.0,1
3,200.0,0
2,400.0,3
3,38.0,3
6,350.0,4
MRI,495.0,4
2,17.0,7
MRI,244.0,7
10,386.0,7
1,475.0,7
MRI,261.0,8
10,34.0,9
1,477.0,9
8,79.0,7
2,211.0,10
7,243.0,10
1,463.0,10
MRI,294.0,11
1,478.0,11
4,218.0,4
2,70.0,14
1,233.0,14
MRI,13.0,15
3,48.0,15
7,336.0,15
1,370.0,15
7,56.0,16
8,468.0,14
5,494.0,14
4,462.0,16
2,486.0,17
MRI,213.0,18
MRI,331.0,21
2,340.0,21
MRI,48.0,22
7,219.0,22
1,392.0,22
1,305.0,23
6,165.0,23
1,229.0,24
5,245.0,17
3,202.0,25
MRI,336.0,25
1,0.0,25
1,190.0,1
3,362.0,1
MRI,422.0,1
3,106.0,2
10,275.0,0
1,277.0,2
