OT,surgery_duration,schedule_day,simulation_day
1,847,0,0
MRI,553,1,1
3,192,1,1
5,2912,0,0
1,714,1,1
3,388,2,2
10,1414,0,0
2,2559,1,1
1,831,2,2
4,1669,2,2
8,4237,0,0
MRI,345,4,4
6,6768,0,0
MRI,407,4,4
4,949,3,3
1,1328,3,3
2,1388,0,0
10,849,4,4
3,4755,3,3
9,778,0,0
1,1285,4,4
3,391,1,1
7,10104,0,0
2,531,7,7
5,7799,2,2
10,886,7,7
8,2439,3,3
MRI,511,8,8
MRI,488,7,7
MRI,340,8,8
9,1003,2,2
6,3270,7,7
4,7884,4,4
10,2146,2,2
5,2402,8,8
1,498,8,8
3,3495,8,8
2,3858,8,8
1,961,9,9
MRI,461,11,11
3,450,11,11
1,994,10,10
10,1205,1,1
8,4101,7,7
6,6019,9,9
1,993,7,7
7,5924,10,10
4,6601,10,10
2,857,14,14
7,555,14,14
8,7062,10,10
1,662,11,11
3,211,15,15
MRI,543,15,15
9,12394,7,7
3,222,15,15
4,759,16,16
1,869,15,15
5,9648,10,10
10,12646,8,8
1,948,14,14
7,557,17,17
1,509,16,16
7,464,16,16
MRI,519,18,18
6,6790,14,14
7,676,18,18
2,890,3,3
1,3936,18,18
4,1481,17,17
MRI,469,21,21
1,1493,17,17
8,9251,15,15
MRI,459,22,22
2,651,21,21
2,983,15,15
4,7422,18,18
5,9235,17,17
3,2977,17,17
2,2464,22,22
2,514,17,17
4,832,23,23
1,925,21,21
1,449,23,23
3,1716,23,23
2,555,24,24
7,483,22,22
3,1661,7,7
9,12742,16,16
1,782,22,22
7,554,15,15
3,2301,21,21
4,1828,24,24
6,8390,21,21
MRI,456,25,25
1,1006,24,24
4,633,25,25
7,544,23,23
2,626,0,28
MRI,626,1,29
9,908,0,28
5,8964,24,24
6,3943,0,28
7,611,25,25
4,1732,2,30
9,533,2,30
2,3837,1,29
1,11860,25,25
8,16218,22,22
3,516,25,25
7,7687,0,28
4,1453,3,31
6,1423,3,31
3,777,4,32
MRI,548,7,35
MRI,684,4,32
10,22697,21,21
1,1006,7,35
MRI,368,4,32
5,10063,2,30
5,283,9,37
6,3730,7,35
10,1014,9,37
2,2549,8,36
3,3052,8,36
6,945,10,38
MRI,603,11,39
8,4582,7,35
1,836,9,37
1,479,8,36
10,1736,10,38
1,684,10,38
3,1722,3,31
2,602,10,38
1,782,11,39
9,10082,7,35
MRI,605,8,36
7,315,14,42
2,579,14,42
4,15085,4,32
7,5332,10,38
10,1746,14,42
MRI,532,15,43
3,308,15,43
3,634,15,43
4,1145,16,44
5,10125,10,38
6,5126,14,42
MRI,269,18,46
1,927,16,44
4,1020,17,45
1,705,15,43
1,978,17,45
MRI,356,18,46
7,9306,14,42
9,9685,14,42
5,6091,17,45
MRI,739,21,49
10,2156,16,44
9,790,21,49
5,888,21,49
7,364,22,50
2,1467,22,50
MRI,383,22,50
7,221,23,51
7,571,23,51
5,2824,22,50
6,4817,21,49
7,399,22,50
2,533,17,45
9,985,23,51
MRI,417,25,53
1,734,23,51
7,491,25,53
1,609,22,50
8,4914,14,42
3,1295,23,51
3,1048,14,42
4,13295,18,46
2,604,7,35
10,2788,17,17
3,2122,21,49
1,485,14,42
9,895,0,56
1,699,0,56
MRI,563,1,57
1,165,1,57
3,479,1,57
1,742,21,49
3,565,2,58
4,1595,2,58
1,1291,2,58
2,562,3,59
9,860,2,58
MRI,448,4,60
7,7551,0,56
5,13206,24,52
2,1997,0,56
8,6164,0,56
1,977,3,59
3,310,1,57
1,804,4,60
MRI,310,7,63
10,770,7,63
MRI,279,7,63
4,7287,4,60
MRI,194,8,64
2,362,21,49
7,570,9,65
1,820,7,63
2,371,10,66
2,513,7,63
3,682,7,35
3,3777,8,64
1,448,8,64
1,496,9,65
2,1298,24,52
4,2597,9,65
3,4820,17,45
8,3328,7,63
MRI,383,11,67
3,1148,11,67
8,947,11,67
4,1492,11,67
MRI,440,11,67
7,508,14,70
1,819,11,67
6,21420,0,56
1,854,10,66
7,317,15,71
MRI,589,15,71
5,12675,7,63
2,1506,14,70
6,405,16,72
9,13661,7,63
10,2485,14,70
7,317,16,72
4,542,16,72
1,950,16,72
8,5223,14,70
3,397,18,74
1,519,14,70
3,1128,18,74
1,644,17,73
MRI,561,18,74
7,4460,16,72
2,184,17,73
10,6565,0,56
1,4942,18,74
MRI,500,21,77
7,902,22,78
9,561,21,77
1,733,15,71
MRI,399,22,78
2,2521,22,78
3,3124,22,78
4,9368,18,74
1,1035,23,79
6,5493,21,77
MRI,425,25,81
3,560,25,81
8,5835,21,77
1,641,24,80
3,1660,21,77
1,554,22,78
2,595,21,77
7,8415,23,79
3,556,1,85
7,703,1,85
MRI,476,1,85
3,2047,14,70
1,7193,25,81
4,7418,25,81
9,459,2,86
3,688,2,86
4,1014,2,86
2,2796,1,85
7,519,2,86
5,21992,16,72
9,1009,0,84
6,5465,0,84
8,3383,0,84
1,602,2,86
4,1179,3,87
MRI,690,4,88
5,467,3,87
1,839,3,87
2,367,24,80
10,8383,0,84
2,636,0,84
2,603,3,87
MRI,556,8,92
MRI,482,7,91
10,1183,7,91
6,3259,7,91
7,797,9,93
3,1824,10,38
10,671,9,93
2,283,10,94
1,536,9,93
5,10375,4,88
MRI,566,11,95
1,570,7,91
6,3649,9,93
8,5622,7,91
1,909,11,95
1,399,4,88
3,1454,0,84
1,712,8,92
7,362,14,98
4,15163,4,88
MRI,706,15,99
3,752,11,95
5,3290,14,98
4,859,16,100
3,2595,7,91
4,1392,17,101
MRI,721,18,102
1,863,15,99
5,657,18,102
3,2169,18,102
9,1896,23,79
1,730,14,98
3,1613,10,94
1,699,16,100
9,19200,7,91
1,575,17,101
7,9964,14,98
2,545,17,101
2,482,21,105
9,624,21,105
MRI,637,21,105
5,643,21,105
4,5984,18,102
3,1812,21,105
MRI,320,22,106
6,12383,14,98
2,1983,22,106
5,2002,22,106
2,295,7,91
9,1033,23,107
4,430,22,106
7,737,22,106
2,615,24,108
1,717,22,106
6,2083,23,107
MRI,433,25,109
7,440,25,109
1,562,21,105
3,4568,22,106
1,647,24,108
4,5851,23,107
8,6924,14,98
2,899,0,112
8,6983,21,105
2,1715,1,113
3,381,2,114
3,1161,7,63
7,589,23,107
1,6748,25,109
4,1269,2,114
2,724,3,115
6,6047,0,112
MRI,461,4,116
5,6493,0,112
MRI,699,1,113
6,317,4,116
9,798,2,114
1,997,2,114
7,7549,0,112
MRI,749,22,106
1,910,3,115
4,1275,3,115
2,479,7,119
MRI,418,7,119
MRI,464,8,120
7,565,9,121
1,463,7,119
3,2949,8,120
1,827,4,116
10,1413,7,119
4,9573,4,116
1,604,8,120
MRI,504,11,123
6,6457,7,119
1,874,23,107
1,935,11,123
3,2599,3,87
4,1629,11,123
5,6340,7,119
1,479,10,122
2,890,10,122
7,662,14,126
MRI,286,1,113
1,637,14,126
7,713,15,127
MRI,418,15,127
4,669,16,128
2,474,14,126
6,4658,14,126
3,1128,7,119
2,472,17,129
1,829,15,127
7,285,16,128
5,5955,14,126
MRI,530,18,130
3,1601,18,130
7,5661,16,128
9,19379,7,119
1,674,16,128
1,588,17,129
1,4616,18,130
MRI,636,21,133
9,562,0,112
2,668,21,133
3,2188,14,98
3,3560,0,28
MRI,382,22,134
5,6319,18,130
7,796,22,134
2,1148,22,134
3,2752,14,126
8,30700,2,114
5,246,23,135
10,1120,23,135
7,482,23,135
9,2383,23,135
7,712,24,136
3,1117,21,133
6,6070,21,133
MRI,549,25,137
7,982,25,137
1,1224,23,135
3,5945,22,134
4,12088,18,130
9,528,21,133
1,791,22,134
1,814,21,133
1,623,24,136
1,632,0,140
3,2276,3,115
2,461,14,98
5,8948,23,135
9,1078,0,140
1,866,1,141
2,1721,1,141
3,1215,0,0
4,911,2,142
6,4267,0,140
3,775,2,142
1,1045,2,142
4,1311,3,143
2,447,3,143
MRI,480,4,144
MRI,579,1,141
3,1361,0,140
6,359,4,144
1,639,4,144
3,4692,3,143
1,914,3,143
9,413,2,142
MRI,562,7,147
1,412,7,147
8,4933,0,140
2,708,24,136
MRI,648,8,148
2,325,7,147
7,12705,0,140
3,761,1,141
7,588,9,149
3,3204,7,147
2,2159,8,148
1,416,9,149
8,3112,7,147
10,14607,0,140
7,2681,8,36
3,1090,17,101
2,719,10,150
5,12835,2,142
MRI,464,11,151
4,10816,4,144
6,6978,7,147
3,1959,3,59
3,570,11,151
1,875,11,151
MRI,395,7,147
3,1634,10,150
1,1079,10,150
1,655,8,148
MRI,452,15,155
10,985,14,154
5,7335,11,151
7,9114,10,150
4,681,16,156
3,2107,0,112
3,203,14,14
2,900,14,154
6,4255,14,154
7,570,17,157
2,662,17,157
4,1144,17,157
1,828,15,155
9,10502,7,147
MRI,553,18,158
3,872,18,158
6,2450,17,157
