OT,schedule_day
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
7,1
7,1
7,1
7,1
5,2
4,2
9,2
9,2
7,2
8,2
9,2
5,2
8,3
7,3
5,3
5,3
7,3
5,4
4,4
5,4
8,4
4,4
7,4
5,7
9,7
10,7
6,7
5,8
10,8
5,8
7,8
5,8
5,8
5,8
9,9
10,9
10,9
8,9
9,9
6,9
10,9
6,9
4,9
7,9
7,9
8,10
5,10
10,10
6,10
10,10
4,10
6,10
5,10
7,10
10,11
5,11
3,11
5,11
8,11
5,11
7,14
9,14
5,14
6,14
10,14
5,15
5,15
5,16
8,16
7,16
8,16
9,16
6,16
5,16
5,17
4,18
5,18
5,21
6,21
5,22
5,22
5,22
5,22
9,23
9,23
9,23
3,25
MRI,25
4,25
5,25
MRI,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
7,1
7,1
7,1
MRI,1
MRI,1
7,1
2,1
8,2
4,2
4,2
5,2
7,4
5,4
8,4
4,4
7,4
7,4
5,7
9,7
10,7
6,7
MRI,7
3,8
5,8
5,8
5,8
9,9
6,9
4,9
4,11
5,11
9,14
5,14
6,14
5,15
5,15
5,15
9,16
9,16
5,17
5,17
4,18
5,21
6,21
5,22
5,22
5,22
5,22
5,24
7,24
7,24
4,25
7,25
7,25
5,25
7,25
4,25
4,25
7,0
7,1
7,1
3,2
5,4
5,4
4,4
5,8
9,9
6,9
3,11
9,14
7,15
5,15
5,15
9,16
5,17
5,22
5,22
5,22
5,22
5,22
4,23
5,24
4,25
7,25
7,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,4
5,7
10,7
6,7
5,8
5,8
5,8
6,9
5,11
5,11
7,14
9,14
5,14
6,14
10,14
10,14
7,15
5,15
5,15
8,16
4,16
9,16
9,16
7,17
7,18
5,18
5,21
6,21
5,22
5,22
5,22
5,22
4,23
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
7,1
9,2
5,3
9,7
5,8
5,8
9,9
9,9
9,9
6,9
6,9
4,11
5,11
7,14
9,14
5,14
6,14
10,14
7,15
5,15
5,15
5,15
5,15
9,16
5,17
4,18
5,18
5,18
5,21
6,21
9,21
MRI,21
5,22
5,22
5,22
5,22
5,22
9,23
9,23
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
7,1
2,1
7,2
9,2
4,2
7,2
5,2
5,3
7,4
7,4
7,4
5,7
10,7
6,7
5,8
5,8
9,9
8,9
9,9
6,9
3,11
5,11
7,14
9,14
5,14
6,14
10,14
7,15
5,15
5,15
5,15
5,16
9,16
9,16
6,16
5,16
5,17
5,17
4,18
5,18
4,18
MRI,18
5,21
6,21
9,21
3,22
3,22
5,22
5,22
5,22
5,22
9,23
7,24
5,24
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
7,1
7,1
8,2
9,2
4,2
5,3
4,4
3,4
5,7
6,7
5,8
5,8
5,8
6,9
7,14
9,14
5,14
6,14
5,15
5,15
5,15
9,16
9,16
9,16
5,16
4,18
5,18
5,18
4,18
4,18
MRI,18
5,21
6,21
8,22
2,22
5,22
5,22
5,22
5,22
5,22
8,23
9,23
MRI,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
9,2
9,2
9,2
5,3
4,4
9,7
6,7
5,8
5,8
5,8
9,9
9,9
9,9
6,9
3,11
9,14
5,14
6,14
5,15
5,15
9,16
9,16
5,17
4,18
4,18
4,18
3,18
5,21
6,21
9,21
MRI,21
MRI,21
3,22
5,22
5,22
5,22
5,22
5,22
8,23
5,24
7,24
5,24
7,24
3,25
5,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
2,1
8,2
5,2
4,2
9,2
7,2
5,2
8,2
9,2
5,2
4,4
5,4
4,4
7,4
7,4
5,7
10,7
6,7
2,8
5,8
10,9
6,9
4,11
5,11
5,14
6,14
5,15
5,15
9,16
9,16
5,17
4,18
5,18
5,21
6,21
2,22
5,22
5,22
5,22
5,22
5,22
7,24
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
5,2
4,2
9,2
9,2
8,2
9,2
5,2
5,3
5,3
7,3
4,4
5,7
10,7
6,7
5,8
5,8
5,8
6,9
9,14
5,15
5,15
9,16
6,16
9,16
4,18
5,22
5,22
5,22
5,22
5,22
9,23
4,25
7,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
7,1
4,2
5,3
4,4
4,4
3,4
6,7
5,8
9,9
9,9
6,9
9,14
5,14
6,14
10,14
7,15
5,15
5,15
9,16
