OT,overtime,schedule_day
7,465.0,2
7,355.0,14
5,411.0,21
5,182.0,3
7,507.0,14
7,489.0,18
5,86.0,21
7,265.0,0
7,483.0,14
7,34.0,16
7,259.0,18
5,135.0,21
7,163.0,2
6,128.0,9
7,127.0,16
7,45.0,24
7,298.0,2
5,462.0,3
7,154.0,16
7,46.0,24
7,241.0,18
7,412.0,16
7,220.0,18
7,459.0,4
7,395.0,14
7,178.0,2
5,146.0,3
5,83.0,21
5,257.0,23
7,32.0,4
7,238.0,16
7,216.0,4
7,469.0,18
5,311.0,21
5,306.0,23
7,220.0,0
7,104.0,2
7,272.0,16
7,5.0,18
5,404.0,23
7,23.0,24
5,206.0,3
7,132.0,16
7,448.0,2
5,444.0,3
7,360.0,4
7,229.0,16
4,36.0,9
7,308.0,14
7,272.0,16
7,102.0,18
5,413.0,21
7,352.0,0
7,98.0,2
7,116.0,18
7,157.0,24
7,466.0,0
7,205.0,2
5,472.0,21
7,9.0,4
7,120.0,24
7,471.0,16
6,43.0,21
5,493.0,23
7,403.0,0
7,379.0,4
7,127.0,16
5,324.0,18
5,253.0,21
7,185.0,24
7,92.0,0
7,156.0,2
5,177.0,3
7,420.0,14
7,11.0,16
7,192.0,18
5,375.0,23
7,272.0,2
5,240.0,3
7,403.0,14
7,151.0,16
5,258.0,21
7,472.0,0
7,380.0,2
7,106.0,4
7,4.0,24
5,412.0,3
7,381.0,2
5,377.0,3
5,415.0,23
7,364.0,0
7,404.0,2
7,296.0,14
7,478.0,16
7,333.0,0
7,70.0,4
7,158.0,14
5,141.0,3
7,371.0,14
7,169.0,16
5,362.0,23
7,49.0,24
7,171.0,2
5,505.0,3
5,471.0,21
7,225.0,0
7,194.0,2
7,6.0,4
7,289.0,14
6,277.0,9
7,395.0,14
7,169.0,16
5,441.0,21
5,186.0,23
7,64.0,24
7,499.0,14
7,219.0,16
7,144.0,18
5,428.0,21
5,501.0,23
7,202.0,24
7,159.0,2
7,8.0,16
7,178.0,18
5,448.0,21
5,507.0,23
7,482.0,0
7,51.0,2
5,496.0,3
7,183.0,4
7,78.0,16
5,174.0,21
7,117.0,24
7,22.0,2
7,410.0,24
7,8.0,2
7,55.0,16
5,355.0,21
5,254.0,23
7,189.0,24
7,76.0,2
7,57.0,4
7,416.0,14
7,47.0,16
5,481.0,21
7,72.0,24
7,86.0,0
7,207.0,2
7,305.0,14
7,178.0,16
7,127.0,18
7,199.0,0
7,416.0,0
7,160.0,2
7,99.0,0
7,94.0,4
4,26.0,9
5,201.0,23
7,159.0,24
7,364.0,2
7,341.0,4
7,417.0,14
7,147.0,16
7,496.0,0
7,118.0,14
7,21.0,16
7,254.0,18
5,293.0,21
7,192.0,14
7,337.0,16
7,169.0,0
7,132.0,2
5,361.0,23
7,253.0,24
7,51.0,4
7,440.0,14
7,106.0,16
7,328.0,24
7,321.0,0
7,193.0,2
5,374.0,3
7,426.0,24
5,485.0,3
7,168.0,4
7,412.0,24
5,476.0,3
7,15.0,18
5,498.0,21
7,301.0,0
7,351.0,4
7,221.0,24
4,234.0,9
7,304.0,14
7,40.0,16
7,157.0,24
7,270.0,0
5,369.0,3
7,221.0,14
7,318.0,18
5,411.0,23
7,320.0,24
7,443.0,0
7,115.0,2
5,22.0,9
7,372.0,16
7,358.0,0
7,91.0,2
5,22.0,3
7,161.0,14
7,105.0,24
7,165.0,2
5,298.0,3
5,134.0,21
5,352.0,3
7,181.0,16
7,508.0,14
7,152.0,2
5,325.0,3
7,113.0,16
5,369.0,21
5,24.0,23
7,240.0,2
7,1.0,16
5,358.0,21
5,227.0,23
7,63.0,2
5,267.0,3
7,489.0,14
7,51.0,16
5,417.0,21
7,370.0,2
7,55.0,4
7,440.0,14
7,6.0,0
7,122.0,2
7,185.0,4
7,228.0,14
7,155.0,18
5,292.0,21
7,1.0,0
7,234.0,14
7,336.0,16
7,325.0,0
7,239.0,2
4,292.0,9
7,296.0,14
7,408.0,16
7,309.0,18
5,266.0,21
7,111.0,18
5,309.0,21
7,76.0,14
7,34.0,16
5,342.0,23
7,27.0,4
5,390.0,21
7,406.0,0
7,1.0,2
7,97.0,14
7,155.0,16
5,329.0,21
7,347.0,24
7,211.0,4
7,266.0,14
7,111.0,16
