OT,surgery_duration,schedule_day,simulation_day
7,1344,0,0
7,45,1,1
3,85,2,2
5,1691,3,3
10,184,7,7
5,71,9,9
4,218,9,9
5,59,10,10
5,35,11,11
7,704,14,14
4,73,16,16
7,82,17,17
7,894,18,18
5,788,21,21
7,89,22,22
5,721,23,23
7,624,24,24
7,51,25,25
3,132,23,23
7,923,0,28
7,64,1,29
7,55,1,29
3,66,2,30
7,503,2,30
4,434,9,37
10,109,7,35
5,21,11,39
7,949,14,42
4,64,16,44
7,682,16,44
7,812,18,46
3,165,23,51
3,62,2,58
7,544,24,52
8,103,8,64
5,25,9,65
4,602,9,65
5,42,10,66
7,604,14,70
7,391,16,72
4,104,16,72
5,972,23,79
7,409,24,80
7,56,25,81
7,910,0,84
7,61,1,85
8,98,2,86
5,1002,3,87
3,70,2,86
7,275,4,88
10,125,7,91
8,57,8,92
5,21,9,93
4,142,9,93
10,101,10,94
7,897,14,98
4,82,16,100
7,105,17,101
5,1332,17,101
5,1808,18,102
5,894,21,105
7,84,22,106
7,1151,24,108
7,54,25,109
7,689,0,112
7,81,1,113
7,53,1,113
7,409,2,114
7,916,4,116
3,161,23,107
10,215,7,119
5,43,11,123
7,627,14,126
7,95,15,127
7,496,16,128
7,133,17,129
7,1185,18,130
5,840,21,133
4,67,16,128
7,55,22,134
3,350,23,135
7,50,25,137
7,1082,0,140
7,104,1,141
7,430,2,142
3,74,2,142
5,1174,3,143
8,99,4,144
10,91,7,147
4,443,9,149
5,43,9,149
5,33,10,150
7,1200,14,154
7,48,15,155
4,62,16,156
7,1160,16,156
7,1191,18,158
5,881,21,161
7,53,22,162
8,60,22,162
5,801,23,163
7,1826,24,164
7,1232,0,168
7,59,1,169
7,62,1,169
7,475,2,170
3,175,23,163
5,759,3,171
10,155,7,175
4,365,9,177
5,80,9,177
5,13,10,178
5,38,11,179
7,1305,14,182
7,62,15,183
7,73,15,183
7,624,16,184
7,68,17,185
4,115,16,184
7,351,18,186
5,1189,21,189
7,67,22,190
5,976,23,191
7,445,24,192
3,125,23,191
7,66,25,193
7,862,0,196
7,69,1,197
7,580,2,198
3,77,2,198
5,1160,3,199
7,574,4,200
10,126,7,203
8,146,8,204
5,24,9,205
4,471,9,205
5,111,10,206
7,1592,14,210
4,145,16,212
7,27,15,211
6,171,17,213
7,814,18,214
5,1319,21,217
7,77,22,218
5,1003,23,219
3,204,23,219
