schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
0,0,2,0,2,0,4,0,2,0,1,0,1,0,3,0,0,0
0,0,2,0,2,0,4,0,2,0,1,0,1,0,3,0,0,0
0,0,2,0,2,0,4,0,2,0,1,0,1,0,3,0,0,0
0,0,2,0,2,0,4,0,2,0,1,0,1,0,3,0,0,0
0,0,2,0,2,0,4,0,2,0,1,0,1,0,3,0,0,0
0,0,2,0,2,0,4,0,2,0,1,0,1,0,3,0,0,0
0,0,2,0,2,0,4,0,2,0,1,0,1,0,4,0,4,0
0,0,2,0,2,0,5,3,2,2,1,0,2,1,4,1,4,2
0,0,2,0,2,0,5,4,2,2,1,1,2,1,4,1,4,2
0,0,2,0,2,0,5,4,2,2,1,1,2,1,4,3,4,2
0,0,2,0,2,0,5,5,2,2,1,1,2,1,4,3,4,2
0,0,2,0,2,0,5,5,2,1,1,1,2,0,4,3,4,2
0,0,2,0,2,0,5,5,2,1,1,1,2,0,4,4,4,2
0,0,2,0,2,0,5,5,2,1,1,1,2,0,4,2,2,2
0,0,2,0,2,0,5,3,2,1,1,1,2,0,4,2,2,2
0,0,2,0,2,0,5,3,2,1,1,1,2,0,4,1,2,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,4,1,2,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,4,1,0,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,4,1,0,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,4,1,0,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,4,1,0,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,4,1,0,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,4,1,0,2
0,0,2,0,2,0,4,3,2,1,1,1,1,0,3,1,0,2
1,1,2,0,2,0,4,3,2,1,1,1,1,0,2,1,0,2
