OT,schedule_day
6,0
9,0
7,0
7,0
7,0
2,1
8,1
5,2
7,2
8,2
5,2
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
5,8
10,8
5,8
3,8
5,8
8,9
6,9
6,9
8,10
5,10
4,10
5,10
7,10
5,11
8,11
5,11
7,14
9,14
6,14
5,15
8,15
5,15
5,16
4,16
9,16
7,16
9,16
5,16
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
3,18
5,18
5,21
6,21
9,21
10,22
2,22
5,22
8,22
10,22
5,22
5,22
5,23
7,23
5,24
6,24
5,24
7,24
6,25
5,25
3,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
2,1
5,2
7,2
8,2
5,2
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
6,7
5,8
10,8
5,8
5,8
10,9
8,9
10,9
6,9
4,9
5,10
4,10
5,10
7,10
5,11
8,11
5,11
7,14
9,14
5,14
6,14
5,15
8,15
2,15
5,15
5,16
4,16
9,16
7,16
9,16
5,16
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
3,22
3,22
5,22
5,22
5,22
5,23
7,23
5,24
6,24
5,24
7,24
6,25
5,25
3,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
8,2
5,2
9,2
7,2
8,2
5,2
5,3
4,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
6,7
5,8
10,8
5,8
3,8
5,8
10,9
10,9
8,9
6,9
10,9
6,9
5,10
10,10
10,10
10,10
4,10
5,10
7,10
5,11
3,11
8,11
5,11
7,14
9,14
5,14
6,14
5,15
8,15
5,15
5,15
5,16
9,16
7,16
9,16
5,16
5,17
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
5,18
5,21
6,21
9,21
MRI,21
5,22
8,22
10,22
5,22
5,22
8,23
5,23
10,23
10,23
4,23
7,23
5,24
6,24
5,24
7,24
6,25
5,25
3,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
5,2
9,2
9,2
7,2
8,2
9,2
5,2
5,3
5,4
4,4
5,4
8,4
4,4
4,4
3,4
7,4
5,7
9,7
5,8
10,8
5,8
7,8
10,9
10,9
8,9
6,9
10,9
6,9
8,10
5,10
4,10
5,10
7,10
5,11
8,11
5,11
7,14
9,14
6,14
5,15
8,15
5,15
5,16
8,16
4,16
9,16
7,16
8,16
9,16
5,16
5,17
5,17
10,18
7,18
4,18
5,18
5,18
4,18
4,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
3,22
3,22
5,22
5,22
5,23
10,23
10,23
4,23
7,23
5,24
6,24
5,24
7,24
6,25
5,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
5,2
7,2
8,2
5,2
8,3
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
6,7
5,8
10,8
5,8
8,9
6,9
6,9
5,10
4,10
5,10
7,10
5,11
3,11
8,11
5,11
7,14
9,14
5,14
6,14
5,15
8,15
5,15
5,16
9,16
7,16
9,16
5,16
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
3,22
3,22
5,22
5,22
5,22
5,23
10,23
9,23
10,23
7,23
10,24
5,24
6,24
5,24
7,24
6,25
5,25
3,25
4,25
5,25
5,25
4,25
4,25
4,25
6,0
9,0
7,0
7,0
7,0
2,1
8,1
5,2
7,2
8,2
5,2
5,3
7,3
10,4
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
6,7
5,8
10,8
5,8
3,8
3,8
5,8
8,9
6,9
6,9
8,10
5,10
10,10
4,10
5,10
7,10
5,11
8,11
5,11
7,14
9,14
5,14
6,14
5,15
8,15
5,15
5,15
5,16
4,16
9,16
7,16
9,16
5,16
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
3,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
5,22
5,22
5,22
5,23
10,23
10,23
7,23
5,24
6,24
5,24
7,24
5,25
3,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
5,2
4,2
7,2
8,2
5,2
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
3,4
7,4
5,7
9,7
5,8
10,8
5,8
3,8
3,8
10,9
10,9
8,9
6,9
10,9
6,9
8,10
5,10
4,10
5,10
7,10
5,11
8,11
5,11
7,14
9,14
5,14
6,14
5,15
8,15
5,16
9,16
7,16
9,16
5,16
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
3,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
5,22
5,22
5,22
5,23
7,23
5,24
6,24
5,24
7,24
6,25
5,25
4,25
5,25
4,25
4,25
4,25
5,0
9,0
7,0
7,0
7,0
2,1
8,1
5,2
7,2
8,2
5,2
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
5,7
9,7
6,7
5,8
10,8
5,8
3,8
3,8
5,8
10,9
10,9
8,9
6,9
10,9
6,9
4,9
5,10
10,10
4,10
5,10
7,10
5,11
4,11
4,11
8,11
5,11
7,14
9,14
5,14
5,15
8,15
7,15
7,15
7,15
5,15
5,15
5,16
4,16
9,16
7,16
8,16
9,16
5,16
5,17
5,17
10,18
7,18
4,18
5,18
5,18
4,18
4,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
3,22
3,22
5,22
5,22
8,23
5,23
10,23
10,23
7,23
5,24
6,24
5,24
7,24
5,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
2,1
5,2
7,2
8,2
5,2
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
6,7
5,8
10,8
5,8
3,8
5,8
8,9
6,9
6,9
5,10
4,10
5,10
7,10
5,11
8,11
5,11
7,14
9,14
5,14
6,14
5,15
8,15
5,15
5,15
5,16
9,16
7,16
9,16
5,16
5,17
5,17
5,17
7,18
4,18
5,18
5,18
5,18
4,18
4,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
5,22
5,22
5,22
8,23
5,23
7,23
8,24
5,24
6,24
5,24
7,24
6,25
5,25
3,25
4,25
5,25
4,25
4,25
4,25
5,0
9,0
7,0
7,0
7,0
2,1
8,1
5,2
7,2
8,2
5,2
5,3
7,3
5,4
7,4
4,4
5,4
8,4
4,4
4,4
7,4
7,4
5,7
9,7
6,7
5,8
10,8
5,8
2,8
3,8
3,8
10,9
10,9
8,9
6,9
10,9
6,9
5,10
4,10
5,10
5,11
4,11
MRI,11
8,11
5,11
7,14
9,14
5,14
5,15
8,15
5,15
5,15
5,16
4,16
9,16
7,16
9,16
5,16
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
5,18
5,21
6,21
9,21
5,22
8,22
10,22
3,22
3,22
5,22
5,22
5,22
5,23
10,23
10,23
7,23
10,24
5,24
6,24
5,24
7,24
5,25
4,25
5,25
4,25
4,25
4,25
6,0
9,0
7,0
7,0
7,0
2,1
8,1
2,1
5,2
7,2
8,2
5,2
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
6,7
5,8
10,8
5,8
10,9
10,9
8,9
6,9
10,9
6,9
5,10
4,10
5,10
5,11
4,11
8,11
5,11
7,14
9,14
5,14
6,14
5,15
8,15
5,16
4,16
9,16
7,16
9,16
5,16
5,17
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
5,18
5,21
9,21
2,22
5,22
8,22
10,22
5,22
5,22
8,23
5,23
7,23
5,24
6,24
5,24
7,24
6,25
5,25
3,25
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
8,1
3,2
5,2
7,2
8,2
5,2
5,3
7,3
5,4
4,4
5,4
8,4
4,4
4,4
7,4
5,7
9,7
5,8
10,8
5,8
3,8
3,8
5,8
10,9
10,9
8,9
10,9
6,9
7,9
7,9
8,10
5,10
4,10
5,10
7,10
5,11
8,11
5,11
7,14
9,14
6,14
5,15
8,15
5,15
5,16
9,16
7,16
9,16
5,16
5,17
5,17
5,17
7,18
4,18
5,18
5,18
4,18
4,18
5,18
