OT,overtime,schedule_day
6,196.0,0
10,218.0,0
5,232.0,0
9,238.0,0
8,258.0,1
10,73.0,2
4,249.0,2
7,446.0,3
5,147.0,4
7,428.0,4
6,48.0,7
8,157.0,7
3,50.0,8
5,87.0,8
6,416.0,9
8,491.0,9
8,51.0,10
7,116.0,10
4,217.0,10
10,29.0,11
MRI,51.0,11
3,180.0,11
5,478.0,11
8,52.0,14
6,238.0,14
7,295.0,14
2,88.0,15
5,373.0,15
7,329.0,16
8,90.0,17
MRI,17.0,18
1,53.0,18
7,334.0,18
4,392.0,18
MRI,31.0,21
8,101.0,21
10,101.0,21
5,498.0,21
5,58.0,22
9,318.0,21
7,413.0,23
7,43.0,24
10,98.0,24
5,159.0,24
MRI,36.0,25
1,87.0,25
3,127.0,25
5,210.0,25
4,341.0,25
5,1.0,0
6,61.0,0
9,246.0,0
2,29.0,1
8,427.0,1
7,82.0,2
8,296.0,2
5,422.0,2
9,290.0,2
7,254.0,4
MRI,9.0,7
6,140.0,7
3,83.0,8
5,162.0,8
6,18.0,9
10,66.0,8
4,227.0,9
5,407.0,11
7,323.0,14
6,428.0,14
5,185.0,15
6,210.0,16
7,301.0,16
5,296.0,17
MRI,8.0,18
4,305.0,18
7,322.0,18
5,407.0,18
1,302.0,18
8,25.0,21
5,373.0,21
10,377.0,21
2,74.0,22
3,211.0,22
5,252.0,22
4,71.0,23
7,138.0,23
10,253.0,22
9,507.0,23
10,165.0,24
8,201.0,24
3,120.0,25
6,259.0,24
1,181.0,25
8,92.0,0
5,261.0,0
5,146.0,1
8,374.0,1
4,12.0,2
7,19.0,2
3,22.0,2
5,165.0,2
3,68.0,4
MRI,7.0,7
5,139.0,7
6,427.0,7
9,32.0,7
5,63.0,8
6,52.0,9
10,51.0,8
7,170.0,10
5,237.0,10
3,56.0,11
5,77.0,14
5,60.0,15
7,61.0,16
6,64.0,16
8,44.0,17
6,64.0,17
9,66.0,16
3,157.0,17
1,3.0,18
6,113.0,18
MRI,29.0,21
8,53.0,21
6,172.0,21
9,262.0,21
10,320.0,21
5,15.0,22
3,94.0,22
8,19.0,23
7,115.0,23
10,211.0,22
8,0.0,24
10,231.0,24
5,321.0,24
5,123.0,25
1,26.0,25
8,36.0,0
6,183.0,0
7,264.0,0
5,352.0,0
2,2.0,1
5,352.0,2
7,496.0,2
6,0.0,3
7,121.0,3
5,283.0,4
8,499.0,4
3,55.0,8
5,256.0,8
4,60.0,9
8,48.0,10
4,419.0,10
3,451.0,11
5,499.0,11
6,20.0,14
10,21.0,14
8,61.0,14
5,275.0,14
2,4.0,15
4,34.0,16
6,86.0,16
9,273.0,16
7,23.0,17
10,210.0,17
MRI,10.0,18
3,16.0,18
6,87.0,18
