schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
0,0,40,0,45,0,90,0,40,0,30,0,34,0,75,0,0,0
0,0,40,0,45,0,90,0,40,0,30,0,34,0,75,0,0,0
0,0,40,0,45,0,90,0,40,0,30,0,34,0,75,0,0,0
0,0,40,0,45,0,90,0,40,0,30,0,34,0,75,0,0,0
0,0,40,0,45,0,90,0,40,0,30,0,34,0,75,0,0,0
0,0,40,0,45,0,90,0,40,0,30,0,34,0,75,0,0,0
0,0,40,0,45,0,95,0,45,0,35,0,34,0,85,0,80,0
0,0,40,0,45,0,100,3,45,2,35,0,40,1,85,1,80,2
0,0,40,0,45,0,100,4,45,3,35,0,40,1,85,1,80,2
0,0,40,0,45,0,100,4,45,3,35,0,40,1,85,3,90,2
0,0,40,0,45,0,100,5,45,3,35,0,40,1,85,3,90,2
0,0,40,0,45,0,100,5,45,4,35,0,40,1,85,3,90,2
0,0,40,0,45,0,100,6,45,4,35,0,40,1,85,3,90,2
0,0,40,0,45,0,100,6,45,4,35,0,40,1,85,2,50,2
0,0,40,0,45,0,100,4,45,3,35,0,40,1,85,2,50,2
0,0,40,0,45,0,100,3,45,3,35,0,40,1,80,2,50,2
0,0,40,0,45,0,95,3,45,3,35,0,34,1,80,2,50,2
0,0,40,0,45,0,95,3,45,3,35,0,34,1,80,2,0,2
0,0,40,0,45,0,95,3,45,3,35,0,34,1,80,2,0,2
0,0,40,0,45,0,95,3,45,3,35,0,34,1,80,2,0,1
0,0,40,0,45,0,95,3,45,3,35,0,34,1,80,2,0,0
0,0,40,0,45,0,95,3,45,3,35,0,34,0,80,2,0,0
0,0,40,0,45,0,90,3,40,3,30,0,34,0,80,2,0,0
0,0,40,0,45,0,90,3,40,3,30,0,34,0,75,2,0,0
1,1,40,0,45,0,90,3,40,3,30,0,34,0,45,2,0,0
1,1,40,0,45,0,90,3,40,3,30,0,34,0,45,2,0,0
1,1,40,0,45,0,90,3,40,3,30,0,34,0,45,2,0,0
1,1,40,0,45,0,90,3,40,3,30,0,34,0,45,2,0,0
1,1,40,0,45,0,90,3,40,3,30,0,34,0,45,2,0,0
1,1,40,0,45,0,90,3,40,3,30,0,34,0,45,2,0,0
1,1,40,0,45,0,95,3,45,3,35,0,34,0,45,2,80,0
1,1,40,0,45,0,100,4,45,3,35,2,40,1,50,4,80,1
1,1,40,0,45,0,100,5,45,3,35,4,40,1,50,5,80,1
1,1,40,0,45,0,100,6,45,3,35,4,40,1,50,5,90,2
1,1,40,0,45,0,100,7,45,3,35,5,40,1,50,6,90,2
1,1,40,0,45,0,100,8,45,3,35,5,40,1,50,6,90,2
1,1,40,0,45,0,100,8,45,3,35,6,40,1,50,6,90,1
1,1,40,0,45,0,100,8,45,3,35,6,40,1,50,5,50,1
1,1,40,0,45,0,100,7,45,3,35,6,40,1,50,5,50,1
1,1,40,0,45,0,100,7,45,3,35,6,40,1,45,5,50,1
1,1,40,0,45,0,95,6,45,3,35,5,34,1,45,5,50,1
1,1,40,0,45,0,95,5,45,3,35,4,34,1,45,5,0,1
1,1,40,0,45,0,95,5,45,3,35,3,34,1,45,5,0,1
1,1,40,0,45,0,95,4,45,3,35,3,34,1,45,5,0,1
1,1,40,0,45,0,95,3,45,3,35,2,34,1,45,5,0,1
1,1,40,0,45,0,95,3,45,3,35,2,34,1,45,5,0,1
1,1,40,0,45,0,90,3,40,3,30,2,34,1,45,5,0,1
1,1,40,0,45,0,90,3,40,3,30,2,34,1,45,5,0,1
2,2,40,0,45,0,90,3,40,3,30,2,34,1,75,5,0,1
2,2,40,0,45,0,90,3,40,3,30,2,34,1,75,5,0,1
2,2,40,0,45,0,90,3,40,3,30,2,34,1,75,5,0,1
2,2,40,0,45,0,90,3,40,3,30,2,34,1,75,5,0,1
2,2,40,0,45,0,90,3,40,3,30,2,34,1,75,5,0,1
2,2,40,0,45,0,90,3,40,3,30,2,34,1,75,5,0,1
2,2,40,0,45,0,95,3,45,3,35,2,34,1,105,5,80,1
2,2,40,0,45,0,100,5,45,4,35,1,40,2,105,7,80,1
2,2,40,0,45,0,100,7,45,5,35,1,40,2,105,8,80,1
2,2,40,0,45,0,100,8,45,5,35,1,40,2,105,9,90,1
2,2,40,0,45,0,100,10,45,5,35,1,40,1,105,9,90,1
2,2,40,0,45,0,100,10,45,5,35,1,40,1,105,10,90,1
2,2,40,0,45,0,100,10,45,5,35,1,40,1,105,10,90,1
2,2,40,0,45,0,100,9,45,5,35,1,40,1,105,10,50,1
2,2,40,0,45,0,100,7,45,5,35,1,40,1,105,10,50,1
2,2,40,0,45,0,100,5,45,5,35,1,40,1,80,9,50,0
2,2,40,0,45,0,95,5,45,5,35,1,34,1,80,8,50,0
2,2,40,0,45,0,95,5,45,5,35,1,34,1,80,8,0,0
2,2,40,0,45,0,95,5,45,5,35,1,34,1,80,8,0,0
2,2,40,0,45,0,95,5,45,5,35,1,34,1,80,8,0,0
2,2,40,0,45,0,95,5,45,5,35,1,34,1,80,8,0,0
2,2,40,0,45,0,95,4,45,5,35,1,34,1,80,8,0,0
2,2,40,0,45,0,90,4,40,5,30,1,34,1,80,8,0,0
2,2,40,0,45,0,90,4,40,5,30,1,34,1,75,8,0,0
3,3,40,0,45,0,90,4,40,5,30,1,34,1,75,8,0,0
3,3,40,0,45,0,90,4,40,5,30,1,34,1,75,8,0,0
3,3,40,0,45,0,90,4,40,5,30,1,34,1,75,8,0,0
3,3,40,0,45,0,90,4,40,5,30,1,34,1,75,8,0,0
3,3,40,0,45,0,90,4,40,5,30,1,34,1,75,8,0,0
3,3,40,0,45,0,90,4,40,5,30,1,34,1,75,8,0,0
3,3,40,0,45,0,95,4,45,5,35,1,34,1,85,8,80,0
3,3,40,0,45,0,100,9,45,5,35,1,40,2,85,8,80,0
3,3,40,0,45,0,100,10,45,5,35,1,40,2,85,8,80,0
3,3,40,0,45,0,100,13,45,5,35,1,40,2,85,9,90,0
3,3,40,0,45,0,100,13,45,5,35,1,40,1,85,9,90,0
3,3,40,0,45,0,100,13,45,5,35,1,40,1,85,9,90,0
3,3,40,0,45,0,100,13,45,5,35,1,40,1,85,9,90,0
3,3,40,0,45,0,100,13,45,5,35,1,40,1,85,9,50,0
3,3,40,0,45,0,100,12,45,5,35,1,40,1,85,9,50,0
3,3,40,0,45,0,100,10,45,4,35,1,40,1,80,9,50,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,8,50,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,8,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,8,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,7,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,7,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,7,0,0
