OT,surgery_duration,schedule_day,simulation_day
1,51,0,0
9,75,0,0
7,953,0,0
6,1086,0,0
5,1185,0,0
MRI,52,1,1
MRI,47,1,1
7,52,1,1
MRI,41,1,1
2,60,0,0
2,238,1,1
7,45,1,1
2,181,1,1
1,68,1,1
3,34,1,1
2,57,1,1
9,35,2,2
9,1427,0,0
5,263,1,1
10,3214,0,0
4,196,2,2
5,571,2,2
7,37,1,1
3,86,2,2
7,63,2,2
4,71,2,2
MRI,46,1,1
3,245,2,2
2,54,3,3
5,66,3,3
6,121,3,3
4,127,3,3
4,106,3,3
6,36,3,3
8,3550,1,1
7,79,4,4
7,984,2,2
MRI,16,4,4
MRI,62,4,4
3,146,0,0
7,852,3,3
5,955,3,3
7,672,4,4
5,784,4,4
1,124,3,3
10,225,3,3
3,48,4,4
4,122,2,2
4,1030,4,4
6,35,4,4
9,100,2,2
3,292,4,4
MRI,52,1,1
1,91,2,2
MRI,57,4,4
1,69,4,4
MRI,53,4,4
3,66,1,1
MRI,80,1,1
MRI,56,7,7
MRI,38,7,7
MRI,32,7,7
9,764,7,7
6,555,7,7
2,65,7,7
10,81,7,7
MRI,69,4,4
7,66,1,1
MRI,27,8,8
MRI,46,8,8
8,1140,4,4
5,116,8,8
MRI,42,8,8
MRI,103,8,8
MRI,57,8,8
5,195,8,8
3,593,8,8
7,268,8,8
7,60,8,8
MRI,70,8,8
5,144,8,8
8,114,8,8
MRI,54,7,7
10,132,7,7
2,463,8,8
1,105,7,7
7,36,9,9
5,78,9,9
7,78,9,9
6,87,9,9
6,492,9,9
10,250,4,4
5,30,1,1
5,216,9,9
8,139,8,8
7,56,9,9
5,38,9,9
1,62,8,8
9,1171,9,9
10,2934,8,8
4,241,9,9
8,809,9,9
7,40,9,9
6,24,10,10
MRI,109,7,7
1,63,9,9
6,160,10,10
6,29,10,10
MRI,60,11,11
3,92,11,11
4,44,9,9
5,1883,10,10
3,218,11,11
MRI,68,11,11
MRI,57,11,11
MRI,123,11,11
8,458,0,0
MRI,54,11,11
MRI,28,11,11
10,262,11,11
1,67,11,11
4,2901,10,10
5,952,7,7
10,106,10,10
10,108,10,10
10,139,10,10
7,58,9,9
8,645,7,7
MRI,73,4,4
10,120,7,7
7,582,10,10
7,141,11,11
9,2377,2,2
6,641,14,14
5,562,14,14
10,122,14,14
7,27,14,14
10,92,14,14
7,1403,14,14
MRI,79,15,15
2,50,10,10
2,36,14,14
8,1130,11,11
7,56,15,15
7,61,15,15
10,98,15,15
MRI,39,15,15
3,50,15,15
5,367,15,15
10,153,15,15
MRI,45,15,15
7,39,15,15
3,42,15,15
MRI,47,15,15
10,138,14,14
6,159,11,11
5,302,15,15
8,1010,15,15
MRI,44,7,7
MRI,35,15,15
MRI,53,15,15
9,135,9,9
6,93,16,16
4,357,16,16
6,184,16,16
8,27,16,16
7,55,16,16
1,71,15,15
9,1243,16,16
4,94,16,16
7,102,15,15
6,111,16,16
2,124,17,17
7,108,17,17
6,88,17,17
7,98,17,17
6,137,17,17
4,104,17,17
7,123,17,17
2,177,15,15
7,519,16,16
1,75,14,14
7,61,18,18
4,122,17,17
MRI,32,18,18
3,109,18,18
MRI,70,18,18
8,90,16,16
MRI,117,18,18
MRI,70,18,18
3,134,18,18
6,542,18,18
4,53,16,16
1,95,16,16
4,1147,18,18
3,58,18,18
5,1291,18,18
10,132,16,16
8,702,10,10
7,63,17,17
1,91,17,17
5,2091,16,16
3,69,18,18
MRI,46,18,18
3,170,3,3
2,118,15,15
1,599,18,18
1,91,10,10
MRI,30,21,21
MRI,53,21,21
MRI,58,21,21
2,18,21,21
9,67,21,21
9,614,21,21
6,387,21,21
5,611,21,21
