ward,schedule_day
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",7
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",21
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['KCN', 'KCZ']",22
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",21
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",21
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",11
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",21
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",7
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",22
"['MCKG', 'KTC']",22
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",21
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",7
"['MCKG', 'KTC']",18
"['MCKG', 'KTC']",1
"['MCKG', 'KTC']",18
"['KCN', 'KCZ']",22
"['MCKG', 'KTC']",4
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",8
"['MCKG', 'KTC']",21
"['MCKG', 'KTC']",21
"['MCKG', 'KTC']",18
