OT,overtime,schedule_day
6,241.0,0
9,365.0,0
5,499.0,0
2,1.0,1
8,258.0,1
4,108.0,2
5,344.0,2
7,19.0,3
3,40.0,3
5,158.0,3
MRI,22.0,4
3,66.0,4
7,338.0,4
4,352.0,4
5,411.0,7
2,70.0,8
5,106.0,8
4,24.0,9
6,315.0,9
9,453.0,9
7,156.0,10
4,224.0,10
MRI,13.0,11
6,243.0,14
5,261.0,14
7,414.0,14
5,173.0,15
8,489.0,15
7,403.0,16
8,0.0,17
6,27.0,18
4,306.0,18
7,329.0,18
MRI,17.0,21
8,149.0,21
6,403.0,21
5,464.0,21
9,67.0,21
5,93.0,22
10,394.0,21
5,506.0,23
8,97.0,24
9,204.0,23
5,460.0,24
MRI,37.0,25
6,351.0,24
5,443.0,25
8,150.0,0
7,333.0,0
10,471.0,0
2,9.0,1
7,71.0,2
4,308.0,2
3,393.0,2
10,10.0,3
8,91.0,3
5,227.0,3
8,335.0,4
7,397.0,4
MRI,0.0,7
8,22.0,7
5,399.0,7
8,253.0,9
6,498.0,9
7,97.0,10
8,168.0,10
MRI,9.0,11
10,140.0,11
3,153.0,11
5,306.0,11
8,55.0,14
6,77.0,14
5,169.0,14
5,90.0,15
2,93.0,15
8,423.0,15
4,61.0,16
6,230.0,16
9,310.0,16
3,46.0,17
5,173.0,17
8,202.0,17
1,291.0,18
6,465.0,18
6,46.0,21
8,146.0,21
5,178.0,21
10,238.0,21
2,79.0,22
5,140.0,22
3,211.0,22
4,38.0,23
10,42.0,23
5,409.0,23
7,67.0,24
6,5.0,24
MRI,30.0,25
3,88.0,25
1,179.0,25
4,488.0,25
5,15.0,0
8,180.0,0
10,220.0,0
7,319.0,0
6,266.0,0
8,6.0,1
4,79.0,2
5,496.0,2
8,110.0,3
MRI,15.0,4
4,293.0,4
6,264.0,7
3,2.0,8
MRI,52.0,8
6,291.0,9
8,333.0,9
10,5.0,8
7,37.0,10
4,384.0,10
10,15.0,14
8,86.0,14
6,145.0,14
5,48.0,15
10,49.0,15
4,27.0,16
7,57.0,16
6,122.0,16
8,0.0,17
5,323.0,16
MRI,17.0,18
1,58.0,18
5,182.0,18
7,287.0,18
4,501.0,18
10,21.0,21
MRI,43.0,21
6,113.0,21
8,147.0,21
5,175.0,21
5,82.0,22
2,212.0,22
4,10.0,23
10,30.0,22
8,431.0,22
7,482.0,23
8,26.0,24
7,71.0,24
5,471.0,24
1,283.0,25
4,306.0,25
5,98.0,0
6,110.0,0
10,402.0,0
2,491.0,1
4,29.0,2
7,206.0,2
8,504.0,2
3,24.0,4
8,126.0,7
6,198.0,7
5,350.0,7
3,13.0,8
5,21.0,8
9,44.0,7
7,119.0,8
6,27.0,9
10,37.0,8
4,334.0,10
3,40.0,11
8,256.0,14
9,390.0,14
5,191.0,15
7,193.0,16
6,263.0,16
8,351.0,15
9,501.0,16
3,39.0,18
6,113.0,18
4,162.0,18
7,373.0,18
10,114.0,17
10,163.0,21
8,262.0,21
5,398.0,21
9,428.0,21
3,21.0,22
5,309.0,22
2,505.0,22
10,53.0,22
7,65.0,23
4,149.0,23
8,73.0,24
7,100.0,24
1,239.0,25
4,282.0,25
10,64.0,0
8,142.0,0
6,169.0,0
5,213.0,0
4,319.0,2
7,352.0,2
5,398.0,2
7,100.0,3
MRI,7.0,4
7,183.0,4
8,0.0,4
8,90.0,7
5,198.0,7
6,210.0,7
3,25.0,8
5,49.0,8
9,62.0,7
4,4.0,9
7,130.0,10
8,229.0,10
4,317.0,10
8,458.0,11
6,30.0,14
5,159.0,14
9,456.0,14
5,191.0,15
7,174.0,16
6,393.0,16
8,69.0,17
5,286.0,17
1,26.0,18
MRI,32.0,18
6,239.0,18
7,259.0,18
8,26.0,21
10,61.0,21
6,171.0,21
5,13.0,22
3,158.0,22
8,246.0,22
5,499.0,23
8,65.0,24
10,87.0,22
7,225.0,24
1,31.0,25
3,83.0,25
5,277.0,24
6,338.0,24
8,57.0,0
5,205.0,0
2,81.0,1
8,201.0,1
5,467.0,1
3,23.0,2
8,507.0,2
3,33.0,3
7,79.0,3
8,192.0,3
5,436.0,3
10,29.0,3
7,232.0,4
8,323.0,4
MRI,43.0,7
6,262.0,7
5,21.0,8
5,161.0,9
5,216.0,10
7,475.0,10
3,42.0,11
5,298.0,11
8,51.0,14
5,435.0,14
5,144.0,15
8,383.0,15
8,44.0,16
4,80.0,16
6,191.0,16
8,45.0,17
5,236.0,17
3,49.0,18
5,295.0,18
4,353.0,18
1,354.0,18
6,484.0,18
8,129.0,21
5,244.0,21
9,442.0,21
5,36.0,22
8,371.0,22
4,25.0,23
7,274.0,23
10,481.0,22
7,89.0,24
8,170.0,24
MRI,23.0,25
7,35.0,25
6,48.0,25
5,317.0,25
1,78.0,25
5,39.0,0
8,60.0,0
6,138.0,0
9,454.0,0
3,54.0,2
5,435.0,2
8,439.0,2
9,225.0,2
7,348.0,3
5,506.0,3
3,121.0,4
8,251.0,4
5,47.0,8
3,209.0,8
6,37.0,9
10,257.0,8
7,54.0,10
5,406.0,10
8,294.0,11
5,26.0,14
6,37.0,14
8,51.0,14
5,193.0,15
8,478.0,15
4,88.0,16
6,109.0,16
4,290.0,18
7,325.0,18
1,482.0,18
8,1.0,21
MRI,2.0,21
9,405.0,21
3,14.0,22
5,116.0,22
2,149.0,22
7,227.0,23
8,22.0,24
4,47.0,24
7,157.0,24
10,196.0,24
5,478.0,24
1,451.0,25
5,136.0,0
7,408.0,0
5,7.0,1
2,173.0,1
7,51.0,3
8,57.0,3
MRI,10.0,4
4,306.0,4
8,189.0,4
MRI,33.0,7
MRI,1.0,8
5,75.0,8
3,208.0,8
6,263.0,9
7,464.0,10
5,166.0,11
3,422.0,11
8,494.0,11
3,45.0,14
6,474.0,14
5,38.0,15
6,64.0,16
8,93.0,16
7,453.0,16
8,87.0,17
3,27.0,18
6,235.0,18
7,272.0,18
4,351.0,18
5,507.0,18
MRI,21.0,21
5,471.0,21
7,7.0,22
3,58.0,22
2,203.0,22
5,319.0,22
7,207.0,23
10,271.0,22
7,6.0,24
8,228.0,24
5,493.0,25
4,503.0,25
1,370.0,25
6,73.0,0
10,92.0,0
5,122.0,0
8,152.0,0
8,144.0,1
2,279.0,1
4,84.0,2
7,231.0,2
8,285.0,2
8,18.0,3
7,420.0,3
5,487.0,3
5,492.0,7
3,50.0,8
MRI,57.0,8
5,80.0,8
8,71.0,9
6,360.0,9
7,178.0,10
3,329.0,10
5,478.0,10
3,22.0,11
5,285.0,11
6,269.0,14
7,437.0,14
5,58.0,15
8,446.0,15
4,15.0,16
6,123.0,16
7,205.0,16
8,31.0,17
1,470.0,18
5,480.0,16
6,499.0,18
5,146.0,21
6,378.0,21
5,3.0,22
2,141.0,22
7,102.0,23
5,460.0,23
7,283.0,24
7,6.0,25
MRI,8.0,25
8,67.0,25
6,105.0,24
10,3.0,0
8,46.0,0
5,169.0,0
6,307.0,0
9,508.0,0
4,0.0,2
7,216.0,2
8,335.0,2
5,188.0,3
8,237.0,3
10,334.0,3
3,7.0,4
MRI,28.0,4
4,116.0,4
7,296.0,3
6,8.0,7
8,142.0,7
MRI,32.0,8
3,54.0,8
5,111.0,8
6,139.0,9
8,276.0,9
10,279.0,8
4,33.0,11
5,259.0,11
8,228.0,14
5,94.0,15
7,50.0,16
6,230.0,16
9,395.0,16
10,119.0,17
MRI,13.0,18
1,182.0,18
6,11.0,21
10,12.0,21
8,114.0,21
5,137.0,21
5,2.0,22
3,59.0,22
7,262.0,23
5,326.0,23
10,116.0,22
8,217.0,24
1,93.0,25
10,24.0,0
8,138.0,0
7,235.0,0
6,314.0,0
2,40.0,1
8,465.0,1
7,187.0,2
4,228.0,2
8,167.0,3
7,122.0,4
6,36.0,7
10,42.0,7
8,119.0,7
5,446.0,7
3,20.0,8
5,42.0,8
6,170.0,9
10,233.0,8
MRI,72.0,11
3,196.0,11
8,427.0,11
6,44.0,14
5,196.0,15
6,93.0,16
7,292.0,16
9,465.0,16
10,142.0,17
5,301.0,16
7,176.0,18
6,424.0,18
8,77.0,21
6,142.0,21
5,317.0,21
3,6.0,22
5,11.0,22
7,26.0,22
8,148.0,24
3,53.0,25
6,274.0,24
5,286.0,25
10,358.0,0
5,391.0,0
MRI,8.0,1
8,250.0,2
4,369.0,2
7,307.0,3
5,392.0,3
MRI,3.0,4
8,203.0,4
7,278.0,4
5,437.0,4
4,452.0,4
6,96.0,7
5,10.0,8
3,17.0,8
MRI,39.0,8
7,2.0,9
6,64.0,9
10,475.0,8
10,59.0,10
7,156.0,10
4,183.0,10
5,338.0,10
MRI,9.0,11
6,59.0,14
8,74.0,14
5,115.0,15
8,326.0,15
4,47.0,16
8,223.0,16
6,253.0,16
10,32.0,17
6,144.0,17
9,280.0,16
6,269.0,18
5,360.0,18
MRI,11.0,21
10,197.0,21
5,351.0,21
3,40.0,22
5,98.0,22
