OT,surgery_duration,schedule_day,simulation_day
1,85,0,0
5,291,0,0
10,141,0,0
8,424,0,0
6,677,0,0
9,708,0,0
2,139,0,0
5,629,0,0
9,78,0,0
7,1010,0,0
MRI,55,1,1
MRI,51,1,1
3,19,1,1
7,100,1,1
1,71,1,1
MRI,68,1,1
7,47,1,1
2,256,1,1
7,89,1,1
5,65,1,1
MRI,63,1,1
7,32,1,1
MRI,67,1,1
5,259,1,1
MRI,45,1,1
2,80,1,1
2,71,1,1
8,694,1,1
3,39,1,1
7,55,2,2
3,39,2,2
10,121,1,1
4,167,2,2
1,83,2,2
3,245,2,2
9,95,2,2
4,86,2,2
5,780,2,2
7,877,2,2
8,1004,2,2
9,852,2,2
9,100,2,2
10,215,2,2
6,75,3,3
5,43,3,3
4,61,3,3
4,261,2,2
6,136,3,3
10,190,3,3
4,95,3,3
7,455,3,3
3,476,3,3
1,133,3,3
5,536,3,3
8,244,3,3
7,68,4,4
MRI,35,4,4
MRI,41,4,4
MRI,39,4,4
MRI,71,4,4
6,42,4,4
MRI,71,4,4
3,346,4,4
10,85,4,4
1,129,4,4
3,141,4,4
MRI,126,4,4
7,691,4,4
4,788,4,4
8,1046,4,4
5,1108,4,4
2,89,3,3
2,53,7,7
MRI,39,7,7
10,89,7,7
MRI,56,7,7
10,137,7,7
MRI,49,7,7
MRI,41,7,7
6,327,7,7
MRI,46,7,7
10,158,7,7
8,410,7,7
5,847,7,7
1,99,7,7
6,842,7,7
9,1239,7,7
MRI,51,8,8
8,123,8,8
MRI,34,8,8
MRI,61,7,7
5,240,8,8
8,84,8,8
MRI,41,8,8
MRI,53,8,8
MRI,25,8,8
1,50,8,8
7,19,8,8
3,350,8,8
2,386,8,8
5,287,8,8
2,105,8,8
3,58,8,8
3,166,7,7
10,1265,8,8
9,104,9,9
7,63,9,9
10,130,9,9
6,134,9,9
5,101,9,9
7,44,9,9
10,134,9,9
1,96,9,9
5,27,9,9
9,103,9,9
7,48,9,9
10,64,9,9
7,71,9,9
5,100,9,9
4,325,9,9
4,120,9,9
6,602,9,9
7,40,9,9
9,652,9,9
MRI,101,8,8
6,86,10,10
8,1613,9,9
10,82,10,10
10,131,10,10
6,173,10,10
1,99,10,10
6,92,10,10
7,592,10,10
4,660,10,10
10,160,10,10
3,94,10,10
5,965,10,10
MRI,46,11,11
3,45,11,11
4,151,11,11
3,156,11,11
MRI,67,11,11
4,113,11,11
MRI,66,11,11
2,42,10,10
6,197,11,11
MRI,39,11,11
10,193,11,11
1,66,11,11
7,177,11,11
MRI,107,11,11
MRI,49,11,11
5,1371,11,11
8,1661,11,11
3,115,11,11
2,86,14,14
7,56,14,14
10,92,14,14
10,62,14,14
5,274,14,14
10,87,14,14
3,121,0,0
1,95,14,14
6,679,14,14
5,408,14,14
7,779,14,14
9,1112,14,14
8,318,14,14
MRI,54,15,15
3,21,15,15
10,53,15,15
MRI,47,15,15
3,22,15,15
5,178,15,15
MRI,57,15,15
10,143,15,15
2,39,15,15
MRI,74,15,15
1,87,15,15
7,155,15,15
MRI,33,15,15
5,102,15,15
MRI,78,15,15
7,58,15,15
5,299,15,15
7,31,15,15
8,925,15,15
2,98,15,15
7,55,15,15
6,50,16,16
8,66,16,16
4,76,16,16
4,95,16,16
8,55,16,16
6,153,16,16
1,51,16,16
4,184,16,16
7,46,16,16
6,196,16,16
10,234,16,16
7,778,16,16
9,1274,16,16
7,56,17,17
6,91,17,17
7,57,17,17
6,130,17,17
4,104,17,17
5,1713,16,16
7,51,17,17
7,123,17,17
4,148,17,17
1,149,17,17
3,298,17,17
2,51,17,17
8,436,17,17
5,924,17,17
MRI,52,18,18
MRI,47,18,18
3,83,18,18
MRI,39,18,18
7,68,18,18
MRI,54,18,18
1,394,18,18
3,228,18,18
MRI,88,18,18
MRI,52,18,18
3,65,18,18
6,463,18,18
10,210,18,18
4,742,18,18
7,682,18,18
8,212,18,18
5,1707,18,18
10,279,17,17
MRI,47,21,21
5,50,21,21
MRI,42,21,21
2,65,21,21
MRI,40,21,21
9,31,21,21
1,93,21,21
3,230,21,21
6,839,21,21
5,835,21,21
MRI,42,21,21
MRI,46,21,21
MRI,46,22,22
4,53,22,22
8,585,21,21
5,114,22,22
4,56,22,22
7,70,22,22
2,246,22,22
4,63,22,22
3,279,22,22
MRI,130,21,21
5,205,22,22
7,55,22,22
7,48,22,22
1,78,22,22
9,1897,21,21
7,49,22,22
2,62,22,22
7,61,22,22
3,43,22,22
5,180,22,22
3,48,22,22
10,2270,21,21
10,115,23,23
8,1622,22,22
1,45,23,23
10,119,23,23
3,172,23,23
4,261,23,23
9,154,23,23
6,120,23,23
4,83,23,23
6,128,23,23
7,54,23,23
MRI,118,22,22
5,885,23,23
5,42,23,23
7,208,8,8
7,1170,23,23
2,56,24,24
4,183,24,24
1,101,24,24
9,70,23,23
9,1826,23,23
7,78,24,24
10,406,24,24
5,896,24,24
8,168,23,23
7,938,24,24
8,533,24,24
MRI,62,25,25
8,105,25,25
3,78,25,25
3,348,24,24
10,148,25,25
MRI,29,25,25
MRI,50,25,25
8,71,25,25
MRI,54,25,25
10,38,25,25
MRI,46,25,25
3,207,25,25
7,60,25,25
7,103,25,25
7,59,25,25
MRI,157,25,25
7,64,25,25
6,2227,24,24
5,879,25,25
7,61,25,25
4,1029,25,25
1,1186,25,25
3,52,25,25
2,63,0,28
1,52,0,28
9,91,0,28
6,394,0,28
3,20,14,14
7,769,0,28
9,871,0,28
5,1127,0,28
8,586,0,28
MRI,63,1,29
7,82,1,29
5,30,1,29
1,87,1,29
7,61,1,29
3,101,1,29
5,158,1,29
MRI,43,1,29
7,71,1,29
MRI,47,1,29
7,44,1,29
2,384,1,29
MRI,37,1,29
MRI,48,1,29
10,167,1,29
MRI,41,1,29
8,1338,1,29
2,46,1,29
7,49,2,30
3,98,2,30
4,173,2,30
9,132,2,30
9,53,2,30
1,52,2,30
7,443,2,30
10,345,2,30
4,59,2,30
3,716,2,30
5,1006,2,30
8,1281,2,30
5,42,3,31
2,69,3,31
3,60,1,29
4,53,3,31
6,160,3,31
4,145,3,31
7,430,3,31
10,446,3,31
6,142,3,31
5,606,3,31
1,88,3,31
8,527,3,31
10,907,0,28
3,172,3,31
6,24,4,32
9,2851,2,30
MRI,45,4,32
3,269,4,32
MRI,64,4,32
1,51,4,32
7,68,4,32
10,227,4,32
MRI,36,4,32
MRI,68,4,32
MRI,47,4,32
3,78,4,32
MRI,37,4,32
8,771,4,32
7,750,4,32
4,482,2,30
4,1509,4,32
5,1575,4,32
MRI,55,7,35
MRI,47,7,35
10,66,7,35
1,101,7,35
6,373,7,35
10,109,7,35
MRI,54,7,35
MRI,43,7,35
10,122,7,35
MRI,112,7,35
8,458,7,35
5,835,7,35
9,1008,7,35
MRI,50,7,35
MRI,54,8,36
8,152,8,36
MRI,43,8,36
MRI,42,8,36
2,255,8,36
5,277,8,36
3,305,8,36
8,176,8,36
7,22,8,36
2,66,8,36
MRI,58,8,36
5,137,8,36
3,41,8,36
1,48,8,36
MRI,60,8,36
5,28,9,37
7,49,9,37
2,60,7,35
9,92,9,37
6,81,9,37
5,13,9,37
7,63,9,37
7,52,9,37
10,1741,8,36
5,233,9,37
6,221,9,37
7,54,9,37
4,403,9,37
1,84,9,37
3,52,8,36
8,689,9,37
10,101,9,37
9,96,9,37
7,50,9,37
6,602,9,37
9,1039,9,37
6,94,10,38
6,93,10,38
3,68,7,35
6,67,10,38
10,174,10,38
1,68,10,38
10,116,10,38
10,84,10,38
2,60,10,38
7,533,10,38
8,604,10,38
3,356,0,28
5,1013,10,38
4,1226,10,38
3,36,11,39
MRI,64,11,39
MRI,60,11,39
4,165,11,39
3,210,11,39
MRI,39,11,39
MRI,60,11,39
6,330,11,39
4,157,11,39
MRI,38,11,39
MRI,109,11,39
1,78,11,39
5,742,11,39
7,375,11,39
3,313,11,39
8,1517,11,39
10,576,11,39
2,58,14,42
7,31,14,42
10,175,14,42
6,513,14,42
10,116,14,42
10,60,14,42
5,605,14,42
9,968,14,42
7,931,14,42
MRI,53,15,43
7,81,15,43
5,159,15,43
7,64,15,43
3,63,15,43
3,31,15,43
MRI,44,15,43
MRI,62,15,43
MRI,57,15,43
5,134,15,43
7,28,15,43
10,45,15,43
7,69,15,43
8,491,14,42
MRI,65,15,43
3,105,14,42
10,146,15,43
2,529,15,43
MRI,50,15,43
1,70,15,43
5,203,15,43
1,49,14,42
3,182,10,38
8,859,15,43
6,50,16,44
4,115,16,44
4,86,16,44
8,320,16,44
1,93,16,44
6,134,16,44
4,266,16,44
7,46,16,44
8,69,16,44
6,436,16,44
9,746,16,44
10,216,16,44
7,990,16,44
5,1383,16,44
7,59,17,45
4,22,17,45
6,124,17,45
7,59,17,45
6,136,17,45
