OT,surgery_duration,schedule_day,simulation_day
1,51,0,0
9,75,0,0
MRI,52,1,1
MRI,41,1,1
7,52,1,1
9,35,2,2
7,45,1,1
2,181,1,1
2,238,1,1
5,571,2,2
5,1185,0,0
7,953,0,0
2,54,3,3
4,196,2,2
6,1086,0,0
5,995,4,4
2,57,1,1
6,121,3,3
7,672,4,4
4,71,2,2
1,68,1,1
3,34,1,1
3,86,2,2
7,63,2,2
5,195,8,8
7,36,9,9
MRI,56,7,7
5,116,8,8
MRI,32,7,7
MRI,60,11,11
5,144,8,8
3,245,2,2
4,1030,4,4
6,492,9,9
2,60,0,0
6,87,9,9
6,555,7,7
5,263,1,1
MRI,57,11,11
3,218,11,11
7,37,1,1
10,3214,0,0
7,56,15,15
6,641,14,14
5,302,15,15
5,38,9,9
5,955,3,3
4,357,16,16
1,124,3,3
5,367,15,15
6,93,16,16
4,241,9,9
7,123,17,17
9,1427,0,0
8,809,9,9
5,562,14,14
3,134,18,18
7,55,16,16
4,1147,18,18
7,984,2,2
MRI,30,21,21
4,31,22,22
2,195,22,22
5,234,22,22
10,132,7,7
1,69,4,4
5,156,22,22
5,341,22,22
4,60,22,22
2,36,14,14
7,56,22,22
4,1517,25,25
6,387,21,21
5,611,21,21
1,105,7,7
3,113,25,25
8,3550,1,1
7,1415,0,28
7,34,1,29
7,91,1,29
7,37,25,25
5,394,0,28
1,71,0,28
4,234,2,30
2,170,1,29
4,257,23,23
6,596,0,28
2,193,1,29
5,76,23,23
4,82,2,30
7,519,16,16
1,91,2,2
5,118,8,36
8,72,8,36
1,114,24,24
4,528,4,32
5,312,8,36
5,57,9,37
3,340,2,30
6,118,9,37
6,410,7,35
2,316,8,36
6,511,9,37
3,214,11,39
4,53,16,16
1,84,21,21
7,1001,14,42
3,146,0,0
7,78,15,43
MRI,52,1,1
6,330,14,42
5,494,14,42
5,186,15,43
5,350,15,43
1,73,9,37
6,188,16,44
1,41,3,31
4,124,16,44
10,95,15,43
3,301,18,46
4,1139,18,46
6,1625,21,49
2,558,22,50
1,52,10,38
4,90,16,44
4,69,22,50
2,53,0,28
4,229,9,37
4,47,22,50
5,89,10,38
5,158,22,50
5,1354,21,49
3,66,1,1
7,121,25,53
5,163,22,50
5,216,22,50
3,255,25,53
MRI,80,1,1
5,952,7,7
MRI,66,1,57
5,237,0,56
6,509,0,56
5,2091,16,16
2,100,1,57
7,2312,0,56
2,284,1,57
7,842,2,30
3,141,23,23
5,1060,16,44
4,500,2,58
2,50,10,10
9,59,2,58
3,35,25,53
4,747,25,53
2,48,24,52
8,645,7,7
1,130,14,42
5,467,8,64
3,239,21,21
6,320,9,65
5,80,8,64
4,775,4,60
6,227,9,65
6,115,9,65
7,66,1,1
1,64,17,45
6,274,7,63
5,44,9,65
3,140,11,67
7,1642,14,70
7,441,4,60
5,656,3,59
6,258,14,70
5,134,11,39
5,345,14,70
9,157,23,23
7,83,17,73
5,174,15,71
10,114,7,63
5,261,15,71
4,228,16,72
3,232,18,74
5,108,15,71
4,864,18,74
7,438,16,72
5,1368,16,72
5,1720,17,73
4,188,9,65
6,1169,16,72
2,193,22,78
6,127,16,72
3,56,18,74
5,206,22,78
4,58,22,78
5,234,22,78
4,18,22,78
5,1247,2,58
7,126,22,78
6,1247,21,77
4,80,16,72
7,51,22,78
3,172,25,81
7,501,24,80
5,1672,0,84
4,200,23,79
2,121,1,85
5,30,1,1
6,548,0,84
4,128,2,86
MRI,53,18,74
2,99,1,85
2,209,1,85
MRI,55,7,63
7,1258,0,84
MRI,60,7,63
4,829,4,88
7,819,4,88
4,135,2,86
5,77,9,65
MRI,44,7,91
1,61,14,70
4,1045,25,81
6,756,7,91
