OT,overtime,schedule_day
8,65.0,0
10,93.0,0
6,284.0,0
8,497.0,1
3,51.0,2
4,139.0,2
7,145.0,2
8,467.0,2
5,35.0,3
6,124.0,3
MRI,5.0,4
7,148.0,4
5,448.0,4
6,7.0,7
10,8.0,7
3,71.0,8
5,259.0,8
6,352.0,9
5,213.0,10
4,279.0,10
6,270.0,14
7,283.0,14
5,313.0,14
5,47.0,15
9,338.0,16
6,104.0,18
8,118.0,21
5,4.0,22
5,293.0,23
5,2.0,24
1,174.0,25
4,300.0,25
8,32.0,0
5,391.0,0
6,424.0,0
2,271.0,1
3,11.0,2
4,128.0,2
5,259.0,2
4,168.0,4
7,306.0,4
8,45.0,7
6,78.0,7
5,433.0,7
5,205.0,8
6,284.0,9
8,71.0,14
9,287.0,14
7,381.0,14
4,19.0,16
5,153.0,16
1,136.0,18
8,118.0,21
10,124.0,21
6,304.0,21
5,318.0,22
4,50.0,23
4,495.0,25
7,96.0,0
3,111.0,0
6,268.0,0
5,478.0,2
8,495.0,2
7,142.0,4
4,458.0,4
5,136.0,8
6,62.0,9
5,141.0,14
5,174.0,15
4,22.0,16
7,106.0,18
1,206.0,18
5,323.0,21
5,212.0,22
1,309.0,25
7,86.0,0
2,57.0,1
5,322.0,2
MRI,15.0,4
6,114.0,7
9,432.0,7
5,144.0,8
6,347.0,9
8,32.0,11
8,16.0,14
6,253.0,14
7,352.0,14
5,298.0,15
4,217.0,18
7,302.0,18
5,432.0,18
6,39.0,21
5,196.0,21
8,457.0,21
5,22.0,22
1,341.0,25
6,72.0,0
5,144.0,0
2,126.0,1
9,364.0,2
5,426.0,2
MRI,1.0,4
10,18.0,7
6,109.0,7
9,452.0,7
3,139.0,8
5,169.0,8
6,70.0,9
5,242.0,14
5,58.0,15
9,332.0,16
3,225.0,18
5,396.0,18
6,3.0,21
8,69.0,21
5,420.0,21
5,30.0,22
9,74.0,23
4,401.0,25
5,13.0,0
6,206.0,0
7,125.0,2
9,421.0,2
6,159.0,7
5,316.0,7
5,210.0,8
6,476.0,9
7,204.0,14
9,328.0,14
5,334.0,15
4,122.0,16
9,453.0,16
6,145.0,21
5,458.0,21
5,38.0,22
9,289.0,21
7,269.0,24
1,40.0,25
4,456.0,25
6,40.0,0
9,330.0,0
8,180.0,2
6,218.0,7
5,199.0,8
6,64.0,9
3,409.0,11
8,72.0,14
6,73.0,14
5,93.0,15
7,284.0,16
1,440.0,18
5,97.0,22
